scan_id,z_index_0based,z_um,r_um,distance_from_vessel_bottom_um,V,B_left,B_right,B,B_standard_deviation,B_median_diagnostic,B_scaled_mad_diagnostic,background_mode,T,P,tail_z_fraction,background_left_valid_count,background_right_valid_count,region,validity,frame_id,bscan_index,flow_speed_mm_s
flow07,227,1520.9,56.250000000000014,56.250000000000014,53774450.722289965,14427407.632046426,35196714.40387042,24812061.01795842,22183892.354412224,16119751.256809764,12189153.090617267,bilateral,28962389.70433154,3678223492.4501057,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,228,1527.6000000000001,62.95000000000001,62.95000000000001,52576694.49526659,8701631.063469343,14182864.601966763,11442247.832718054,13947539.05956341,5078406.297121713,4321875.241654221,bilateral,41134446.662548535,5224074726.143663,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,229,1534.3,69.65000000000002,69.65000000000002,61490362.470476925,18794793.299084164,31112442.031610124,24953617.665347144,13942256.073071746,20432801.359074626,17139858.16009495,bilateral,36536744.80512977,4640166590.25148,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,230,1541.0,76.35000000000001,76.35000000000001,86975499.53645164,21122308.74195528,32918995.171542544,27020651.956748914,31590643.334390335,15481465.562513832,12405816.4268197,bilateral,59954847.57970272,7614265642.622246,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,231,1547.7,83.05000000000001,83.05000000000001,46206150.921493165,7951777.339417346,16875876.525877275,12413826.932647308,11756334.768572707,7997537.447112557,10223777.099510418,bilateral,33792323.988845855,4291625146.583423,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,232,1554.4,89.75000000000001,89.75000000000001,33897373.48408327,25625882.71263262,57257475.48479821,41441679.09871542,28892803.90365287,32562514.340571184,20940759.78434043,bilateral,-7544305.614632145,-958126813.0582823,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,233,1561.1000000000001,96.45000000000002,96.45000000000002,32972943.03643637,66952402.7505096,24055908.922001917,45504155.83625576,50240972.807517365,31387291.913510706,25890614.79806151,bilateral,-12531212.799819386,-1591464025.577062,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,234,1567.8,103.15000000000002,103.15000000000002,43769384.802678205,24901074.432693504,15932375.752896693,20416725.092795096,19323183.94228801,18674600.190894585,16548803.094012868,bilateral,23352659.70988311,2965787783.1551547,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,235,1574.5,109.85000000000001,109.85000000000001,55881316.70929692,23204521.64283984,39911882.81880543,31558202.230822634,37893903.093643375,19736829.301058978,19026924.321093783,bilateral,24323114.478474274,3089035538.7662325,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,236,1581.2,116.55000000000001,116.55000000000001,29359753.39735638,22751342.809264634,22376879.266955227,22564111.038109932,21409123.88093038,15341515.807043247,14797468.155112846,bilateral,6795642.359246452,863046579.6242994,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,237,1587.9,123.25000000000001,123.25000000000001,50377214.683234915,54796452.08045071,25081705.8267669,39939078.9536088,39368609.153767936,14898237.425743673,10414019.45551631,bilateral,10438135.729626115,1325643237.6625166,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,238,1594.6000000000001,129.95000000000002,129.95000000000002,42573716.53948655,14642869.135891255,19927444.167041443,17285156.65146635,10218625.730942907,15228228.41187677,14510504.656580068,bilateral,25288559.888020195,3211647105.778565,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,239,1601.3,136.65,136.65,39306739.021127656,34035601.268955186,18715458.512372743,26375529.890663967,15851978.388725108,22890741.585569076,16956856.995607145,bilateral,12931209.130463686,1642263559.5688882,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,240,1608.0,143.35000000000002,143.35000000000002,44297813.27394432,19551715.26342915,19861235.743087273,19706475.503258213,15887499.606614528,17871043.505942754,20220558.938932337,bilateral,24591337.77068611,3123099896.8771358,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,241,1614.7,150.05,150.05,57008684.89169787,35368912.033010736,25424704.86079315,30396808.446901947,28850807.79948432,19031510.541226335,18026032.94134742,bilateral,26611876.44479592,3379708308.489082,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,242,1621.4,156.75000000000003,156.75000000000003,29113480.590274762,25803886.500909083,33634810.69630315,29719348.598606117,17001561.969252158,34437364.50416509,22093778.954605978,bilateral,-605868.0083313532,-76945237.05808185,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,243,1628.1000000000001,163.45000000000002,163.45000000000002,48744093.24896109,24682951.469482757,11896723.613867128,18289837.54167494,16140109.30628954,13104195.484395966,11449601.340298109,bilateral,30454255.70728614,3867690474.82534,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,244,1634.8,170.15,170.15,40116335.408211485,16267686.070084352,19975413.12892305,18121549.599503703,15750582.331135591,16060766.623391446,22027053.006760046,bilateral,21994785.80870778,2793337797.705888,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,245,1641.5,176.85000000000002,176.85000000000002,26770942.478149023,25507319.88398898,20152259.8483394,22829789.866164185,18950878.29257681,21918257.311605122,20678140.37889741,bilateral,3941152.611984838,500526381.7220744,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,246,1648.2,183.55,183.55,35475834.35294933,26912136.004835594,22672368.513834517,24792252.259335056,24281366.7052637,15806305.331736002,20070383.0226689,bilateral,10683582.093614269,1356814925.889012,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,247,1654.9,190.25000000000003,190.25000000000003,34987544.12875513,34884378.90189032,36815350.29409778,35849864.59799405,22617611.96124535,34751721.83163472,28290385.074264646,bilateral,-862320.4692389227,-109514699.59334318,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,248,1661.6000000000001,196.95000000000002,196.95000000000002,45517553.099323586,8623252.020891622,16821657.47992836,12722454.75040999,13175532.247367825,6419491.997577725,7962131.05832531,bilateral,32795098.34891359,4164977490.312026,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,249,1668.3,203.65,203.65,46704835.54520557,21213319.25410193,41837941.92882918,31525630.591465555,25708973.302609537,25583730.245793253,19554279.6081402,bilateral,15179204.953740021,1927759029.1249826,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,250,1675.0,210.35000000000002,210.35000000000002,19993095.865569115,16372675.571631854,27893540.005660225,22133107.788646042,17131225.2741273,23229250.930738915,24712300.661787868,bilateral,-2140011.9230769277,-271781514.2307698,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,251,1681.7,217.05,217.05,38277800.30121886,9437090.295781303,27684133.341436543,18560611.81860892,25713737.242852934,10957227.458119351,12808045.20856607,bilateral,19717188.48260994,2504082937.2914624,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,252,1688.4,223.75000000000003,223.75000000000003,40350857.89587885,5938247.350617674,10314652.386267314,8126449.8684424935,7942368.456891787,5857909.434507539,6249666.65356807,bilateral,32224408.027436364,4092499819.484418,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,253,1695.1000000000001,230.45000000000002,230.45000000000002,41406457.88283028,66332614.265348114,28821194.10758282,47576904.18646546,32814255.591170855,42880965.15024569,28285423.235496603,bilateral,-6170446.303635175,-783646680.5616672,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,254,1701.8,237.15,237.15,32697040.717072975,13370970.681757037,17585135.481740512,15478053.081748774,11183683.094856916,15776887.200834058,16716140.459087674,bilateral,17218987.635324202,2186811429.686174,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,255,1708.5,243.85000000000002,243.85000000000002,46356450.09026311,15800673.797093078,19884560.023926996,17842616.910510037,16283409.459686058,15566871.577673744,15970086.76902359,bilateral,28513833.179753076,3621256813.8286405,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,256,1715.2,250.55,250.55,19459581.11033066,22340232.893926196,23703140.887242444,23021686.890584316,15790622.525801197,16903494.29655962,16447246.242167737,bilateral,-3562105.780253655,-452387434.0922141,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,257,1721.9,257.25,257.25,38715492.332204774,18465423.220151104,27388576.52764087,22926999.873895984,21837259.187071957,16900156.28709238,17115431.988017213,bilateral,15788492.45830878,2005138542.205215,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,258,1728.6000000000001,263.95000000000005,263.95000000000005,23922843.440983538,27909703.001647305,30230011.3322228,29069857.16693505,15011523.864542615,24012762.417528234,16033426.153151695,bilateral,-5147013.725951511,-653670743.1958419,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,259,1735.3,270.65000000000003,270.65000000000003,13659753.952162335,38621714.44025122,12353476.219617952,25487595.32993458,24260749.081673816,13221204.936058348,15063572.596019123,bilateral,-11827841.377772246,-1502135854.977075,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,260,1742.0,277.35,277.35,29085989.416647058,21559748.052514605,22207089.714399002,21883418.883456804,9222564.646572042,21880095.65508885,7450386.510703455,bilateral,7202570.533190253,914726457.7151622,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,261,1748.7,284.05,284.05,19773855.528252687,21592027.83842594,31447985.664862216,26520006.751644075,20980957.0138112,19480700.58530602,13218353.381731387,bilateral,-6746151.223391384,-856761205.3707057,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,262,1755.4,290.75,290.75,20785418.729602937,29270471.84112071,13706822.135334333,21488646.988227524,18873403.219061144,15290984.61772984,14712623.383586708,bilateral,-703228.2586245838,-89309988.84532215,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
