scan_id,flow_mm_s,lag_frames,pair_count,acf
flow05,5,173,315,0.094705098822395653
flow05,5,174,314,0.06155579881203118
flow05,5,175,313,0.039580324357129729
flow05,5,176,312,0.048641738140205983
flow05,5,177,311,0.077830747305259337
flow05,5,178,310,-0.0011290448268028799
flow05,5,179,309,0.024687710827681748
flow05,5,180,308,0.00023671505428712704
flow05,5,181,307,0.083437599390494832
flow05,5,182,306,0.069976893004273247
flow05,5,183,305,0.024123758496689098
flow05,5,184,304,0.041295233037748694
flow05,5,185,303,-0.017116320334383064
flow05,5,186,302,0.05297366220724703
flow05,5,187,301,0.057354035414034769
flow05,5,188,300,0.027543839207981223
flow05,5,189,299,0.061616199533234661
flow05,5,190,298,0.019482357674413902
flow05,5,191,297,0.086855769126201465
flow05,5,192,296,0.061482994194793743
flow05,5,193,296,0.10584904842700095
flow05,5,194,295,0.11532620330197285
flow05,5,195,294,0.13439516024082873
flow05,5,196,293,0.088776303310248314
flow05,5,197,292,0.13066311106066966
flow05,5,198,291,0.080915681914100715
flow05,5,199,290,0.022025880495916278
flow05,5,200,290,0.067746730267913502
flow07,7,0,493,1
flow07,7,1,487,0.45891625016915805
flow07,7,2,486,0.34150022554478421
flow07,7,3,484,0.24983623465067212
flow07,7,4,483,0.25620384729689366
flow07,7,5,482,0.1088111734219956
flow07,7,6,481,0.10517667262339732
flow07,7,7,480,0.031493862296087971
flow07,7,8,479,0.047445881399671132
flow07,7,9,478,0.025389866897850499
flow07,7,10,477,0.019175126412811216
flow07,7,11,476,-0.0096112054432381643
flow07,7,12,475,0.033494684415812624
flow07,7,13,474,0.11145859072530093
flow07,7,14,473,0.10749748549788657
flow07,7,15,472,0.13843829897365464
flow07,7,16,471,0.15043035361345605
flow07,7,17,470,0.087286887299647758
flow07,7,18,469,0.090650910738350896
flow07,7,19,468,0.012722414951441937
flow07,7,20,467,-0.00091861145332291442
flow07,7,21,466,-0.0073110290898217483
flow07,7,22,465,-0.037911660554112173
flow07,7,23,464,-0.070322088489776918
flow07,7,24,463,0.0005464144393895323
flow07,7,25,462,-0.020727438983366653
flow07,7,26,461,-0.011060608724998101
flow07,7,27,460,-0.026412699329820693
flow07,7,28,459,0.017571287383984741
flow07,7,29,458,0.010296577834031198
flow07,7,30,457,0.033694082635112033
flow07,7,31,456,0.033697842150160619
flow07,7,32,456,0.060995281998146605
flow07,7,33,454,0.024973620342444148
flow07,7,34,453,-0.042772516816798181
flow07,7,35,452,-0.07134270302596897
flow07,7,36,451,-0.10887347027231488
flow07,7,37,450,-0.10341587500713595
flow07,7,38,449,-0.14843140648575712
flow07,7,39,448,-0.12831139237757638
flow07,7,40,448,-0.087275795097937467
flow07,7,41,447,-0.071092469777450068
flow07,7,42,447,-0.034017930485597869
flow07,7,43,446,0.064809758992391997
flow07,7,44,445,0.043634055120717295
flow07,7,45,444,0.059661945334777346
flow07,7,46,443,0.084859193624838597
flow07,7,47,442,0.084744671635679406
flow07,7,48,441,0.026926988611584199
flow07,7,49,440,0.026682178292891393
flow07,7,50,439,0.036549324098221515
flow07,7,51,438,-0.017007398456116964
flow07,7,52,437,-0.078357130143959411
flow07,7,53,436,-0.10401147163964349
flow07,7,54,435,-0.023228991741451967
flow07,7,55,434,-0.033266127998145233
flow07,7,56,433,0.043782862534342354
flow07,7,57,432,0.05512851366304479
flow07,7,58,431,0.11609548216006878
flow07,7,59,430,0.12215272234753077
flow07,7,60,429,0.19161703226449944
flow07,7,61,428,0.10332506989450529
flow07,7,62,427,0.13659770316525971
flow07,7,63,426,0.13783747733866847
flow07,7,64,425,0.13979532434070951
flow07,7,65,424,0.075989636512808628
flow07,7,66,423,0.060760176335909112
flow07,7,67,422,0.05750643090697808
flow07,7,68,421,0.10211479139911879
flow07,7,69,420,0.024544394657159067
flow07,7,70,419,-0.029748901616129343
flow07,7,71,419,-0.0549371967424893
flow07,7,72,419,0.0072523317366519199
flow07,7,73,418,0.017720808033793327
flow07,7,74,417,-0.013416755060583619
flow07,7,75,416,0.0026223097589884231
flow07,7,76,415,-0.017249400886860718
flow07,7,77,414,0.001366286507672328
flow07,7,78,413,0.0073915049818456119
flow07,7,79,412,0.013999877802543486
