scan_id,diameter_um,flow_mm_s,side,mode,support,n_common,pair,rho0,n_pairs0,rho0_status,specificity,specificity_status,n_far_defined,peak_lag,peak_rho,zero_lag_rank,peak_rank_status,n_lags_defined,boundary_peak,matched_specificity,matched_status,n_matched_far_defined
D235_F03_V01,235,3,right,detrended_51,real_L_R_common,448,W100,0.079964077884013718,448,ok,0.065912209160248703,ok,42,42,0.10684019529616044,4,ok,101,False,0.050377295732611092,ok,42
D235_F03_V01,235,3,right,detrended_51,real_L_R_common,448,W500,0.0134900281174352,448,ok,0.019152893323891598,ok,42,-42,0.10328952129534449,37,ok,101,False,0.019018430564233295,ok,42
D235_F03_V01,235,3,right,detrended_51,real_L_R_common,448,C100,0.033609790380399254,448,ok,0.028496646849816121,ok,42,42,0.12045516765760217,26,ok,101,False,0.025859851282826193,ok,42
D235_F05_V01,235,5,real_matched,detrended_51,real_L_R_common,424,W100,0.28455510714342497,424,ok,0.28401756583492671,ok,42,-1,0.28516622396194424,2,ok,101,False,0.26927437178748093,ok,42
D235_F05_V01,235,5,real_matched,detrended_51,real_L_R_common,424,W500,0.37201275780486248,424,ok,0.35569446092355328,ok,42,0,0.37201275780486248,1,ok,101,False,0.34603521102442047,ok,42
D235_F05_V01,235,5,real_matched,detrended_51,real_L_R_common,424,C100,0.31275536463882364,424,ok,0.27708259031587934,ok,42,0,0.31275536463882364,1,ok,101,False,0.27181717709286823,ok,42
D235_F05_V01,235,5,left,detrended_51,real_L_R_common,424,W100,0.070468439371208502,424,ok,0.07909728138380602,ok,42,-46,0.1097707327230641,10,ok,101,False,0.066394203024368159,ok,42
D235_F05_V01,235,5,left,detrended_51,real_L_R_common,424,W500,0.079105875211207544,424,ok,0.1022015193927477,ok,42,-25,0.10780893222499112,8,ok,101,False,0.085419352176866109,ok,42
D235_F05_V01,235,5,left,detrended_51,real_L_R_common,424,C100,0.015029685790244617,424,ok,0.029807664984874929,ok,42,12,0.12572097365977417,42,ok,101,False,0.016167659227824843,ok,42
D235_F05_V01,235,5,right,detrended_51,real_L_R_common,424,W100,0.032198822629058113,424,ok,0.029972929007199035,ok,42,-26,0.10624220872667182,31,ok,101,False,0.02837361331838939,ok,42
