scan_id,diameter_um,flow_mm_s,mode,support,pair,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,value,status,rho0,n_pairs0,rho0_status,specificity,specificity_status,n_far_defined,peak_lag,peak_rho,zero_lag_rank,peak_rank_status,n_lags_defined,boundary_peak
D285_F05_V01,285,5,detrended_31,real_all,C16,16,0,0.10143535674698424,0.053568581145180184,0.20796531302027715,16,0,0,0.10143535674698424,ok,,,,,,,,,,,,
D285_F05_V01,285,5,detrended_31,real_all,W100,,,,,,,,,,,0.22864977524625654,492,ok,0.22861049514968451,ok,42,0,0.22864977524625654,1,ok,101,False
D285_F05_V01,285,5,detrended_31,real_all,W500,,,,,,,,,,,0.25193507415140048,492,ok,0.26299453808273471,ok,42,0,0.25193507415140048,1,ok,101,False
D285_F05_V01,285,5,detrended_31,real_all,C100,,,,,,,,,,,0.31016038985056027,492,ok,0.30234605721984092,ok,42,0,0.31016038985056027,1,ok,101,False
D285_F05_V01,285,5,detrended_101,real_all,C16,16,0,0.14502040325225224,0.07865138396242069,0.26006385359662926,16,0,0,0.14502040325225224,ok,,,,,,,,,,,,
D285_F05_V01,285,5,detrended_101,real_all,W100,,,,,,,,,,,0.23687529835952054,492,ok,0.27685189713819586,ok,42,0,0.23687529835952054,1,ok,101,False
D285_F05_V01,285,5,detrended_101,real_all,W500,,,,,,,,,,,0.29421938358810829,492,ok,0.37552802993269685,ok,42,0,0.29421938358810829,1,ok,101,False
D285_F05_V01,285,5,detrended_101,real_all,C100,,,,,,,,,,,0.37092786376292913,492,ok,0.37706551919171155,ok,42,0,0.37092786376292913,1,ok,101,False
D285_F07_V01,285,7,detrended_31,real_all,C16,16,0,0.066408830863770751,-0.015583181254543941,0.19385369176719822,14,2,0,0.066408830863770751,ok,,,,,,,,,,,,
D285_F07_V01,285,7,detrended_31,real_all,W100,,,,,,,,,,,0.15342431095298822,458,ok,0.14348103824974565,ok,42,0,0.15342431095298822,1,ok,101,False
D285_F07_V01,285,7,detrended_31,real_all,W500,,,,,,,,,,,0.16742000254946077,458,ok,0.15076590926868141,ok,42,0,0.16742000254946077,1,ok,101,False
D285_F07_V01,285,7,detrended_31,real_all,C100,,,,,,,,,,,0.21628055223154416,458,ok,0.20470417553413714,ok,42,1,0.23145050564950231,2,ok,101,False
D285_F07_V01,285,7,detrended_101,real_all,C16,16,0,0.13555462407815183,0.0075568138136201356,0.23659999513487145,16,0,0,0.13555462407815183,ok,,,,,,,,,,,,
D285_F07_V01,285,7,detrended_101,real_all,W100,,,,,,,,,,,0.32036702007967666,458,ok,0.38803761774540008,ok,42,0,0.32036702007967666,1,ok,101,False
D285_F07_V01,285,7,detrended_101,real_all,W500,,,,,,,,,,,0.35827866459772212,458,ok,0.44929270229907925,ok,42,0,0.35827866459772212,1,ok,101,False
D285_F07_V01,285,7,detrended_101,real_all,C100,,,,,,,,,,,0.36431216295005686,458,ok,0.40987067789875326,ok,42,1,0.37962800656645784,2,ok,101,False
D285_F10_V01,285,10,detrended_31,real_all,C16,16,0,0.083247561050693336,-0.0021202741835680142,0.21687484144691299,15,1,0,0.083247561050693336,ok,,,,,,,,,,,,
D285_F10_V01,285,10,detrended_31,real_all,W100,,,,,,,,,,,0.18361449966440724,494,ok,0.171032322506151,ok,42,1,0.1895226172404833,2,ok,101,False
D285_F10_V01,285,10,detrended_31,real_all,W500,,,,,,,,,,,0.24465635228834803,494,ok,0.23483781241810481,ok,42,0,0.24465635228834803,1,ok,101,False
D285_F10_V01,285,10,detrended_31,real_all,C100,,,,,,,,,,,0.31426591181317459,494,ok,0.30132837405577423,ok,42,0,0.31426591181317459,1,ok,101,False
D285_F10_V01,285,10,detrended_101,real_all,C16,16,0,0.22336732791209746,0.10117705144167283,0.35665795075046414,16,0,0,0.22336732791209746,ok,,,,,,,,,,,,
D285_F10_V01,285,10,detrended_101,real_all,W100,,,,,,,,,,,0.35257478026299854,494,ok,0.48557857471505916,ok,42,1,0.35369860403602266,2,ok,101,False
D285_F10_V01,285,10,detrended_101,real_all,W500,,,,,,,,,,,0.4084558362056136,494,ok,0.55958892779729497,ok,42,0,0.4084558362056136,1,ok,101,False
D285_F10_V01,285,10,detrended_101,real_all,C100,,,,,,,,,,,0.51322328088211333,494,ok,0.64866383934930272,ok,42,0,0.51322328088211333,1,ok,101,False
