diameter_um,mode,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,input_table,value_column,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,flow01,flow03,flow05,flow07,flow10
235,detrended_51,4,75,100,87.5,background_real_tail_covariation.csv,rho,5,0,0.006333320194658024,-0.0060767214120520637,0.090498769603287371,4,1,0,0.090498769603287371,0.00093765653397387763,-0.0060767214120520637,0.006333320194658024,0.059937362714151933
235,detrended_51,5,100,125,112.5,background_real_tail_covariation.csv,rho,5,0,-0.03725368172022385,-0.15159605520798136,0.013111517760313251,2,3,0,-0.03725368172022385,-0.044906836741387561,0.013111517760313251,0.011570139614229299,-0.15159605520798136
235,detrended_51,6,125,150,137.5,background_real_tail_covariation.csv,rho,5,0,-0.025601007801336464,-0.031849410227320164,0.041534048949742594,1,4,0,-0.028405063615496631,-0.031849410227320164,-0.0061827180100808132,0.041534048949742594,-0.025601007801336464
235,detrended_51,7,150,175,162.5,background_real_tail_covariation.csv,rho,5,0,0.046329713107151275,-0.08823876406786868,0.066012639889365704,4,1,0,0.046329713107151275,-0.08823876406786868,0.066012639889365704,0.047395025392383355,0.030685635204572716
235,detrended_51,8,175,200,187.5,background_real_tail_covariation.csv,rho,5,0,-0.0024391082907840918,-0.066937839764724782,0.056650680903044835,2,3,0,-0.066937839764724782,-0.0024391082907840918,-0.038998525669414419,0.056650680903044835,0.055768624000288897
235,detrended_51,9,200,225,212.5,background_real_tail_covariation.csv,rho,5,0,0.014564069279753445,-0.009339755956626514,0.067560279079077426,3,2,0,0.051720097904564569,-0.009339755956626514,-0.0061183448054283416,0.067560279079077426,0.014564069279753445
235,detrended_51,10,225,250,237.5,background_real_tail_covariation.csv,rho,5,0,0.013597097300056652,-0.067015593250836211,0.08129036051129028,3,2,0,0.013597097300056652,-0.056350917390303637,0.04000255035977842,-0.067015593250836211,0.08129036051129028
235,detrended_51,11,250,275,262.5,background_real_tail_covariation.csv,rho,5,0,-0.028438914588766809,-0.059431709066217323,0.036442944121337084,2,3,0,0.036442944121337084,-0.028438914588766809,0.01124441734555302,-0.051594299762047637,-0.059431709066217323
235,detrended_51,12,275,300,287.5,background_real_tail_covariation.csv,rho,5,0,0.056755171406183129,-0.062189154197347676,0.073790368413531912,4,1,0,0.008537693733689922,0.058900791180212783,-0.062189154197347676,0.056755171406183129,0.073790368413531912
235,detrended_51,13,300,325,312.5,background_real_tail_covariation.csv,rho,5,0,0.0069317005341243366,-0.05809910200943183,0.097985192646183772,3,2,0,0.04131906442080744,-0.05809910200943183,0.097985192646183772,-0.032528996723298037,0.0069317005341243366
235,detrended_51,14,325,350,337.5,background_real_tail_covariation.csv,rho,5,0,0.014702512497502087,-0.046004215460464001,0.047892452269024874,3,2,0,0.014702512497502087,-0.024278856315715056,0.047892452269024874,-0.046004215460464001,0.028148140844453277
235,detrended_51,15,350,375,362.5,background_real_tail_covariation.csv,rho,5,0,0.0028256790262855143,-0.066160216803248684,0.090209549309605813,4,1,0,0.0028256790262855143,0.00086141466856588507,-0.066160216803248684,0.018044382445131381,0.090209549309605813
235,detrended_51,16,375,400,387.5,background_real_tail_covariation.csv,rho,5,0,0.010806119836533132,-0.099345180297353272,0.068321674952567621,3,2,0,0.068321674952567621,0.056821365895382621,0.010806119836533132,-0.099345180297353272,-0.026335478830144792
235,detrended_51,17,400,425,412.5,background_real_tail_covariation.csv,rho,5,0,0.033359030683287758,-0.016438285046874262,0.084109560035223532,4,1,0,0.0076713894448973722,-0.016438285046874262,0.084109560035223532,0.036690460672164318,0.033359030683287758
235,detrended_51,18,425,450,437.5,background_real_tail_covariation.csv,rho,5,0,-0.002327241819556825,-0.031372090546493203,0.11312924018888484,2,3,0,-0.031372090546493203,0.11312924018888484,-0.002327241819556825,0.031744296243997348,-0.0082540384783448707
