scan_id,diameter_um,flow_mm_s,region,side,n_defined,curve_median,curve_MAD,RCV,first_median,last_median,first_coverage,last_coverage,signed_difference,absolute_difference,relative_difference,status
D128_F07_V01,128,7,source,bg,493,15371187.679328116,1009784.8643952459,0.097396965750783868,16156004.07252454,14777525.780580819,49,50,-1378478.2919437215,1378478.2919437215,-0.089679361198455917,ok
D128_F07_V01,128,7,tail100,left,493,16596081.911109345,1400505.6950364653,0.12511324989732289,17569652.669937488,15929887.771337211,49,50,-1639764.8986002766,1639764.8986002766,-0.098804338721817528,ok
D128_F07_V01,128,7,tail100,right,493,16708909.544379294,1382416.4899898395,0.12266334212985135,17522980.756065983,15868982.609249052,49,50,-1653998.1468169317,1653998.1468169317,-0.098988994010882042,ok
D128_F07_V01,128,7,tail100,bg,493,16677840.882598897,1070515.5274640154,0.095164975621881892,17389952.140411291,15901634.313575376,49,50,-1488317.8268359154,1488317.8268359154,-0.089239238898650042,ok
D128_F07_V01,128,7,tail500,left,493,16137496.132640243,774008.94973397441,0.07111051550026562,17275146.218220856,15545392.427768588,49,50,-1729753.790452268,1729753.790452268,-0.10718848675375418,ok
D128_F07_V01,128,7,tail500,right,493,16285638.480525004,647700.74962789752,0.058964905339551905,16967181.079720974,16064782.477396917,49,50,-902398.60232405737,902398.60232405737,-0.055410698414015545,ok
D128_F07_V01,128,7,tail500,bg,493,16208963.940818066,546812.22582036071,0.050015769605096086,17167456.84175289,15696612.94659631,49,50,-1470843.895156581,1470843.895156581,-0.090742622448103702,ok
D128_F10_V01,128,10,source,left,484,14757757.007275447,1335652.0617310535,0.13418283996316105,15871215.964570941,14170751.898909152,51,51,-1700464.0656617898,1700464.0656617898,-0.11522510262389303,ok
D128_F10_V01,128,10,source,right,484,15063783.129358621,1292663.7491051266,0.12722589391824712,15953983.682363452,14015575.218370035,51,51,-1938408.4639934171,1938408.4639934171,-0.12868005648697559,ok
D128_F10_V01,128,10,source,bg,484,14922694.115156002,1001814.9655771041,0.099532353642235546,15725659.634947428,14493927.075682038,51,51,-1231732.55926539,1231732.55926539,-0.082540897090050247,ok
D128_F10_V01,128,10,tail100,left,484,16250031.011777343,1329502.1502153669,0.12129945391985514,17237233.966438655,15777388.616511216,51,51,-1459845.3499274384,1459845.3499274384,-0.08983646547316762,ok
D128_F10_V01,128,10,tail100,right,484,16391214.139264971,1383890.168417464,0.12517410524097627,17303427.638158012,16222406.720373677,51,51,-1081020.9177843351,1081020.9177843351,-0.065951241232018412,ok
