scan_id,diameter_um,flow_mm_s,region,metric,n_geometry_valid,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F01_V01,128,1,s36,bg_mean,486,486,14,22070005.12291022,16584774.558958748,40677503.046054795,486,0,0
D128_F01_V01,128,1,s36,bg_median,486,486,14,15346008.663588859,10791515.884236673,23107122.602705453,486,0,0
D128_F01_V01,128,1,s36,bg_mad,486,486,14,10539876.795101702,7784851.8838348323,15603975.249777779,486,0,0
D128_F01_V01,128,1,t01,z_local,486,486,14,2.9742306585662681,0.092935903332503664,9.6465179335244731,486,0,0
D128_F01_V01,128,1,t01,real_minus_bg_mean,486,486,14,76706098.195532233,5682082.5614103377,232978039.4635019,486,0,0
D128_F01_V01,128,1,t01,signed_asymmetry,486,486,14,-0.0046117170069700369,-0.62521194078748443,0.7212304994533556,241,245,0
D128_F01_V01,128,1,t01,real_mean,486,486,14,101052600.01667538,32581628.595307559,258368815.89215544,486,0,0
D128_F01_V01,128,1,t01,real_median,486,486,14,65190242.461305484,19782266.738601703,171723064.07029688,486,0,0
D128_F01_V01,128,1,t01,real_mad,486,486,14,45305111.859117575,15937353.618636124,123133234.01504669,486,0,0
D128_F01_V01,128,1,t01,left_mean,486,486,14,23634428.982118439,14710486.559760908,37415421.489062496,486,0,0
D128_F01_V01,128,1,t01,left_median,486,486,14,16208943.999520982,7885209.8437298276,30418963.115304619,486,0,0
D128_F01_V01,128,1,t01,left_mad,486,486,14,10833313.843944462,5426303.9979719594,19600455.978181873,486,0,0
D128_F01_V01,128,1,t01,right_mean,486,486,14,23689076.465930626,14971102.797638748,39847718.642768897,486,0,0
D128_F01_V01,128,1,t01,right_median,486,486,14,16010954.972363282,7143350.4736361513,40478456.057667978,486,0,0
D128_F01_V01,128,1,t01,right_mad,486,486,14,10833999.510927882,5224938.0457874592,28690782.854615144,486,0,0
D128_F01_V01,128,1,t01,bg_mean,486,486,14,23888325.927006111,16343010.188639058,33450399.185623158,486,0,0
D128_F01_V01,128,1,t01,bg_median,486,486,14,16229422.657393552,9925290.4488548804,28126256.620760705,486,0,0
D128_F01_V01,128,1,t01,bg_mad,486,486,14,10975957.365586547,7001652.1686287727,20750241.029444296,486,0,0
D128_F01_V01,128,1,t02,z_local,486,486,14,2.3924490364551203,0.17209959602965208,6.650906799982395,486,0,0
D128_F01_V01,128,1,t02,real_minus_bg_mean,486,486,14,61162917.337833412,8990885.2903996259,165413867.53389755,486,0,0
D128_F01_V01,128,1,t02,signed_asymmetry,486,486,14,-0.00050523672811467397,-0.6520195395013938,0.63734364904788732,243,243,0
D128_F01_V01,128,1,t02,real_mean,486,486,14,84257267.161502212,31297526.908217959,188826418.0450246,486,0,0
D128_F01_V01,128,1,t02,real_median,486,486,14,56432446.709327988,17451451.577539042,124753540.33417441,486,0,0
D128_F01_V01,128,1,t02,real_mad,486,486,14,39054557.195230857,14473293.851155587,90951525.642373741,486,0,0
D128_F01_V01,128,1,t02,left_mean,486,486,14,23790796.801861271,13438241.960627723,36046311.738356762,486,0,0
D128_F01_V01,128,1,t02,left_median,486,486,14,16483628.524281943,9859247.4153194763,27674376.366369713,486,0,0
D128_F01_V01,128,1,t02,left_mad,486,486,14,11017275.560455091,5492857.5075816261,21382527.030539442,486,0,0
D128_F01_V01,128,1,t02,right_mean,486,486,14,23931712.366781004,15227749.901637768,35147165.221951321,486,0,0
D128_F01_V01,128,1,t02,right_median,486,486,14,16621495.29647246,8324713.9809091417,32693399.202478368,486,0,0
D128_F01_V01,128,1,t02,right_mad,486,486,14,11162659.289312178,4932964.3076067828,23331937.547180533,486,0,0
D128_F01_V01,128,1,t02,bg_mean,486,486,14,24131523.21124303,16834363.072947334,33308190.425262045,486,0,0
D128_F01_V01,128,1,t02,bg_median,486,486,14,16546156.467225455,10318907.440563748,25519623.663073611,486,0,0
D128_F01_V01,128,1,t02,bg_mad,486,486,14,11293741.81280241,7017835.0218973225,18357339.717683151,486,0,0
D128_F01_V01,128,1,t03,z_local,486,486,14,1.8866118786518284,-0.033579887031298335,6.3133576423907423,485,1,0
D128_F01_V01,128,1,t03,real_minus_bg_mean,486,486,14,49144503.285715297,6621397.6398840211,227522218.58735442,486,0,0
D128_F01_V01,128,1,t03,signed_asymmetry,486,486,14,-0.0067188826822280907,-0.66046367717714405,0.6196530060620975,236,250,0
D128_F01_V01,128,1,t03,real_mean,486,486,14,73214927.882659376,34179235.035026602,251515385.0030596,486,0,0
D128_F01_V01,128,1,t03,real_median,486,486,14,48659575.039620578,12280949.818219453,122224347.72251727,486,0,0
D128_F01_V01,128,1,t03,real_mad,486,486,14,33195898.543464921,8317985.6423483714,84214895.67621091,486,0,0
D128_F01_V01,128,1,t03,left_mean,486,486,14,24133140.352589369,13427721.122425178,36178423.364737652,486,0,0
D128_F01_V01,128,1,t03,left_median,486,486,14,16790633.734703675,7652265.8851954713,32242018.22562803,486,0,0
D128_F01_V01,128,1,t03,left_mad,486,486,14,11057579.708015587,4845522.142444713,21330761.738458622,486,0,0
D128_F01_V01,128,1,t03,right_mean,486,486,14,24406543.610477049,14367414.857917583,42366344.375069492,486,0,0
D128_F01_V01,128,1,t03,right_median,486,486,14,16716963.942515841,7834649.12401086,34515257.609091662,486,0,0
D128_F01_V01,128,1,t03,right_mad,486,486,14,11358665.766285693,4749439.3309563259,26529686.020897806,486,0,0
D128_F01_V01,128,1,t03,bg_mean,486,486,14,24392448.565890353,16622146.30232802,36999342.531858221,486,0,0
D128_F01_V01,128,1,t03,bg_median,486,486,14,16775208.676333012,9802811.7135372087,28141225.46638434,486,0,0
D128_F01_V01,128,1,t03,bg_mad,486,486,14,11507848.789000276,6866931.5804993613,17824581.954682864,486,0,0
D128_F01_V01,128,1,t04,z_local,486,486,14,1.4118036433643928,-0.1364311595516286,6.5939047269456372,484,2,0
D128_F01_V01,128,1,t04,real_minus_bg_mean,486,486,14,37294201.06733802,-1357078.7525340468,138333968.87804225,485,1,0
D128_F01_V01,128,1,t04,signed_asymmetry,486,486,14,-0.026013675275632281,-0.63718234483794445,0.79750819604680001,220,266,0
D128_F01_V01,128,1,t04,real_mean,486,486,14,62068398.539010644,27230419.740521047,159475661.6066567,486,0,0
D128_F01_V01,128,1,t04,real_median,486,486,14,40978540.258355469,15898061.018046876,89821513.861893356,486,0,0
D128_F01_V01,128,1,t04,real_mad,486,486,14,27842641.998549208,10045859.919279894,62248845.124006525,486,0,0
D128_F01_V01,128,1,t04,left_mean,486,486,14,23987001.287376218,14311572.929207871,39654801.906812131,486,0,0
D128_F01_V01,128,1,t04,left_median,486,486,14,16712904.895274455,8603062.4469496068,32439369.00234763,486,0,0
D128_F01_V01,128,1,t04,left_mad,486,486,14,11047910.044184668,4331205.5751350364,25577427.772130847,486,0,0
D128_F01_V01,128,1,t04,right_mean,486,486,14,25026513.488038622,13967610.252616279,40076613.721970133,486,0,0
D128_F01_V01,128,1,t04,right_median,486,486,14,17036096.586705983,7716477.653285441,33126535.218699157,486,0,0
D128_F01_V01,128,1,t04,right_mad,486,486,14,11516366.806852352,5177893.6198950429,25640599.147196244,486,0,0
D128_F01_V01,128,1,t04,bg_mean,486,486,14,24629063.500247162,17153162.284364179,35262036.435364909,486,0,0
D128_F01_V01,128,1,t04,bg_median,486,486,14,16832777.386988938,10115692.983895577,27725865.615252569,486,0,0
D128_F01_V01,128,1,t04,bg_mad,486,486,14,11485172.344847579,7300531.3708142899,17561240.421384685,486,0,0
D128_F01_V01,128,1,t05,z_local,486,486,14,1.1269186685160073,-0.21299365334775414,6.5016301242013634,483,3,0
D128_F01_V01,128,1,t05,real_minus_bg_mean,486,486,14,29209485.009235851,-617609.42736642435,78401830.071768105,484,2,0
D128_F01_V01,128,1,t05,signed_asymmetry,486,486,14,-0.0095737258726835035,-0.62889906527437645,0.69158646576677474,233,253,0
D128_F01_V01,128,1,t05,real_mean,486,486,14,53300126.549722508,23742809.841829285,98027918.178056121,486,0,0
D128_F01_V01,128,1,t05,real_median,486,486,14,35582383.864638172,13605955.70683484,87235779.133279458,486,0,0
D128_F01_V01,128,1,t05,real_mad,486,486,14,24705984.76308421,10866918.192818195,67995112.827227116,486,0,0
D128_F01_V01,128,1,t05,left_mean,486,486,14,24000650.479036346,14210641.596211137,36631791.406029925,486,0,0
D128_F01_V01,128,1,t05,left_median,486,486,14,16670221.563047636,8712868.2177099157,32926676.932367146,486,0,0
D128_F01_V01,128,1,t05,left_mad,486,486,14,11036926.035001591,5148392.6943298932,21819503.316745073,486,0,0
D128_F01_V01,128,1,t05,right_mean,486,486,14,24317251.789129518,15253753.459839299,38172941.66485475,486,0,0
D128_F01_V01,128,1,t05,right_median,486,486,14,16865031.220290415,6885171.3689494086,33663567.089871667,486,0,0
D128_F01_V01,128,1,t05,right_mad,486,486,14,11336546.291788565,5781539.4712080797,20877847.314561222,486,0,0
D128_F01_V01,128,1,t05,bg_mean,486,486,14,24446226.419322774,15943850.145997629,35562587.670422994,486,0,0
D128_F01_V01,128,1,t05,bg_median,486,486,14,16835782.91951935,10739879.611261094,30483557.856053095,486,0,0
D128_F01_V01,128,1,t05,bg_mad,486,486,14,11476607.614807105,7498408.6127095958,20491831.025916338,486,0,0
D128_F01_V01,128,1,t06,z_local,486,486,14,0.96208060429504094,-0.18373637943404247,4.1757098386140736,480,6,0
D128_F01_V01,128,1,t06,real_minus_bg_mean,486,486,14,23641909.198191915,1264374.7302666977,85182195.372963056,486,0,0
D128_F01_V01,128,1,t06,signed_asymmetry,486,486,14,0.0025912774087197814,-0.60854712468178163,0.59361938381146906,251,235,0
D128_F01_V01,128,1,t06,real_mean,486,486,14,47872404.144579321,25454123.116394036,109992275.13781086,486,0,0
D128_F01_V01,128,1,t06,real_median,486,486,14,32758253.878633216,14412727.051194785,61903696.375706993,486,0,0
D128_F01_V01,128,1,t06,real_mad,486,486,14,22105311.048477799,10997981.93150883,49614790.111903287,486,0,0
D128_F01_V01,128,1,t06,left_mean,486,486,14,24412309.600369439,14329159.29603629,37357300.596158281,486,0,0
D128_F01_V01,128,1,t06,left_median,486,486,14,16712995.356424762,8396256.6718295049,27796969.428075742,486,0,0
D128_F01_V01,128,1,t06,left_mad,486,486,14,11203150.441469196,5533570.4412801405,21348786.945343021,486,0,0
