scan_id,diameter_um,flow_mm_s,side,mode,kind,region,rho,n_pairs,status
D235_F03_V01,235,3,real,detrended_51,same_ROI_structural_vs_SV,source,0.71931405238119617,448,ok
D235_F03_V01,235,3,real,detrended_51,same_ROI_structural_vs_SV,tail100,0.75963644495064742,448,ok
D235_F03_V01,235,3,real,detrended_51,same_ROI_structural_vs_SV,tail500,0.75594274227809644,448,ok
D235_F03_V01,235,3,real,detrended_51,structural_source_vs_tail,tail100,0.39518067481436081,448,ok
D235_F03_V01,235,3,real,detrended_51,structural_source_vs_tail,tail500,0.48417775779149652,448,ok
D235_F03_V01,235,3,left,raw,same_ROI_structural_vs_SV,source,0.35415002872047607,448,ok
D235_F03_V01,235,3,left,raw,same_ROI_structural_vs_SV,tail100,0.32578535554668198,448,ok
D235_F03_V01,235,3,left,raw,same_ROI_structural_vs_SV,tail500,0.48703948478241837,448,ok
D235_F03_V01,235,3,left,raw,structural_source_vs_tail,tail100,0.36174814277813483,448,ok
D235_F03_V01,235,3,left,raw,structural_source_vs_tail,tail500,0.41068238890300596,448,ok
D235_F03_V01,235,3,left,detrended_51,same_ROI_structural_vs_SV,source,0.28525057043184426,448,ok
D235_F03_V01,235,3,left,detrended_51,same_ROI_structural_vs_SV,tail100,0.26773615666974965,448,ok
D235_F03_V01,235,3,left,detrended_51,same_ROI_structural_vs_SV,tail500,0.42169420185459644,448,ok
D235_F03_V01,235,3,left,detrended_51,structural_source_vs_tail,tail100,0.14829421230919609,448,ok
D235_F03_V01,235,3,left,detrended_51,structural_source_vs_tail,tail500,0.21019049604740025,448,ok
D235_F03_V01,235,3,right,raw,same_ROI_structural_vs_SV,source,0.2294868804011044,448,ok
D235_F03_V01,235,3,right,raw,same_ROI_structural_vs_SV,tail100,0.15811169275710166,448,ok
D235_F03_V01,235,3,right,raw,same_ROI_structural_vs_SV,tail500,0.27067353787152443,448,ok
D235_F03_V01,235,3,right,raw,structural_source_vs_tail,tail100,0.2018538319948239,448,ok
D235_F03_V01,235,3,right,raw,structural_source_vs_tail,tail500,0.22881531239123054,448,ok
D235_F03_V01,235,3,right,detrended_51,same_ROI_structural_vs_SV,source,0.20773249047177256,448,ok
D235_F03_V01,235,3,right,detrended_51,same_ROI_structural_vs_SV,tail100,0.21642275209154657,448,ok
D235_F03_V01,235,3,right,detrended_51,same_ROI_structural_vs_SV,tail500,0.35409942658390536,448,ok
D235_F03_V01,235,3,right,detrended_51,structural_source_vs_tail,tail100,0.22702317762066662,448,ok
D235_F03_V01,235,3,right,detrended_51,structural_source_vs_tail,tail500,0.2764617512474789,448,ok
D235_F05_V01,235,5,real,raw,same_ROI_structural_vs_SV,source,0.84065380467723017,424,ok
D235_F05_V01,235,5,real,raw,same_ROI_structural_vs_SV,tail100,0.76383498240725434,424,ok
D235_F05_V01,235,5,real,raw,same_ROI_structural_vs_SV,tail500,0.75458332349399015,424,ok
D235_F05_V01,235,5,real,raw,structural_source_vs_tail,tail100,0.44767641942365061,424,ok
D235_F05_V01,235,5,real,raw,structural_source_vs_tail,tail500,0.53938571012507774,424,ok
D235_F05_V01,235,5,real,detrended_51,same_ROI_structural_vs_SV,source,0.73956497631777729,424,ok
