scan_id,diameter_um,flow_mm_s,mode,support,metric,old_value,new_value,new_minus_old,old_status,new_status,paired_percent_change_median,identity_max_absolute_error,direction_status
D235_F07_V01,235,7,per_frame_then_median,,RI100,0.28068803635635176,0.23415256009957408,-0.046535476256777675,derived_from_saved_same_identity_means,ok,-16.368051017797153,3.3306690738754696e-16,same_sign_reduced
D235_F07_V01,235,7,per_frame_then_median,,RI500,0.17529068400131981,0.14296228599655492,-0.032328398004764891,derived_from_saved_same_identity_means,ok,-17.971658637916413,4.4408920985006262e-16,same_sign_reduced
D235_F10_V01,235,10,raw,real_all,C16,0.24835423936621709,0.27875019444386606,0.030395955077648973,ok,ok,,,same_sign_increased
D235_F10_V01,235,10,raw,real_all,W100,0.28742245211169098,0.32472787045077905,0.03730541833908807,saved_v1,ok,,,same_sign_increased
D235_F10_V01,235,10,raw,real_all,W500,0.27769339968717499,0.38730009027094758,0.10960669058377259,saved_v1,ok,,,same_sign_increased
D235_F10_V01,235,10,detrended_51,real_all,C16,0.20180418002215572,0.22051682113117782,0.018712641109022099,ok,ok,,,same_sign_increased
D235_F10_V01,235,10,detrended_51,real_all,W100,0.32157327585548467,0.37388206639269184,0.052308790537207162,saved_v1,ok,,,same_sign_increased
D235_F10_V01,235,10,detrended_51,real_all,W500,0.23678714598734724,0.40743290116263842,0.17064575517529118,saved_v1,ok,,,same_sign_increased
D235_F10_V01,235,10,per_frame_then_median,,RI100,0.27741686923340886,0.22888567244423688,-0.048531196789171976,derived_from_saved_same_identity_means,ok,-15.55695473865727,2.2204460492503131e-16,same_sign_reduced
D235_F10_V01,235,10,per_frame_then_median,,RI500,0.16937144089605621,0.14007813403814831,-0.029293306857907903,derived_from_saved_same_identity_means,ok,-17.128823725242203,2.2204460492503131e-16,same_sign_reduced
D285_F01_V01,285,1,raw,real_all,C16,0.21024728003323268,0.18351736671123675,-0.026729913321995924,ok,ok,,,same_sign_reduced
D285_F01_V01,285,1,raw,real_all,W100,0.41795228411114965,0.39274200481707977,-0.025210279294069882,saved_v1,ok,,,same_sign_reduced
D285_F01_V01,285,1,raw,real_all,W500,0.57762771341550789,0.68581695561486189,0.108189242199354,saved_v1,ok,,,same_sign_increased
D285_F01_V01,285,1,detrended_51,real_all,C16,0.13548090011957981,0.13749972230141777,0.0020188221818379648,ok,ok,,,same_sign_increased
D285_F01_V01,285,1,detrended_51,real_all,W100,0.264642419297689,0.31717149804628997,0.052529078748600966,saved_v1,ok,,,same_sign_increased
D285_F01_V01,285,1,detrended_51,real_all,W500,0.19767942909647918,0.3585297848730235,0.16085035577654433,saved_v1,ok,,,same_sign_increased
D285_F01_V01,285,1,per_frame_then_median,,RI100,0.25005788467519868,0.2049835580654048,-0.04507432660979388,derived_from_saved_same_identity_means,ok,-17.622949023033531,2.2204460492503131e-16,same_sign_reduced
D285_F01_V01,285,1,per_frame_then_median,,RI500,0.16251867935806913,0.13272170147554466,-0.029796977882524472,derived_from_saved_same_identity_means,ok,-18.540925709667789,2.2204460492503131e-16,same_sign_reduced
D285_F03_V01,285,3,raw,real_all,C16,0.23747122777908458,0.22514935074995809,-0.012321877029126488,ok,ok,,,same_sign_reduced
D285_F03_V01,285,3,raw,real_all,W100,0.44050300504385387,0.46203013354028954,0.021527128496435677,saved_v1,ok,,,same_sign_increased
D285_F03_V01,285,3,raw,real_all,W500,0.64242099347439985,0.67636819991746167,0.033947206443061817,saved_v1,ok,,,same_sign_increased
D285_F03_V01,285,3,detrended_51,real_all,C16,0.10776608678950919,0.083769997246192163,-0.023996089543317028,ok,ok,,,same_sign_reduced
D285_F03_V01,285,3,detrended_51,real_all,W100,0.16246242397655442,0.2003444456447302,0.03788202166817578,saved_v1,ok,,,same_sign_increased
D285_F03_V01,285,3,detrended_51,real_all,W500,0.18951123218183077,0.27000212184519917,0.080490889663368398,saved_v1,ok,,,same_sign_increased
D285_F03_V01,285,3,per_frame_then_median,,RI100,0.24777411029389146,0.20164976196524345,-0.046124348328648007,derived_from_saved_same_identity_means,ok,-17.925556430937796,2.2204460492503131e-16,same_sign_reduced
D285_F03_V01,285,3,per_frame_then_median,,RI500,0.16206788236239963,0.13095530836444219,-0.031112573997957443,derived_from_saved_same_identity_means,ok,-18.724425090657604,2.2204460492503131e-16,same_sign_reduced
D285_F05_V01,285,5,raw,real_all,C16,0.25254441420863727,0.24506233662411814,-0.0074820775845191312,ok,ok,,,same_sign_reduced
D285_F05_V01,285,5,raw,real_all,W100,0.34431340843237446,0.37920756972862235,0.034894161296247894,saved_v1,ok,,,same_sign_increased
D285_F05_V01,285,5,raw,real_all,W500,0.60815330981664417,0.64763970435835949,0.039486394541715319,saved_v1,ok,,,same_sign_increased
D285_F05_V01,285,5,detrended_51,real_all,C16,0.13072803170678071,0.13442732449436331,0.0036992927875826032,ok,ok,,,same_sign_increased
D285_F05_V01,285,5,detrended_51,real_all,W100,0.15669134516122987,0.22799809119776163,0.071306746036531754,saved_v1,ok,,,same_sign_increased
D285_F05_V01,285,5,detrended_51,real_all,W500,0.15735267505233336,0.28733370987447399,0.12998103482214063,saved_v1,ok,,,same_sign_increased
D285_F05_V01,285,5,per_frame_then_median,,RI100,0.24621206821365485,0.20424396703283285,-0.041968101180822004,derived_from_saved_same_identity_means,ok,-17.593678501519491,2.2204460492503131e-16,same_sign_reduced
D285_F05_V01,285,5,per_frame_then_median,,RI500,0.15851643840265062,0.13094398005305494,-0.02757245834959568,derived_from_saved_same_identity_means,ok,-18.341278362880814,2.2204460492503131e-16,same_sign_reduced
D285_F07_V01,285,7,raw,real_all,C16,0.38204576356260833,0.40124266257071534,0.019196899008107005,ok,ok,,,same_sign_increased
D285_F07_V01,285,7,raw,real_all,W100,0.60000347241543783,0.6168073400866817,0.016803867671243866,saved_v1,ok,,,same_sign_increased
D285_F07_V01,285,7,raw,real_all,W500,0.71633351151321178,0.74119862909538148,0.024865117582169693,saved_v1,ok,,,same_sign_increased
D285_F07_V01,285,7,detrended_51,real_all,C16,0.092306491695338125,0.10966066457883336,0.017354172883495236,ok,ok,,,same_sign_increased
D285_F07_V01,285,7,detrended_51,real_all,W100,0.20308751890284646,0.22928497994187977,0.02619746103903331,saved_v1,ok,,,same_sign_increased
D285_F07_V01,285,7,detrended_51,real_all,W500,0.16498687310955695,0.24010875983557273,0.075121886726015774,saved_v1,ok,,,same_sign_increased
D285_F07_V01,285,7,per_frame_then_median,,RI100,0.24518251916612094,0.20826992156020055,-0.036912597605920389,derived_from_saved_same_identity_means,ok,-14.942053244226377,3.3306690738754696e-16,same_sign_reduced
D285_F07_V01,285,7,per_frame_then_median,,RI500,0.16095275520138363,0.13697427484533969,-0.023978480356043941,derived_from_saved_same_identity_means,ok,-14.8681849585438,2.2204460492503131e-16,same_sign_reduced
D285_F10_V01,285,10,raw,real_all,C16,0.30806882168043698,0.26682025849315272,-0.04124856318728426,ok,ok,,,same_sign_reduced
D285_F10_V01,285,10,raw,real_all,W100,0.43842269257023186,0.4544457144222277,0.016023021851995833,saved_v1,ok,,,same_sign_increased
D285_F10_V01,285,10,raw,real_all,W500,0.578470964998135,0.62524609656028463,0.04677513156214963,saved_v1,ok,,,same_sign_increased
D285_F10_V01,285,10,detrended_51,real_all,C16,0.18477137587730205,0.17159429904284068,-0.013177076834461371,ok,ok,,,same_sign_reduced
D285_F10_V01,285,10,detrended_51,real_all,W100,0.23266869654994365,0.25952167765251671,0.026852981102573059,saved_v1,ok,,,same_sign_increased
D285_F10_V01,285,10,detrended_51,real_all,W500,0.2411367895497647,0.31982355557276509,0.078686766023000398,saved_v1,ok,,,same_sign_increased
D285_F10_V01,285,10,per_frame_then_median,,RI100,0.24559664661580904,0.20190292792899753,-0.043693718686811517,derived_from_saved_same_identity_means,ok,-18.174725449148717,3.3306690738754696e-16,same_sign_reduced
D285_F10_V01,285,10,per_frame_then_median,,RI500,0.16013145527090444,0.13143221939853203,-0.028699235872372414,derived_from_saved_same_identity_means,ok,-18.172294709490281,2.2204460492503131e-16,same_sign_reduced
