scan_id,diameter_um,flow_mm_s,offset,n_common,baseline_common_C16,C16_change,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,value,status
D285_F05_V01,285,5,baseline,492,0.13442732449436331,0,16,0,0.13442732449436331,0.058860628584612766,0.22311725151939751,16,0,0,0.13442732449436331,ok
D285_F05_V01,285,5,xp,492,0.13442732449436331,-0.013986200531314719,16,0,0.1204411239630486,0.041202643993646107,0.22531393362487945,16,0,0,0.1204411239630486,ok
D285_F05_V01,285,5,xm,492,0.13442732449436331,0.007659972574588253,16,0,0.14208729706895157,0.057707488197903729,0.24135144644230522,16,0,0,0.14208729706895157,ok
D285_F05_V01,285,5,zp,492,0.13442732449436331,-0.013509982177819721,16,0,0.12091734231654359,0.044532155428847336,0.2508682939474054,16,0,0,0.12091734231654359,ok
D285_F05_V01,285,5,zm,492,0.13442732449436331,0.0061957624416144608,16,0,0.14062308693597778,0.07556159790976863,0.21645992979829007,16,0,0,0.14062308693597778,ok
D285_F07_V01,285,7,baseline,458,0.10966066457883336,0,16,0,0.10966066457883336,0.00083631645662637889,0.21154730426429985,16,0,0,0.10966066457883336,ok
D285_F07_V01,285,7,xp,458,0.10966066457883336,0.0031766639079265357,16,0,0.1128373284867599,0.0063893178325115148,0.20683197008078774,16,0,0,0.1128373284867599,ok
D285_F07_V01,285,7,xm,458,0.10966066457883336,-0.0058782399992845652,16,0,0.1037824245795488,0.020993059302564766,0.22821844511538097,16,0,0,0.1037824245795488,ok
D285_F07_V01,285,7,zp,458,0.10966066457883336,-0.031598545693174385,16,0,0.078062118885658976,0.030418539472878762,0.22828489563431723,16,0,0,0.078062118885658976,ok
D285_F07_V01,285,7,zm,458,0.10966066457883336,-0.0082105988444505784,16,0,0.10145006573438278,-0.013823502170806773,0.22149636121235422,14,2,0,0.10145006573438278,ok
D285_F10_V01,285,10,baseline,494,0.17159429904284068,0,16,0,0.17159429904284068,0.065525495266424802,0.29037779248379431,16,0,0,0.17159429904284068,ok
D285_F10_V01,285,10,xp,494,0.17159429904284068,0.022035377537434425,16,0,0.19362967658027511,0.072314572181534489,0.27982410953586118,16,0,0,0.19362967658027511,ok
D285_F10_V01,285,10,xm,494,0.17159429904284068,-0.016017171572101307,16,0,0.15557712747073937,0.044754367674144313,0.30868929126290423,16,0,0,0.15557712747073937,ok
D285_F10_V01,285,10,zp,494,0.17159429904284068,-0.017591891033395063,16,0,0.15400240800944562,0.057510327559896941,0.30724498351096857,16,0,0,0.15400240800944562,ok
D285_F10_V01,285,10,zm,494,0.17159429904284068,0.021772250406192573,16,0,0.19336654944903325,0.078216811062030558,0.29014077953141437,16,0,0,0.19336654944903325,ok
