scan_id,diameter_um,flow_mm_s,region,metric,unit,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D285_F05_V01,285,5,tail100,area,um2,492,8,28500.000000000036,28499.999999999982,28500.000000000036,492,0,0
D285_F05_V01,285,5,tail500,Q,raw_SV_instrument_units_um2,492,8,4145411742111.7021,3631322788445.583,4961828369344.2256,492,0,0
D285_F05_V01,285,5,tail500,area,um2,492,8,142500.00000000012,142500.00000000009,142500.00000000012,492,0,0
D285_F07_V01,285,7,source,Q,raw_SV_instrument_units_um2,458,42,13801426741466.977,7379844479708.9189,24120977512906.734,458,0,0
D285_F07_V01,285,7,source,area,um2,458,42,63795.895117187494,63787.253164062502,63800.548476562501,458,0,0
D285_F07_V01,285,7,tail100,Q,raw_SV_instrument_units_um2,458,42,1296356082331.9333,982835305729.93262,1773517393720.0586,458,0,0
D285_F07_V01,285,7,tail100,area,um2,458,42,28500.000000000036,28500.000000000036,28500.000000000036,458,0,0
D285_F07_V01,285,7,tail500,Q,raw_SV_instrument_units_um2,458,42,4207132743341.7397,3619865311656.3755,5021644369940.3662,458,0,0
D285_F07_V01,285,7,tail500,area,um2,458,42,142500.00000000012,142500.00000000009,142500.00000000012,458,0,0
D285_F10_V01,285,10,source,Q,raw_SV_instrument_units_um2,494,6,13485476161489.066,9027459160026.9453,24105025695631.316,494,0,0
D285_F10_V01,285,10,source,area,um2,494,6,63795.562734375009,63787.253164062502,63800.216093750001,494,0,0
D285_F10_V01,285,10,tail100,Q,raw_SV_instrument_units_um2,494,6,1238933187653.2969,968104623172.56531,2303369498027.9517,494,0,0
D285_F10_V01,285,10,tail100,area,um2,494,6,28500.000000000036,28500.000000000036,28500.000000000036,494,0,0
D285_F10_V01,285,10,tail500,Q,raw_SV_instrument_units_um2,494,6,4002196340623.4336,3470141699575.7676,5600476599186.623,494,0,0
D285_F10_V01,285,10,tail500,area,um2,494,6,142500.00000000012,142500.00000000009,142500.00000000012,494,0,0
