scan_id,diameter_um,flow_mm_s,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,metric,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F05_V01,128,5,13,300,325,312.5,tail_mean,491,9,28865745.475279614,17022636.337317921,47478925.039742701,491,0,0
D128_F05_V01,128,5,13,300,325,312.5,RI,491,9,0.15311509169471235,0.063864025108316111,0.3831133827522773,491,0,0
D128_F05_V01,128,5,14,325,350,337.5,tail_mean,491,9,26994045.637679845,16420683.917556291,46007888.596454017,491,0,0
D128_F05_V01,128,5,14,325,350,337.5,RI,491,9,0.14306432432287405,0.054321867919308417,0.39022842682950593,491,0,0
D128_F05_V01,128,5,15,350,375,362.5,tail_mean,491,9,26169812.965140842,16262644.306422921,46465907.760840133,491,0,0
D128_F05_V01,128,5,15,350,375,362.5,RI,491,9,0.13915544932918847,0.049745924725293246,0.33159824795719939,491,0,0
D128_F05_V01,128,5,16,375,400,387.5,tail_mean,491,9,25726648.113613036,14377551.138206705,42711540.826147191,491,0,0
D128_F05_V01,128,5,16,375,400,387.5,RI,491,9,0.1344924217246185,0.049664528791895125,0.29258550302351971,491,0,0
D128_F05_V01,128,5,17,400,425,412.5,tail_mean,491,9,25199938.695221458,13529342.646344205,40489699.572725289,491,0,0
D128_F05_V01,128,5,17,400,425,412.5,RI,491,9,0.13542636757112944,0.057234429352547619,0.2699809926180074,491,0,0
D128_F05_V01,128,5,18,425,450,437.5,tail_mean,491,9,24791075.140688423,15403810.658378284,39093693.413352787,491,0,0
D128_F05_V01,128,5,18,425,450,437.5,RI,491,9,0.13204637335536873,0.048959884839040742,0.30548004372065607,491,0,0
D128_F05_V01,128,5,19,450,475,462.5,tail_mean,491,9,24035404.878148586,14735594.177538041,39819083.045805432,491,0,0
D128_F05_V01,128,5,19,450,475,462.5,RI,491,9,0.12886026946717294,0.050472706040130121,0.30023468928430869,491,0,0
D128_F05_V01,128,5,20,475,500,487.5,tail_mean,491,9,24171230.841218963,13985812.875011494,40190384.119349271,491,0,0
D128_F05_V01,128,5,20,475,500,487.5,RI,491,9,0.12402494130425236,0.044501366798686159,0.27983192502182247,491,0,0
D128_F07_V01,128,7,1,0,25,12.5,tail_mean,493,7,97548550.904858097,38870867.78468249,263254559.1111041,493,0,0
D128_F07_V01,128,7,1,0,25,12.5,RI,493,7,0.66945519409569232,0.24296061298859403,1.7731074684092216,493,0,0
D128_F07_V01,128,7,2,25,50,37.5,tail_mean,493,7,83164189.473139733,30330518.773392901,220799353.90711194,493,0,0
D128_F07_V01,128,7,2,25,50,37.5,RI,493,7,0.57566154603321984,0.18320523272484479,1.362011150130964,493,0,0
D128_F07_V01,128,7,3,50,75,62.5,tail_mean,493,7,71851541.27173458,32205541.915334344,221726626.31798282,493,0,0
D128_F07_V01,128,7,3,50,75,62.5,RI,493,7,0.49077777618517587,0.18725571852097539,1.9315712481765643,493,0,0
D128_F07_V01,128,7,4,75,100,87.5,tail_mean,493,7,60092157.091944419,28930050.996891275,134842536.14275241,493,0,0
D128_F07_V01,128,7,4,75,100,87.5,RI,493,7,0.41791215543386889,0.1276907849621951,1.0291673246342552,493,0,0
D128_F07_V01,128,7,5,100,125,112.5,tail_mean,493,7,53743448.632358253,25150071.888170782,116904565.16754645,493,0,0
D128_F07_V01,128,7,5,100,125,112.5,RI,493,7,0.36991866591397266,0.13452504610911767,0.94688100928656505,493,0,0
D128_F07_V01,128,7,6,125,150,137.5,tail_mean,493,7,47924692.927364789,21903630.364752721,104498839.0409334,493,0,0
D128_F07_V01,128,7,6,125,150,137.5,RI,493,7,0.32880988839663322,0.10518393118532066,0.80566293454688964,493,0,0
D128_F07_V01,128,7,7,150,175,162.5,tail_mean,493,7,43383737.911023013,23752606.909223992,84483120.11855793,493,0,0
D128_F07_V01,128,7,7,150,175,162.5,RI,493,7,0.2959166927868882,0.099509845369194883,0.77903659834586314,493,0,0
D128_F07_V01,128,7,8,175,200,187.5,tail_mean,493,7,38777212.622197188,19861130.067181818,84174279.383671269,493,0,0
D128_F07_V01,128,7,8,175,200,187.5,RI,493,7,0.26782621456501704,0.09761691211087338,0.66679635919722013,493,0,0
D128_F07_V01,128,7,9,200,225,212.5,tail_mean,493,7,36193012.992137648,19756836.336003006,65267944.844652049,493,0,0
D128_F07_V01,128,7,9,200,225,212.5,RI,493,7,0.24921997302648832,0.070729128012948922,0.57128590467594675,493,0,0
D128_F07_V01,128,7,10,225,250,237.5,tail_mean,493,7,33800993.733526662,15390781.94478151,61183968.283842526,493,0,0
D128_F07_V01,128,7,10,225,250,237.5,RI,493,7,0.23128159388149735,0.080754833687087871,0.48756208802567508,493,0,0
D128_F07_V01,128,7,11,250,275,262.5,tail_mean,493,7,31884338.095790401,15446711.11714701,56531574.959832348,493,0,0
D128_F07_V01,128,7,11,250,275,262.5,RI,493,7,0.21777898379143965,0.081633350739193922,0.52052843361767953,493,0,0
D128_F07_V01,128,7,12,275,300,287.5,tail_mean,493,7,30266284.921510682,16996854.039776616,53806025.465908721,493,0,0
