scan_id,diameter_um,flow_mm_s,mode,support,pair,mean_mean_rho,actual_q_q_rho,actual_q_minus_mean,theoretical_q_q_rho,theoretical_scale_error,n_pairs,status
D235_F03_V01,235,3,detrended_51,real_all,W500,0.32820670645012101,0.32808659283865971,-0.00012011361146130328,0.32820670645012101,0,448,ok
D235_F03_V01,235,3,detrended_51,real_all,C100,0.3042269175368118,0.30411067426834471,-0.00011624326846709776,0.3042269175368118,0,448,ok
D235_F05_V01,235,5,raw,real_all,W100,0.29377208932549337,0.29382734707692792,5.5257751434556468e-05,0.29377208932549337,0,424,ok
D235_F05_V01,235,5,raw,real_all,W500,0.3740112247227273,0.37401878133830813,7.5566155808282076e-06,0.3740112247227273,0,424,ok
D235_F05_V01,235,5,raw,real_all,C100,0.38570587448146659,0.38554513897088344,-0.00016073551058315427,0.38570587448146659,0,424,ok
D235_F05_V01,235,5,detrended_51,real_all,W100,0.28455510714342497,0.28446458497218358,-9.0522171241391725e-05,0.28455510714342497,0,424,ok
D235_F05_V01,235,5,detrended_51,real_all,W500,0.37201275780486248,0.37200583088925343,-6.9269156090512318e-06,0.37201275780486248,0,424,ok
D235_F05_V01,235,5,detrended_51,real_all,C100,0.31275536463882364,0.31270970978268686,-4.5654856136778665e-05,0.31275536463882364,0,424,ok
D235_F07_V01,235,7,raw,real_all,W100,0.29683006363453773,0.29682046669897633,-9.5969355614067275e-06,0.29683006363453773,0,444,ok
D235_F07_V01,235,7,raw,real_all,W500,0.35584751566185607,0.35580432945182988,-4.3186210026191496e-05,0.35584751566185607,0,444,ok
D235_F07_V01,235,7,raw,real_all,C100,0.39167301321155279,0.39172675605069651,5.3742839143722243e-05,0.39167301321155279,0,444,ok
D235_F07_V01,235,7,detrended_51,real_all,W100,0.26885517043200452,0.26887450140485702,1.9330972852504846e-05,0.26885517043200452,0,444,ok
D235_F07_V01,235,7,detrended_51,real_all,W500,0.32119183053452915,0.32114631360895068,-4.5516925578470424e-05,0.32119183053452915,0,444,ok
D235_F07_V01,235,7,detrended_51,real_all,C100,0.32423145818034615,0.32422789547508479,-3.5627052613618204e-06,0.32423145818034615,0,444,ok
D235_F10_V01,235,10,raw,real_all,W100,0.32472787045077905,0.32476767785642635,3.9807405647296346e-05,0.32472787045077905,0,461,ok
