diameter_um,mode,pair,source_table,metric,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,flow01,flow03,flow05,flow07,flow10,region,side,offset
128,,,background_drift.csv,signed_difference,5,0,-1598702.0152452774,-1866906.9003682677,-1261624.2853995878,0,5,0,-1598702.0152452774,-1261624.2853995878,-1866906.9003682677,-1470843.895156581,-1709933.4600745104,tail500,bg,
128,,,background_drift.csv,absolute_difference,5,0,1598702.0152452774,1261624.2853995878,1866906.9003682677,5,0,0,1598702.0152452774,1261624.2853995878,1866906.9003682677,1470843.895156581,1709933.4600745104,tail500,bg,
128,,,background_drift.csv,relative_difference,5,0,-0.099615657610280003,-0.11668427044474146,-0.07904627871981916,0,5,0,-0.099615657610280003,-0.07904627871981916,-0.11668427044474146,-0.090742622448103702,-0.10833877659616627,tail500,bg,
128,,,background_drift.csv,RCV,5,0,0.06839945398356613,0.063225674041696017,0.072459523888561972,5,0,0,0.063225674041696017,0.067475177239604014,0.06839945398356613,0.07111051550026562,0.072459523888561972,tail500,left,
128,,,background_drift.csv,signed_difference,5,0,-1813398.6196599677,-2357017.2721760105,-1494216.682935087,0,5,0,-1813398.6196599677,-1494216.682935087,-2357017.2721760105,-1729753.790452268,-2043799.7739863731,tail500,left,
128,,,background_drift.csv,absolute_difference,5,0,1813398.6196599677,1494216.682935087,2357017.2721760105,5,0,0,1813398.6196599677,1494216.682935087,2357017.2721760105,1729753.790452268,2043799.7739863731,tail500,left,
128,,,background_drift.csv,relative_difference,5,0,-0.11331069456144996,-0.14850970501731955,-0.093862749957653049,0,5,0,-0.11331069456144996,-0.093862749957653049,-0.14850970501731955,-0.10718848675375418,-0.13010979959900207,tail500,left,
128,,,background_drift.csv,RCV,5,0,0.064089292128507558,0.058964905339551905,0.071116297861201494,5,0,0,0.063577750897006222,0.071116297861201494,0.067422803083290878,0.058964905339551905,0.064089292128507558,tail500,right,
128,,,background_drift.csv,signed_difference,5,0,-1092046.8386996444,-1405850.2491374295,-902398.60232405737,0,5,0,-1369944.4682677761,-962059.73866019398,-1405850.2491374295,-902398.60232405737,-1092046.8386996444,tail500,right,
128,,,background_drift.csv,absolute_difference,5,0,1092046.8386996444,902398.60232405737,1405850.2491374295,5,0,0,1369944.4682677761,962059.73866019398,1405850.2491374295,902398.60232405737,1092046.8386996444,tail500,right,
128,,,background_drift.csv,relative_difference,5,0,-0.068467423737889124,-0.087115733294465814,-0.055410698414015545,0,5,0,-0.084472559681741069,-0.059663571885864713,-0.087115733294465814,-0.055410698414015545,-0.068467423737889124,tail500,right,
235,,,background_drift.csv,RCV,5,0,0.054738621237368695,0.050634111383969935,0.059181716835595914,5,0,0,0.053447471422644922,0.059181716835595914,0.050634111383969935,0.054738621237368695,0.058585673789620096,source,bg,
235,,,background_drift.csv,signed_difference,5,0,-1046997.1021063514,-1388677.7742997594,-434968.33498621173,0,5,0,-1081528.5964865312,-1388677.7742997594,-1046997.1021063514,-434968.33498621173,-782147.42911717482,source,bg,
235,,,background_drift.csv,absolute_difference,5,0,1046997.1021063514,434968.33498621173,1388677.7742997594,5,0,0,1081528.5964865312,1388677.7742997594,1046997.1021063514,434968.33498621173,782147.42911717482,source,bg,
235,,,background_drift.csv,relative_difference,5,0,-0.067888807713186242,-0.087416214039593404,-0.028627582174726194,0,5,0,-0.071244037162550122,-0.087416214039593404,-0.067888807713186242,-0.028627582174726194,-0.050217386552862932,source,bg,
235,,,background_drift.csv,RCV,5,0,0.072339176248117656,0.0696698769198697,0.081865886119360937,5,0,0,0.071817249083699283,0.081865886119360937,0.0696698769198697,0.072339176248117656,0.080811630890946201,source,left,
235,,,background_drift.csv,signed_difference,5,0,-793006.40837882832,-2440737.1826262996,-611647.9687798731,0,5,0,-793006.40837882832,-2440737.1826262996,-909901.41630116105,-611647.9687798731,-769441.77455844544,source,left,
