scan_id,diameter_um,flow_mm_s,module,region,metric,reason,n_positions
D128_F05_V01,128,5,local_background,t17,signed_asymmetry,ok,491
D128_F05_V01,128,5,local_background,t17,signed_asymmetry,invalid_geometry,9
D128_F05_V01,128,5,local_background,t18,z_local,ok,491
D128_F05_V01,128,5,local_background,t18,z_local,invalid_geometry,9
D128_F05_V01,128,5,local_background,t18,signed_asymmetry,ok,491
D128_F05_V01,128,5,local_background,t18,signed_asymmetry,invalid_geometry,9
D128_F05_V01,128,5,local_background,t19,z_local,ok,491
D128_F05_V01,128,5,local_background,t19,z_local,invalid_geometry,9
D128_F05_V01,128,5,local_background,t19,signed_asymmetry,ok,491
D128_F05_V01,128,5,local_background,t19,signed_asymmetry,invalid_geometry,9
D128_F05_V01,128,5,local_background,t20,z_local,ok,491
D128_F05_V01,128,5,local_background,t20,z_local,invalid_geometry,9
D128_F05_V01,128,5,local_background,t20,signed_asymmetry,ok,491
D128_F05_V01,128,5,local_background,t20,signed_asymmetry,invalid_geometry,9
D128_F05_V01,128,5,local_background,tail100,z_local,ok,491
D128_F05_V01,128,5,local_background,tail100,z_local,invalid_geometry,9
D128_F05_V01,128,5,local_background,tail100,signed_asymmetry,ok,491
D128_F05_V01,128,5,local_background,tail100,signed_asymmetry,invalid_geometry,9
D128_F05_V01,128,5,local_background,tail500,z_local,ok,491
D128_F05_V01,128,5,local_background,tail500,z_local,invalid_geometry,9
D128_F05_V01,128,5,local_background,tail500,signed_asymmetry,ok,491
D128_F05_V01,128,5,local_background,tail500,signed_asymmetry,invalid_geometry,9
D128_F05_V01,128,5,position_integral,xp,validity,ok,491
D128_F05_V01,128,5,position_integral,xp,validity,invalid_geometry,9
D128_F05_V01,128,5,position_integral,xm,validity,ok,491
D128_F05_V01,128,5,position_integral,xm,validity,invalid_geometry,9
D128_F05_V01,128,5,position_integral,zp,validity,ok,491
D128_F05_V01,128,5,position_integral,zp,validity,invalid_geometry,9
D128_F05_V01,128,5,position_integral,zm,validity,ok,491
D128_F05_V01,128,5,position_integral,zm,validity,invalid_geometry,9
D128_F07_V01,128,7,local_background,source,z_local,ok,493
D128_F07_V01,128,7,local_background,source,z_local,invalid_geometry,7
D128_F07_V01,128,7,local_background,source,signed_asymmetry,ok,493
D128_F07_V01,128,7,local_background,source,signed_asymmetry,invalid_geometry,7
D128_F07_V01,128,7,local_background,s1,z_local,ok,493
D128_F07_V01,128,7,local_background,s1,z_local,invalid_geometry,7
D128_F07_V01,128,7,local_background,s1,signed_asymmetry,ok,493
D128_F07_V01,128,7,local_background,s1,signed_asymmetry,invalid_geometry,7
D128_F07_V01,128,7,local_background,s2,z_local,ok,493
D128_F07_V01,128,7,local_background,s2,z_local,invalid_geometry,7
D128_F07_V01,128,7,local_background,s2,signed_asymmetry,ok,493
D128_F07_V01,128,7,local_background,s2,signed_asymmetry,invalid_geometry,7
D128_F07_V01,128,7,local_background,s3,z_local,ok,493
D128_F07_V01,128,7,local_background,s3,z_local,invalid_geometry,7
D128_F07_V01,128,7,local_background,s3,signed_asymmetry,ok,493
D128_F07_V01,128,7,local_background,s3,signed_asymmetry,invalid_geometry,7
D128_F07_V01,128,7,local_background,s4,z_local,ok,493
D128_F07_V01,128,7,local_background,s4,z_local,invalid_geometry,7
D128_F07_V01,128,7,local_background,s4,signed_asymmetry,ok,493
D128_F07_V01,128,7,local_background,s4,signed_asymmetry,invalid_geometry,7
D128_F07_V01,128,7,local_background,s5,z_local,ok,493
D128_F07_V01,128,7,local_background,s5,z_local,invalid_geometry,7
D128_F07_V01,128,7,local_background,s5,signed_asymmetry,ok,493
D128_F07_V01,128,7,local_background,s5,signed_asymmetry,invalid_geometry,7
D128_F07_V01,128,7,local_background,s6,z_local,ok,493
