scan_id,diameter_um,flow_mm_s,side,mode,support,n_common,source_bin,u_lo,u_hi,u_mid,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,in_C16,rho,n_pairs,status
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,5,0.66666666666666663,0.83333333333333337,0.75,20,475,500,487.5,False,0.022192048361630242,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,6,0.83333333333333337,1,0.91666666666666663,1,0,25,12.5,True,0.22287029556308358,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0.13199823560215923,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0.069242867709817871,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,6,0.83333333333333337,1,0.91666666666666663,4,75,100,87.5,True,0.049942600749761978,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,6,0.83333333333333337,1,0.91666666666666663,5,100,125,112.5,False,0.13984807375246908,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,6,0.83333333333333337,1,0.91666666666666663,6,125,150,137.5,False,0.13475706890467162,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,6,0.83333333333333337,1,0.91666666666666663,7,150,175,162.5,False,0.056684827227908748,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,6,0.83333333333333337,1,0.91666666666666663,8,175,200,187.5,False,0.032072943940981181,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,6,0.83333333333333337,1,0.91666666666666663,9,200,225,212.5,False,0.10480038583066227,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,6,0.83333333333333337,1,0.91666666666666663,10,225,250,237.5,False,0.085386899924710907,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,6,0.83333333333333337,1,0.91666666666666663,11,250,275,262.5,False,0.081956845852568475,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,6,0.83333333333333337,1,0.91666666666666663,12,275,300,287.5,False,0.053347705922729881,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,6,0.83333333333333337,1,0.91666666666666663,13,300,325,312.5,False,0.089321015476282378,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,6,0.83333333333333337,1,0.91666666666666663,14,325,350,337.5,False,0.0682528648793536,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,6,0.83333333333333337,1,0.91666666666666663,15,350,375,362.5,False,0.10729135909602254,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,6,0.83333333333333337,1,0.91666666666666663,16,375,400,387.5,False,0.10455081354654487,486,ok
