scan_id,diameter_um,flow_mm_s,offset,support,mode,n_common,source_bin,u_lo,u_hi,u_mid,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,in_C16,rho,n_pairs,status,baseline_common_rho,rho_change
D235_F07_V01,235,7,xp,five_position_common,detrended_51,444,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0.10231934370372213,444,ok,0.080328610311872981,0.021990733391849149
D235_F07_V01,235,7,xp,five_position_common,detrended_51,444,6,0.83333333333333337,1,0.91666666666666663,4,75,100,87.5,True,0.16014166996761284,444,ok,0.15544602704843075,0.0046956429191820914
D235_F07_V01,235,7,xm,five_position_common,detrended_51,444,3,0.33333333333333331,0.5,0.41666666666666669,1,0,25,12.5,True,0.21171128960669192,444,ok,0.19372045319919728,0.017990836407494631
D235_F07_V01,235,7,xm,five_position_common,detrended_51,444,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.16439374080760794,444,ok,0.17307192159018697,-0.0086781807825790369
D235_F07_V01,235,7,xm,five_position_common,detrended_51,444,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.21702306180262756,444,ok,0.22133045242072749,-0.0043073906180999266
D235_F07_V01,235,7,xm,five_position_common,detrended_51,444,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.17378657231949526,444,ok,0.17050399387167486,0.0032825784478204001
D235_F07_V01,235,7,xm,five_position_common,detrended_51,444,4,0.5,0.66666666666666663,0.58333333333333337,1,0,25,12.5,True,0.21563986776781457,444,ok,0.22875324937682484,-0.013113381609010266
D235_F07_V01,235,7,xm,five_position_common,detrended_51,444,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.11158139264519373,444,ok,0.1468034642219487,-0.035222071576754971
D235_F07_V01,235,7,xm,five_position_common,detrended_51,444,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.097504005867852364,444,ok,0.11831795766106105,-0.02081395179320869
D235_F07_V01,235,7,xm,five_position_common,detrended_51,444,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.11655027218504467,444,ok,0.12907574281164333,-0.012525470626598659
D235_F07_V01,235,7,xm,five_position_common,detrended_51,444,5,0.66666666666666663,0.83333333333333337,0.75,1,0,25,12.5,True,0.1737901340692817,444,ok,0.13920048944379823,0.034589644625483473
D235_F07_V01,235,7,xm,five_position_common,detrended_51,444,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.097465669798846202,444,ok,0.042664171826972429,0.054801497971873774
D235_F07_V01,235,7,xm,five_position_common,detrended_51,444,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.12781015603256929,444,ok,0.084608298696377635,0.043201857336191654
D235_F07_V01,235,7,xm,five_position_common,detrended_51,444,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0.12156292506140084,444,ok,0.072228628179784857,0.049334296881615988
D235_F07_V01,235,7,xm,five_position_common,detrended_51,444,6,0.83333333333333337,1,0.91666666666666663,1,0,25,12.5,True,0.04377014547004722,444,ok,0.060120150226342366,-0.016350004756295146
D235_F07_V01,235,7,xm,five_position_common,detrended_51,444,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0.05820330692475028,444,ok,0.09709968029840825,-0.038896373373657971
D235_F07_V01,235,7,xm,five_position_common,detrended_51,444,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0.076533677745375006,444,ok,0.080328610311872981,-0.0037949325664979744
