scan_id,diameter_um,flow_mm_s,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,mode,rho,n_pairs,status,support
D128_F05_V01,128,5,20,475,500,487.5,detrended_51,0.023010138755267823,491,ok,real_L_R_common
D128_F07_V01,128,7,1,0,25,12.5,raw,-0.00041010605472767658,493,ok,real_L_R_common
D128_F07_V01,128,7,1,0,25,12.5,detrended_51,-0.028700838721680368,493,ok,real_L_R_common
D128_F07_V01,128,7,2,25,50,37.5,raw,0.04612726687498786,493,ok,real_L_R_common
D128_F07_V01,128,7,2,25,50,37.5,detrended_51,0.01624898336242071,493,ok,real_L_R_common
D128_F07_V01,128,7,3,50,75,62.5,raw,0.059652153953111908,493,ok,real_L_R_common
D128_F07_V01,128,7,3,50,75,62.5,detrended_51,0.0075827581210461447,493,ok,real_L_R_common
D128_F07_V01,128,7,4,75,100,87.5,raw,0.071512881736630396,493,ok,real_L_R_common
D128_F07_V01,128,7,4,75,100,87.5,detrended_51,0.055066252239111407,493,ok,real_L_R_common
D128_F07_V01,128,7,5,100,125,112.5,raw,0.078344677764800821,493,ok,real_L_R_common
D128_F07_V01,128,7,5,100,125,112.5,detrended_51,0.040876450285936484,493,ok,real_L_R_common
D128_F07_V01,128,7,6,125,150,137.5,raw,0.023797167454063614,493,ok,real_L_R_common
D128_F07_V01,128,7,6,125,150,137.5,detrended_51,-0.0097951340199814701,493,ok,real_L_R_common
D128_F07_V01,128,7,7,150,175,162.5,raw,0.015722134169876244,493,ok,real_L_R_common
D128_F07_V01,128,7,7,150,175,162.5,detrended_51,-0.016193922064226533,493,ok,real_L_R_common
D128_F07_V01,128,7,8,175,200,187.5,raw,0.028794252145821094,493,ok,real_L_R_common
D128_F07_V01,128,7,8,175,200,187.5,detrended_51,0.020701939072165273,493,ok,real_L_R_common
D128_F07_V01,128,7,9,200,225,212.5,raw,0.087690188560654941,493,ok,real_L_R_common
D128_F07_V01,128,7,9,200,225,212.5,detrended_51,0.029759580787754522,493,ok,real_L_R_common
D128_F07_V01,128,7,10,225,250,237.5,raw,0.080297263295698376,493,ok,real_L_R_common
D128_F07_V01,128,7,10,225,250,237.5,detrended_51,0.031523843555390667,493,ok,real_L_R_common
D128_F07_V01,128,7,11,250,275,262.5,raw,0.11596988028909122,493,ok,real_L_R_common
D128_F07_V01,128,7,11,250,275,262.5,detrended_51,0.013426977985194995,493,ok,real_L_R_common
D128_F07_V01,128,7,12,275,300,287.5,raw,0.066450200105716228,493,ok,real_L_R_common
D128_F07_V01,128,7,12,275,300,287.5,detrended_51,0.015323799143675286,493,ok,real_L_R_common
D128_F07_V01,128,7,13,300,325,312.5,raw,-0.024139573461661644,493,ok,real_L_R_common
D128_F07_V01,128,7,13,300,325,312.5,detrended_51,-0.073958031766885438,493,ok,real_L_R_common
D128_F07_V01,128,7,14,325,350,337.5,raw,0.076253587551683877,493,ok,real_L_R_common
D128_F07_V01,128,7,14,325,350,337.5,detrended_51,0.029953021485904844,493,ok,real_L_R_common
D128_F07_V01,128,7,15,350,375,362.5,raw,0.059960409493148972,493,ok,real_L_R_common
D128_F07_V01,128,7,15,350,375,362.5,detrended_51,-0.0049058953116858919,493,ok,real_L_R_common
D128_F07_V01,128,7,16,375,400,387.5,raw,0.032597672840924317,493,ok,real_L_R_common
D128_F07_V01,128,7,16,375,400,387.5,detrended_51,-0.022859477465211782,493,ok,real_L_R_common
D128_F07_V01,128,7,17,400,425,412.5,raw,0.057002338055177945,493,ok,real_L_R_common
D128_F07_V01,128,7,17,400,425,412.5,detrended_51,0.0068882974355323921,493,ok,real_L_R_common
D128_F07_V01,128,7,18,425,450,437.5,raw,0.070741141258551882,493,ok,real_L_R_common
D128_F07_V01,128,7,18,425,450,437.5,detrended_51,0.032803000901563913,493,ok,real_L_R_common
D128_F07_V01,128,7,19,450,475,462.5,raw,-0.02537219502981506,493,ok,real_L_R_common
D128_F07_V01,128,7,19,450,475,462.5,detrended_51,-0.056512211538966531,493,ok,real_L_R_common
