scan_id,diameter_um,flow_mm_s,mode,pair,metric,baseline_51,value,change
D235_F05_V01,235,5,detrended_31,W100,specificity,0.28401756583492671,0.21503427557553526,-0.068983290259391455
D235_F05_V01,235,5,detrended_31,W500,rho0,0.37201275780486248,0.29413846732579535,-0.077874290479067132
D235_F05_V01,235,5,detrended_31,W500,specificity,0.35569446092355328,0.2851739934743675,-0.070520467449185775
D235_F05_V01,235,5,detrended_31,C100,rho0,0.31275536463882364,0.24183496473011959,-0.070920399908704052
D235_F05_V01,235,5,detrended_31,C100,specificity,0.27708259031587934,0.24281788174413155,-0.034264708571747793
D235_F05_V01,235,5,detrended_101,C16,rho_median,0.16824267179182878,0.19012398871747377,0.021881316925644989
D235_F05_V01,235,5,detrended_101,W100,rho0,0.28455510714342497,0.30881515555059863,0.024260048407173662
D235_F05_V01,235,5,detrended_101,W100,specificity,0.28401756583492671,0.34939222775770878,0.065374661922782074
D235_F05_V01,235,5,detrended_101,W500,rho0,0.37201275780486248,0.39356963499972447,0.02155687719486199
D235_F05_V01,235,5,detrended_101,W500,specificity,0.35569446092355328,0.44258394572221821,0.086889484798664929
D235_F05_V01,235,5,detrended_101,C100,rho0,0.31275536463882364,0.34780613105338898,0.035050766414565337
D235_F05_V01,235,5,detrended_101,C100,specificity,0.27708259031587934,0.38723236154640267,0.11014977123052333
D235_F07_V01,235,7,detrended_31,C16,rho_median,0.13413811612772078,0.070000084264519258,-0.064138031863201522
D235_F07_V01,235,7,detrended_31,W100,rho0,0.26885517043200452,0.18855974205862308,-0.080295428373381439
D235_F07_V01,235,7,detrended_31,W100,specificity,0.2492339919454539,0.18664277121573269,-0.062591220729721203
