diameter_um,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,metric,input_table,value_column,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,flow01,flow03,flow05,flow07,flow10
285,8,175,200,187.5,RI,raw_depth_profiles.csv,median,5,0,0.12195354265532585,0.12130697743022993,0.13104884167058167,5,0,0,0.12130697743022993,0.12281638827340483,0.12191683304505931,0.13104884167058167,0.12195354265532585
285,8,175,200,187.5,tail_mean,raw_depth_profiles.csv,median,5,0,27574772.430991407,26465267.878323883,28209180.472539909,5,0,0,27067811.669455074,27574772.430991407,27580197.050200284,28209180.472539909,26465267.878323883
285,9,200,225,212.5,RI,raw_depth_profiles.csv,median,5,0,0.11714209830498636,0.11599563615514555,0.12509571691736862,5,0,0,0.11768243105451573,0.11714209830498636,0.11692952157322103,0.12509571691736862,0.11599563615514555
285,9,200,225,212.5,tail_mean,raw_depth_profiles.csv,median,5,0,26170005.91726879,25255890.154827103,27095702.141122989,5,0,0,26152162.151290614,26445675.358621158,26170005.91726879,27095702.141122989,25255890.154827103
285,10,225,250,237.5,RI,raw_depth_profiles.csv,median,5,0,0.11365466780440227,0.11198734788312281,0.11850527099452599,5,0,0,0.11365466780440227,0.11263523848675566,0.11198734788312281,0.11850527099452599,0.11390881411417128
285,10,225,250,237.5,tail_mean,raw_depth_profiles.csv,median,5,0,25094375.626923807,24505600.491528355,25703752.079748407,5,0,0,24846199.84716171,25472279.867568109,25094375.626923807,25703752.079748407,24505600.491528355
285,11,250,275,262.5,RI,raw_depth_profiles.csv,median,5,0,0.1100001530601887,0.10892514804616238,0.11531590803470443,5,0,0,0.11087627343788707,0.10892514804616238,0.10905585430802262,0.11531590803470443,0.1100001530601887
285,11,250,275,262.5,tail_mean,raw_depth_profiles.csv,median,5,0,24434697.820381559,23659732.313873656,25094619.159120265,5,0,0,23997291.40858227,24434697.820381559,24472527.730555225,25094619.159120265,23659732.313873656
285,12,275,300,287.5,RI,raw_depth_profiles.csv,median,5,0,0.10625739443315241,0.10493486780331913,0.11174084783663624,5,0,0,0.10671432498510915,0.10493486780331913,0.10548726060417385,0.11174084783663624,0.10625739443315241
285,12,275,300,287.5,tail_mean,raw_depth_profiles.csv,median,5,0,23549913.831321854,23110144.724904135,24192069.329322193,5,0,0,23472019.677848216,23763577.379985955,23549913.831321854,24192069.329322193,23110144.724904135
285,13,300,325,312.5,RI,raw_depth_profiles.csv,median,5,0,0.10386459163193712,0.10202506167529685,0.10951647189599675,5,0,0,0.10511179685213637,0.10386459163193712,0.10202506167529685,0.10951647189599675,0.10352596256529888
285,13,300,325,312.5,tail_mean,raw_depth_profiles.csv,median,5,0,23310224.954915985,22390882.323776647,24075447.939114746,5,0,0,23124635.749629192,23536965.06909214,23310224.954915985,24075447.939114746,22390882.323776647
285,14,325,350,337.5,RI,raw_depth_profiles.csv,median,5,0,0.10191921233843909,0.10094904376425629,0.10835491157078421,5,0,0,0.10293661192300753,0.10094904376425629,0.10124813379918954,0.10835491157078421,0.10191921233843909
285,14,325,350,337.5,tail_mean,raw_depth_profiles.csv,median,5,0,22600070.969048448,22007375.452526875,23549414.433468211,5,0,0,22600070.969048448,22918851.5494188,22456194.827686425,23549414.433468211,22007375.452526875
285,15,350,375,362.5,RI,raw_depth_profiles.csv,median,5,0,0.10183843865509985,0.10069710725602883,0.10594800050023959,5,0,0,0.10183843865509985,0.10161723228540501,0.10069710725602883,0.10594800050023959,0.10187199319397236
285,15,350,375,362.5,tail_mean,raw_depth_profiles.csv,median,5,0,22539960.979574658,21843012.342649464,23275323.888119936,5,0,0,22145534.167777363,22689171.548211824,22539960.979574658,23275323.888119936,21843012.342649464
285,16,375,400,387.5,RI,raw_depth_profiles.csv,median,5,0,0.10091424455984739,0.10058406039695975,0.10480179440133761,5,0,0,0.10201389917606429,0.10091424455984739,0.10058406039695975,0.10480179440133761,0.10077541021294201
285,16,375,400,387.5,tail_mean,raw_depth_profiles.csv,median,5,0,22429716.973956287,21805317.170971405,23093956.565211605,5,0,0,22277212.513702907,22639410.929828674,22429716.973956287,23093956.565211605,21805317.170971405
285,17,400,425,412.5,RI,raw_depth_profiles.csv,median,5,0,0.10081397071158325,0.099475171497340642,0.10608727825427501,5,0,0,0.10161077553008868,0.10026966017074757,0.099475171497340642,0.10608727825427501,0.10081397071158325
285,17,400,425,412.5,tail_mean,raw_depth_profiles.csv,median,5,0,22301916.044345692,21559429.502093092,23122986.757411122,5,0,0,22301916.044345692,22315664.698606409,22254857.171768062,23122986.757411122,21559429.502093092
285,18,425,450,437.5,RI,raw_depth_profiles.csv,median,5,0,0.099628057757075589,0.098706754877339445,0.10530401570000998,5,0,0,0.10061183388100697,0.099438210504742511,0.098706754877339445,0.10530401570000998,0.099628057757075589
285,18,425,450,437.5,tail_mean,raw_depth_profiles.csv,median,5,0,22197419.481018789,21309439.971174732,23084979.24301371,5,0,0,21702538.798579633,22422360.102945711,22197419.481018789,23084979.24301371,21309439.971174732
285,19,450,475,462.5,RI,raw_depth_profiles.csv,median,5,0,0.10029208525297276,0.098477693472767441,0.10503615181266926,5,0,0,0.10044226800284445,0.10029208525297276,0.099676899783191081,0.10503615181266926,0.098477693472767441
285,19,450,475,462.5,tail_mean,raw_depth_profiles.csv,median,5,0,22051939.630748041,21419824.71684248,22772638.934757672,5,0,0,21880834.278830182,22476716.151843995,22051939.630748041,22772638.934757672,21419824.71684248
285,20,475,500,487.5,RI,raw_depth_profiles.csv,median,5,0,0.10006785352080769,0.097988242419278046,0.10551679882564376,5,0,0,0.099801123464183905,0.10006785352080769,0.097988242419278046,0.10551679882564376,0.10045790994194227
285,20,475,500,487.5,tail_mean,raw_depth_profiles.csv,median,5,0,22108970.359504171,21479639.820458777,22943160.344979301,5,0,0,21890976.704764955,22452775.49793914,22108970.359504171,22943160.344979301,21479639.820458777
