scan_id,diameter_um,flow_mm_s,frame_lo,frame_hi,metric,n_geometry_valid,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F03_V01,128,3,300,399,tail100,100,100,0,79550802.970006719,57590013.657922707,123948971.49879655,100,0,0
D128_F03_V01,128,3,300,399,tail500,100,100,0,40678300.81783475,34407538.522709318,51937028.350764163,100,0,0
D128_F03_V01,128,3,300,399,RI100,100,100,0,0.44534112927534841,0.20176748711225709,0.69063307821409303,100,0,0
D128_F03_V01,128,3,300,399,RI500,100,100,0,0.22362216543224062,0.10961115579460345,0.35247041565696974,100,0,0
D128_F03_V01,128,3,400,499,source,92,92,8,176582577.97758567,103939415.06793928,262668491.89838043,92,0,0
D128_F03_V01,128,3,400,499,tail100,92,92,8,83999333.216366619,57606738.088744886,120718780.12488461,92,0,0
D128_F03_V01,128,3,400,499,tail500,92,92,8,43864732.542384259,36035035.309332907,53248297.113776885,92,0,0
D128_F03_V01,128,3,400,499,RI100,92,92,8,0.47203870231623668,0.32645323418588196,0.75509981220470024,92,0,0
D128_F03_V01,128,3,400,499,RI500,92,92,8,0.24571582306438305,0.16082058650167025,0.40186175976211708,92,0,0
D128_F05_V01,128,5,0,99,source,94,94,6,211142725.28789812,117822125.56298697,355891216.97924566,94,0,0
D128_F05_V01,128,5,0,99,tail100,94,94,6,76365051.103951842,52112661.197782733,127584479.21083362,94,0,0
D128_F05_V01,128,5,0,99,tail500,94,94,6,42145094.598875195,34244242.892420128,56517418.890929222,94,0,0
D128_F05_V01,128,5,0,99,RI100,94,94,6,0.37398865360558542,0.22528961163257272,0.67923867741650978,94,0,0
D128_F05_V01,128,5,0,99,RI500,94,94,6,0.20384213807909524,0.13422581836114475,0.32018745745039962,94,0,0
D128_F05_V01,128,5,100,199,source,100,100,0,214390898.99644861,137156251.7257019,409286174.42691511,100,0,0
D128_F05_V01,128,5,100,199,tail100,100,100,0,83230409.015025839,61802565.066931725,144033780.2294333,100,0,0
D128_F05_V01,128,5,100,199,tail500,100,100,0,43385826.315311357,36508992.913552009,57795175.024383605,100,0,0
D128_F05_V01,128,5,100,199,RI100,100,100,0,0.38709820107250337,0.19899697170247993,0.61282937706977414,100,0,0
D128_F05_V01,128,5,100,199,RI500,100,100,0,0.20346762373624261,0.11398722649826207,0.30670039453120623,100,0,0
D128_F05_V01,128,5,200,299,source,99,99,1,176851177.78938606,70399516.856417835,275549282.84490108,99,0,0
D128_F05_V01,128,5,200,299,tail100,99,99,1,78291765.367895603,41280886.871134326,117912151.01227523,99,0,0
D128_F05_V01,128,5,200,299,tail500,99,99,1,42311086.798578218,27806670.638125647,53851236.887275822,99,0,0
D128_F05_V01,128,5,200,299,RI100,99,99,1,0.44368479393657823,0.27789437946668533,0.91019534260594881,99,0,0
D128_F05_V01,128,5,200,299,RI500,99,99,1,0.23892719300836923,0.1561053719240153,0.45100030764504795,99,0,0
D128_F05_V01,128,5,300,399,source,98,98,2,200685253.37104529,122382810.72829854,319348471.04110509,98,0,0
D128_F05_V01,128,5,300,399,tail100,98,98,2,79759726.063485488,56649207.869905658,118036863.84020422,98,0,0
D128_F05_V01,128,5,300,399,tail500,98,98,2,41482801.883262619,34986540.00317993,48917904.862281084,98,0,0
D128_F05_V01,128,5,300,399,RI100,98,98,2,0.41105519878171848,0.23568191032512889,0.70431049645808097,98,0,0
D128_F05_V01,128,5,300,399,RI500,98,98,2,0.21284628801360128,0.13172137257277908,0.31957032659339935,98,0,0
D128_F05_V01,128,5,400,499,source,100,100,0,157102018.93385404,93661918.819781944,264256912.71344966,100,0,0
D128_F05_V01,128,5,400,499,tail100,100,100,0,80651341.149114117,47924242.017015062,155772135.05677515,100,0,0
D128_F05_V01,128,5,400,499,tail500,100,100,0,41704440.051687084,31762262.945177417,62364712.441803485,100,0,0
D128_F05_V01,128,5,400,499,RI100,100,100,0,0.51654738940827061,0.28648072090233812,0.85009188578021855,100,0,0
