scan_id,diameter_um,flow_mm_s,region,side,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F05_V01,128,5,t20,right,491,0,-4.973799150320701e-15,-8.1001871876651414e-15,-2.1316282072803005e-15,0,491,0
D128_F05_V01,128,5,tail100,left,491,0,-1.2789769243681803e-15,-1.2789769243681803e-15,-9.9475983006414035e-16,0,491,0
D128_F05_V01,128,5,tail100,real,491,0,-1.2789769243681803e-15,-1.2789769243681803e-15,-9.9475983006414035e-16,0,491,0
D128_F05_V01,128,5,tail100,right,491,0,-1.2789769243681803e-15,-3.9790393202565614e-15,1.5631940186722204e-15,87,404,0
D128_F05_V01,128,5,tail500,left,491,0,-1.8189894035458565e-15,-2.0463630789890884e-15,-1.8189894035458565e-15,0,491,0
D128_F05_V01,128,5,tail500,real,491,0,-1.8189894035458565e-15,-2.0463630789890884e-15,-1.8189894035458565e-15,0,491,0
D128_F05_V01,128,5,tail500,right,491,0,-1.8189894035458565e-15,-4.8885340220294889e-15,7.9580786405131222e-16,87,404,0
D128_F07_V01,128,7,s1,left,493,0,0.0020773534024853273,-0.0007520414777099706,0.0032562679359000482,440,53,0
D128_F07_V01,128,7,s1,real,493,0,0.0020773534024853273,-0.0007520414777099706,0.0032562679359000482,451,42,0
D128_F07_V01,128,7,s1,right,493,0,0.0020773534024853273,-0.0007520414777099706,0.0032562679359000482,448,45,0
D128_F07_V01,128,7,s2,left,493,0,0.001515653435680449,0.00094870429702455358,0.0019408652896724192,493,0,0
D128_F07_V01,128,7,s2,real,493,0,0.0013739161510165237,0.00094870429702455358,0.0019408652896724192,493,0,0
D128_F07_V01,128,7,s2,right,493,0,0.0013739161510165237,0.00094870429702455358,0.0019408652896724192,493,0,0
D128_F07_V01,128,7,s3,left,493,0,0.0011603017383117452,0.00066406367053548109,0.00165653980608767,493,0,0
D128_F07_V01,128,7,s3,real,493,0,0.0011603017383117452,0.00066406367053548109,0.00165653980608767,493,0,0
D128_F07_V01,128,7,s3,right,493,0,0.0011603017383117452,0.00066406367053548109,0.00165653980608767,493,0,0
D128_F07_V01,128,7,s36,left,493,0,-0.00057592477277613931,-0.00090417879354251409,-0.0002111980830355676,0,493,0
D128_F07_V01,128,7,s36,real,493,0,-0.00057592477277613931,-0.00090417879354251409,-0.000211198083035368,0,493,0
D128_F07_V01,128,7,s36,right,493,0,-0.00057592477277613931,-0.00090417879354251409,-0.0002111980830355676,0,493,0
D128_F07_V01,128,7,s4,left,493,0,0.00091218270442395297,0.00041594463664768858,0.0011603017383120852,493,0,0
D128_F07_V01,128,7,s4,real,493,0,0.00091218270442395297,0.00041594463664768858,0.0011603017383120852,493,0,0
D128_F07_V01,128,7,s4,right,493,0,0.00091218270442395297,0.00041594463664768858,0.0011603017383120852,493,0,0
D128_F07_V01,128,7,s5,left,493,0,-4.3456695623505953e-05,-0.00046866854961566981,0.00052349244303219542,199,294,0
D128_F07_V01,128,7,s5,real,493,0,-4.3456695623505953e-05,-0.00046866854961566981,0.00052349244303219542,220,273,0
D128_F07_V01,128,7,s5,right,493,0,-4.3456695623505953e-05,-0.00046866854961566981,0.00052349244303219542,230,263,0
D128_F07_V01,128,7,s6,left,493,0,-0.0075897457715151263,-0.0087686603049298463,-0.0066466141447834139,0,493,0
D128_F07_V01,128,7,s6,real,493,0,-0.0075897457715151263,-0.0087686603049298463,-0.0066466141447834139,0,493,0
D128_F07_V01,128,7,s6,right,493,0,-0.0075897457715151263,-0.0087686603049298463,-0.0066466141447834139,0,493,0
D128_F07_V01,128,7,source,left,493,0,7.0084318942042646e-05,-0.00011072748440613208,0.00032838689515374102,353,140,0
D128_F07_V01,128,7,source,real,493,0,7.0084318942042646e-05,-0.00011072748440627345,0.00030255663753275494,370,123,0
D128_F07_V01,128,7,source,right,493,0,7.0084318942042646e-05,-0.00011072748440613208,0.00030255663753261361,356,137,0
D128_F07_V01,128,7,t01,left,493,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.973799150320701e-15,0,493,0
D128_F07_V01,128,7,t01,real,493,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.973799150320701e-15,0,493,0
D128_F07_V01,128,7,t01,right,493,0,-4.973799150320701e-15,-8.1001871876651414e-15,-2.1316282072803005e-15,0,493,0
D128_F07_V01,128,7,t02,left,493,0,2.5579538487363606e-15,2.5579538487363606e-15,2.8421709430404009e-15,493,0,0
D128_F07_V01,128,7,t02,real,493,0,2.5579538487363606e-15,2.4158453015843408e-15,2.8421709430404009e-15,493,0,0
D128_F07_V01,128,7,t02,right,493,0,2.5579538487363606e-15,-4.263256414560601e-16,5.6843418860808018e-15,412,63,18
D128_F07_V01,128,7,t03,left,493,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,493,0
D128_F07_V01,128,7,t03,real,493,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,493,0
D128_F07_V01,128,7,t03,right,493,0,-4.973799150320701e-15,-8.1001871876651414e-15,-1.9895196601282807e-15,0,493,0
D128_F07_V01,128,7,t04,left,493,0,2.5579538487363606e-15,2.4158453015843408e-15,2.8421709430404009e-15,493,0,0
D128_F07_V01,128,7,t04,real,493,0,2.5579538487363606e-15,2.4158453015843408e-15,2.8421709430404009e-15,493,0,0
D128_F07_V01,128,7,t04,right,493,0,2.5579538487363606e-15,-2.8421709430404008e-16,5.6843418860808018e-15,412,65,16
D128_F07_V01,128,7,t05,left,493,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,493,0
D128_F07_V01,128,7,t05,real,493,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,493,0
D128_F07_V01,128,7,t05,right,493,0,-4.973799150320701e-15,-8.1001871876651414e-15,-2.1316282072803005e-15,0,493,0
D128_F07_V01,128,7,t06,left,493,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,493,0
D128_F07_V01,128,7,t06,real,493,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,493,0
D128_F07_V01,128,7,t06,right,493,0,-4.973799150320701e-15,-8.1001871876651414e-15,-1.9895196601282807e-15,0,493,0
D128_F07_V01,128,7,t07,left,493,0,2.5579538487363606e-15,-5.1159076974727211e-15,2.8421709430404009e-15,474,19,0
D128_F07_V01,128,7,t07,real,493,0,2.5579538487363606e-15,-5.1159076974727211e-15,2.8421709430404009e-15,474,19,0
D128_F07_V01,128,7,t07,right,493,0,2.5579538487363606e-15,-4.973799150320701e-15,5.6843418860808018e-15,393,67,33
D128_F07_V01,128,7,t08,left,493,0,-4.973799150320701e-15,-5.1159076974727211e-15,1.0231815394945442e-14,85,408,0
D128_F07_V01,128,7,t08,real,493,0,-4.973799150320701e-15,-5.1159076974727211e-15,1.0231815394945442e-14,85,408,0
D128_F07_V01,128,7,t08,right,493,0,-4.973799150320701e-15,-8.1001871876651414e-15,1.0231815394945442e-14,85,408,0
D128_F07_V01,128,7,t09,left,493,0,2.5579538487363606e-15,-5.1159076974727211e-15,2.8421709430404009e-15,408,85,0
D128_F07_V01,128,7,t09,real,493,0,2.5579538487363606e-15,-5.1159076974727211e-15,2.8421709430404009e-15,408,85,0
D128_F07_V01,128,7,t09,right,493,0,2.5579538487363606e-15,-5.1159076974727211e-15,5.6843418860808018e-15,327,136,30
D128_F07_V01,128,7,t10,left,493,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,493,0
