scan_id,diameter_um,flow_mm_s,source_bin,u_lo,u_hi,u_mid,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,in_C16,n_shared_positive,max_shared_pixels,max_overlap_index,median_overlap_index,n_frames
D128_F03_V01,128,3,4,0.5,0.66666666666666663,0.58333333333333337,13,300,325,312.5,False,0,0,0,0,468
D128_F03_V01,128,3,4,0.5,0.66666666666666663,0.58333333333333337,14,325,350,337.5,False,0,0,0,0,468
D128_F03_V01,128,3,4,0.5,0.66666666666666663,0.58333333333333337,15,350,375,362.5,False,0,0,0,0,468
D128_F03_V01,128,3,4,0.5,0.66666666666666663,0.58333333333333337,16,375,400,387.5,False,0,0,0,0,468
D128_F03_V01,128,3,4,0.5,0.66666666666666663,0.58333333333333337,17,400,425,412.5,False,0,0,0,0,468
D128_F03_V01,128,3,4,0.5,0.66666666666666663,0.58333333333333337,18,425,450,437.5,False,0,0,0,0,468
D128_F03_V01,128,3,4,0.5,0.66666666666666663,0.58333333333333337,19,450,475,462.5,False,0,0,0,0,468
D128_F03_V01,128,3,4,0.5,0.66666666666666663,0.58333333333333337,20,475,500,487.5,False,0,0,0,0,468
D128_F03_V01,128,3,5,0.66666666666666663,0.83333333333333337,0.75,1,0,25,12.5,True,0,0,0,0,468
D128_F03_V01,128,3,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0,0,0,0,468
D128_F03_V01,128,3,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0,0,0,0,468
D128_F03_V01,128,3,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0,0,0,0,468
D128_F03_V01,128,3,5,0.66666666666666663,0.83333333333333337,0.75,5,100,125,112.5,False,0,0,0,0,468
D128_F03_V01,128,3,5,0.66666666666666663,0.83333333333333337,0.75,6,125,150,137.5,False,0,0,0,0,468
D128_F03_V01,128,3,5,0.66666666666666663,0.83333333333333337,0.75,7,150,175,162.5,False,0,0,0,0,468
D128_F03_V01,128,3,5,0.66666666666666663,0.83333333333333337,0.75,8,175,200,187.5,False,0,0,0,0,468
D128_F03_V01,128,3,5,0.66666666666666663,0.83333333333333337,0.75,9,200,225,212.5,False,0,0,0,0,468
D128_F03_V01,128,3,5,0.66666666666666663,0.83333333333333337,0.75,10,225,250,237.5,False,0,0,0,0,468
D128_F03_V01,128,3,5,0.66666666666666663,0.83333333333333337,0.75,11,250,275,262.5,False,0,0,0,0,468
D128_F03_V01,128,3,5,0.66666666666666663,0.83333333333333337,0.75,12,275,300,287.5,False,0,0,0,0,468
D128_F03_V01,128,3,5,0.66666666666666663,0.83333333333333337,0.75,13,300,325,312.5,False,0,0,0,0,468
D128_F03_V01,128,3,5,0.66666666666666663,0.83333333333333337,0.75,14,325,350,337.5,False,0,0,0,0,468
D128_F03_V01,128,3,5,0.66666666666666663,0.83333333333333337,0.75,15,350,375,362.5,False,0,0,0,0,468
D128_F03_V01,128,3,5,0.66666666666666663,0.83333333333333337,0.75,16,375,400,387.5,False,0,0,0,0,468
D128_F03_V01,128,3,5,0.66666666666666663,0.83333333333333337,0.75,17,400,425,412.5,False,0,0,0,0,468
D128_F03_V01,128,3,5,0.66666666666666663,0.83333333333333337,0.75,18,425,450,437.5,False,0,0,0,0,468
D128_F03_V01,128,3,5,0.66666666666666663,0.83333333333333337,0.75,19,450,475,462.5,False,0,0,0,0,468
D128_F03_V01,128,3,5,0.66666666666666663,0.83333333333333337,0.75,20,475,500,487.5,False,0,0,0,0,468
D128_F03_V01,128,3,6,0.83333333333333337,1,0.91666666666666663,1,0,25,12.5,True,468,3,0.0044314002693193622,0.0043830684253729248,468
D128_F03_V01,128,3,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0,0,0,0,468
D128_F03_V01,128,3,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0,0,0,0,468
D128_F03_V01,128,3,6,0.83333333333333337,1,0.91666666666666663,4,75,100,87.5,True,0,0,0,0,468
D128_F03_V01,128,3,6,0.83333333333333337,1,0.91666666666666663,5,100,125,112.5,False,0,0,0,0,468
D128_F03_V01,128,3,6,0.83333333333333337,1,0.91666666666666663,6,125,150,137.5,False,0,0,0,0,468
D128_F03_V01,128,3,6,0.83333333333333337,1,0.91666666666666663,7,150,175,162.5,False,0,0,0,0,468
D128_F03_V01,128,3,6,0.83333333333333337,1,0.91666666666666663,8,175,200,187.5,False,0,0,0,0,468
D128_F03_V01,128,3,6,0.83333333333333337,1,0.91666666666666663,9,200,225,212.5,False,0,0,0,0,468
