scan_id,diameter_um,flow_mm_s,mode,scope,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D235_F05_V01,235,5,detrended_51,all_120,120,0,0.054200775235677234,-0.15571469761753595,0.22246740204089691,101,19,0
D235_F05_V01,235,5,detrended_51,C16,16,0,0.16824267179182878,0.1299685101288387,0.20767248972574973,16,0,0
D235_F05_V01,235,5,detrended_51,outside_C16,104,0,0.044479818811915164,-0.15571469761753595,0.22246740204089691,85,19,0
D235_F05_V01,235,5,detrended_51,tail_100_to_500,96,0,0.044479818811915164,-0.15571469761753595,0.20266771766771441,81,15,0
D235_F05_V01,235,5,raw,all_120,120,0,0.061054384017758048,-0.10336962083107029,0.30742846797490575,104,16,0
D235_F05_V01,235,5,raw,C16,16,0,0.20337143127021984,0.16182224636141088,0.25289347533473444,16,0,0
D235_F05_V01,235,5,raw,outside_C16,104,0,0.053272959123432592,-0.10336962083107029,0.30742846797490575,88,16,0
D235_F05_V01,235,5,raw,tail_100_to_500,96,0,0.05270361536826694,-0.10336962083107029,0.22532646940751411,83,13,0
D235_F07_V01,235,7,detrended_51,all_120,120,0,0.047931518540741624,-0.068489454642223072,0.22875324937682484,90,30,0
D235_F07_V01,235,7,detrended_51,C16,16,0,0.13413811612772078,0.042664171826972429,0.22875324937682484,16,0,0
D235_F07_V01,235,7,detrended_51,outside_C16,104,0,0.036941352038351222,-0.068489454642223072,0.1766750497199551,74,30,0
D235_F07_V01,235,7,detrended_51,tail_100_to_500,96,0,0.034018409648679165,-0.068489454642223072,0.1766750497199551,66,30,0
D235_F07_V01,235,7,raw,all_120,120,0,0.060064340597985058,-0.081539129105517624,0.32836106961959804,93,27,0
D235_F07_V01,235,7,raw,C16,16,0,0.19586426916936467,0.12518448394878254,0.32836106961959804,16,0,0
D235_F07_V01,235,7,raw,outside_C16,104,0,0.042357925937706292,-0.081539129105517624,0.27937543143366567,77,27,0
D235_F07_V01,235,7,raw,tail_100_to_500,96,0,0.040485495260142078,-0.081539129105517624,0.27937543143366567,70,26,0
D235_F10_V01,235,10,detrended_51,all_120,120,0,0.064402256040858932,-0.090668843296389856,0.35441887317765325,98,22,0
D235_F10_V01,235,10,detrended_51,C16,16,0,0.22051682113117782,0.11503251962813714,0.35441887317765325,16,0,0
D235_F10_V01,235,10,detrended_51,outside_C16,104,0,0.050897862433639959,-0.090668843296389856,0.24446850585415278,82,22,0
D235_F10_V01,235,10,detrended_51,tail_100_to_500,96,0,0.050897862433639959,-0.090668843296389856,0.24446850585415278,76,20,0
D235_F10_V01,235,10,raw,all_120,120,0,0.066890404700458456,-0.077354975497010772,0.38886115299394558,104,16,0
D235_F10_V01,235,10,raw,C16,16,0,0.27875019444386606,0.19066216250975282,0.38886115299394558,16,0,0
D235_F10_V01,235,10,raw,outside_C16,104,0,0.053787582784093207,-0.077354975497010772,0.28416436906486892,88,16,0
D235_F10_V01,235,10,raw,tail_100_to_500,96,0,0.053787582784093207,-0.05237895180364293,0.28416436906486892,82,14,0
D285_F01_V01,285,1,detrended_51,all_120,120,0,0.05677410291721717,-0.075989802216815214,0.27068061147744515,93,27,0
D285_F01_V01,285,1,detrended_51,C16,16,0,0.13749972230141777,0.054059753164857137,0.27068061147744515,16,0,0
D285_F01_V01,285,1,detrended_51,outside_C16,104,0,0.045537039645157963,-0.075989802216815214,0.19094058051787377,77,27,0
D285_F01_V01,285,1,detrended_51,tail_100_to_500,96,0,0.044307182604870418,-0.075575313908804079,0.17310703312685155,71,25,0
D285_F01_V01,285,1,raw,all_120,120,0,0.16538502946194988,-0.016581334629041225,0.34213568736331101,119,1,0
D285_F01_V01,285,1,raw,C16,16,0,0.18351736671123675,0.079549071967296117,0.34213568736331101,16,0,0
D285_F01_V01,285,1,raw,outside_C16,104,0,0.16479638427274307,-0.016581334629041225,0.31127738329657312,103,1,0
D285_F01_V01,285,1,raw,tail_100_to_500,96,0,0.16479638427274307,-0.016581334629041225,0.31127738329657312,95,1,0
D285_F03_V01,285,3,detrended_51,all_120,120,0,0.051149497502144786,-0.11812596854745418,0.16139032891938826,100,20,0
D285_F03_V01,285,3,detrended_51,C16,16,0,0.083769997246192163,0.045069260799951605,0.1447476044386172,16,0,0
D285_F03_V01,285,3,detrended_51,outside_C16,104,0,0.043677574750145567,-0.11812596854745418,0.16139032891938826,84,20,0
D285_F03_V01,285,3,detrended_51,tail_100_to_500,96,0,0.043677574750145567,-0.094714800834078447,0.16139032891938826,78,18,0
D285_F03_V01,285,3,raw,all_120,120,0,0.19782025513646295,0.014890650771226512,0.32057641628625316,120,0,0
D285_F03_V01,285,3,raw,C16,16,0,0.22514935074995809,0.1258971256653422,0.30010431382601871,16,0,0
D285_F03_V01,285,3,raw,outside_C16,104,0,0.18717731519367636,0.014890650771226512,0.32057641628625316,104,0,0
D285_F03_V01,285,3,raw,tail_100_to_500,96,0,0.18625497025943238,0.062070247741815535,0.32057641628625316,96,0,0
D285_F05_V01,285,5,detrended_51,all_120,120,0,0.050501416309343475,-0.12770867041304509,0.24339951501906334,89,31,0
D285_F05_V01,285,5,detrended_51,C16,16,0,0.13442732449436331,0.058860628584612766,0.22311725151939751,16,0,0
D285_F05_V01,285,5,detrended_51,outside_C16,104,0,0.039118882755092725,-0.12770867041304509,0.24339951501906334,73,31,0
D285_F05_V01,285,5,detrended_51,tail_100_to_500,96,0,0.039118882755092725,-0.11884797922086987,0.24339951501906334,69,27,0
D285_F05_V01,285,5,raw,all_120,120,0,0.19738647961329964,-0.078764921407781061,0.37690147787569511,117,3,0
D285_F05_V01,285,5,raw,C16,16,0,0.24506233662411814,0.13801073556440607,0.37690147787569511,16,0,0
D285_F05_V01,285,5,raw,outside_C16,104,0,0.19405757400588014,-0.078764921407781061,0.37388724543892676,101,3,0
D285_F05_V01,285,5,raw,tail_100_to_500,96,0,0.19492325269484873,0.01591744459187857,0.37388724543892676,96,0,0
D285_F07_V01,285,7,detrended_51,all_120,120,0,0.042168527861901138,-0.10430692328217329,0.21154730426429985,89,31,0
D285_F07_V01,285,7,detrended_51,C16,16,0,0.10966066457883336,0.00083631645662637889,0.21154730426429985,16,0,0
D285_F07_V01,285,7,detrended_51,outside_C16,104,0,0.036047586420369072,-0.10430692328217329,0.19751442019861853,73,31,0
D285_F07_V01,285,7,detrended_51,tail_100_to_500,96,0,0.036047586420369072,-0.10430692328217329,0.18131078957872027,68,28,0
D285_F07_V01,285,7,raw,all_120,120,0,0.22909648062576421,-0.083344403218879148,0.52461683363301648,116,4,0
D285_F07_V01,285,7,raw,C16,16,0,0.40124266257071534,0.26182218497494586,0.52461683363301648,16,0,0
D285_F07_V01,285,7,raw,outside_C16,104,0,0.21806119432729726,-0.083344403218879148,0.51633749604747314,100,4,0
D285_F07_V01,285,7,raw,tail_100_to_500,96,0,0.21806119432729726,-0.083344403218879148,0.40814664884742974,94,2,0
D285_F10_V01,285,10,detrended_51,all_120,120,0,0.061910929476486715,-0.11152687026351697,0.29037779248379431,97,23,0
D285_F10_V01,285,10,detrended_51,C16,16,0,0.17159429904284068,0.065525495266424802,0.29037779248379431,16,0,0
D285_F10_V01,285,10,detrended_51,outside_C16,104,0,0.04962326773819685,-0.11152687026351697,0.18702591323433895,81,23,0
D285_F10_V01,285,10,detrended_51,tail_100_to_500,96,0,0.051918378296656159,-0.11152687026351697,0.18702591323433895,77,19,0
D285_F10_V01,285,10,raw,all_120,120,0,0.20170877128280779,-0.017587757248267551,0.39708986789161871,118,2,0
D285_F10_V01,285,10,raw,C16,16,0,0.26682025849315272,0.20450691971990145,0.39708986789161871,16,0,0
D285_F10_V01,285,10,raw,outside_C16,104,0,0.18139234524416548,-0.017587757248267551,0.35043637548174755,102,2,0
D285_F10_V01,285,10,raw,tail_100_to_500,96,0,0.1818811912972263,-0.0010608586459979648,0.35043637548174755,95,1,0
