scan_id,diameter_um,flow_mm_s,mode,support,region,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,value,status
D285_F01_V01,285,1,detrended_51,real_all,S1_T1T4,4,0,-0.016894413737227755,-0.075989802216815214,0.059544807366767614,2,2,0,-0.016894413737227755,ok
D285_F01_V01,285,1,detrended_51,real_all,S2_T1T4,4,0,0.17272456284566873,0.13818559463813615,0.19094058051787377,4,0,0,0.17272456284566873,ok
D285_F01_V01,285,1,detrended_51,real_all,S3_T1T4,4,0,0.23532335439054575,0.1756680052894708,0.27068061147744515,4,0,0,0.23532335439054575,ok
D285_F01_V01,285,1,detrended_51,real_all,S4_T1T4,4,0,0.17174275944542755,0.12051622517756268,0.2256871713112247,4,0,0,0.17174275944542755,ok
D285_F01_V01,285,1,detrended_51,real_all,S5_T1T4,4,0,0.089201732084849439,0.054059753164857137,0.11693174937816499,4,0,0,0.089201732084849439,ok
D285_F01_V01,285,1,detrended_51,real_all,S6_T1T4,4,0,0.10286103893849341,0.068932147621032391,0.17230536036055225,4,0,0,0.10286103893849341,ok
D285_F03_V01,285,3,raw,real_all,C16,16,0,0.22514935074995809,0.1258971256653422,0.30010431382601871,16,0,0,0.22514935074995809,ok
D285_F03_V01,285,3,raw,real_all,S1_T1T4,4,0,0.10164042857967838,0.014890650771226512,0.21994318093786666,4,0,0,0.10164042857967838,ok
D285_F03_V01,285,3,raw,real_all,S2_T1T4,4,0,0.25703321112211308,0.23137809465993778,0.28090876695310951,4,0,0,0.25703321112211308,ok
D285_F03_V01,285,3,raw,real_all,S3_T1T4,4,0,0.26354314882396934,0.21518266187587415,0.30010431382601871,4,0,0,0.26354314882396934,ok
D285_F03_V01,285,3,raw,real_all,S4_T1T4,4,0,0.23833283800933275,0.22402491362347582,0.24167257064705278,4,0,0,0.23833283800933275,ok
D285_F03_V01,285,3,raw,real_all,S5_T1T4,4,0,0.22020093721873929,0.16986927671897381,0.25127158356726242,4,0,0,0.22020093721873929,ok
D285_F03_V01,285,3,raw,real_all,S6_T1T4,4,0,0.13681517466157164,0.1258971256653422,0.19922351976765312,4,0,0,0.13681517466157164,ok
D285_F03_V01,285,3,detrended_51,real_all,C16,16,0,0.083769997246192163,0.045069260799951605,0.1447476044386172,16,0,0,0.083769997246192163,ok
D285_F03_V01,285,3,detrended_51,real_all,S1_T1T4,4,0,-0.019163162706403898,-0.11812596854745418,0.10298170737629636,2,2,0,-0.019163162706403898,ok
D285_F03_V01,285,3,detrended_51,real_all,S2_T1T4,4,0,0.10553231523634543,0.034195018779774024,0.14299807428660044,4,0,0,0.10553231523634543,ok
D285_F03_V01,285,3,detrended_51,real_all,S3_T1T4,4,0,0.086716387694690616,0.048169650960158288,0.1447476044386172,4,0,0,0.086716387694690616,ok
D285_F03_V01,285,3,detrended_51,real_all,S4_T1T4,4,0,0.089633165625041478,0.058572448614419022,0.13445309358923077,4,0,0,0.089633165625041478,ok
D285_F03_V01,285,3,detrended_51,real_all,S5_T1T4,4,0,0.073804966775372238,0.045069260799951605,0.13535534938280577,4,0,0,0.073804966775372238,ok
D285_F03_V01,285,3,detrended_51,real_all,S6_T1T4,4,0,0.065135153401578647,0.047221807336183988,0.084829483461000568,4,0,0,0.065135153401578647,ok
D285_F05_V01,285,5,raw,real_all,C16,16,0,0.24506233662411814,0.13801073556440607,0.37690147787569511,16,0,0,0.24506233662411814,ok
D285_F05_V01,285,5,raw,real_all,S1_T1T4,4,0,-0.044391688799418572,-0.078764921407781061,0.015348453431242401,1,3,0,-0.044391688799418572,ok
D285_F05_V01,285,5,raw,real_all,S2_T1T4,4,0,0.26023521592796395,0.16681255020991814,0.35777150536198848,4,0,0,0.26023521592796395,ok
