scan_id,diameter_um,flow_mm_s,region,side,metric,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F01_V01,128,1,t04,right,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t05,left,neff,486,0,41.34870816249601,40.1473945467718,41.925335901359858,486,0,0
D128_F01_V01,128,1,t05,left,nonzero_pixels,486,0,44,44,48,486,0,0
D128_F01_V01,128,1,t05,left,sum_w2,486,0,34.204320223957183,33.733884878913841,35.227801723436841,486,0,0
D128_F01_V01,128,1,t05,left,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,t05,real,neff,486,0,41.346708248544026,40.147879901536136,41.92533578204921,486,0,0
D128_F01_V01,128,1,t05,real,nonzero_pixels,486,0,44,44,48,486,0,0
D128_F01_V01,128,1,t05,real,sum_w2,486,0,34.205974671396476,33.733884974913366,35.227375848360872,486,0,0
D128_F01_V01,128,1,t05,real,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,t05,right,neff,486,0,41.407298026639459,40.147333611740898,41.92530840747709,486,0,0
D128_F01_V01,128,1,t05,right,nonzero_pixels,486,0,44,44,48,486,0,0
D128_F01_V01,128,1,t05,right,sum_w2,486,0,34.155922320175947,33.733907001004376,35.227855191674792,486,0,0
D128_F01_V01,128,1,t05,right,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,t06,left,neff,486,0,44.117943815830778,42.836174953900937,44.733189885571818,486,0,0
D128_F01_V01,128,1,t06,left,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t06,left,sum_w2,486,0,32.057352009444124,31.616445382591301,33.016590681317851,486,0,0
D128_F01_V01,128,1,t06,left,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t06,real,neff,486,0,44.115809962192024,42.836692814196333,44.733189758270591,486,0,0
D128_F01_V01,128,1,t06,real,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t06,real,sum_w2,486,0,32.058902609005671,31.616445472565037,33.01619153796014,486,0,0
D128_F01_V01,128,1,t06,real,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t06,right,neff,486,0,44.180457602822614,42.836109937884977,44.733160550348813,486,0,0
D128_F01_V01,128,1,t06,right,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t06,right,sum_w2,486,0,32.011991989777727,31.616466116102121,33.016640793412286,486,0,0
D128_F01_V01,128,1,t06,right,z_span_pixels,486,0,5,5,5,486,0,0
