scan_id,diameter_um,flow_mm_s,offset,support,mode,n_common,pair,rho0,n_pairs0,rho0_status,specificity,specificity_status,n_far_defined,peak_lag,peak_rho,zero_lag_rank,peak_rank_status,n_lags_defined,boundary_peak,baseline_common_rho0,rho0_change,baseline_common_specificity,specificity_change
D128_F05_V01,128,5,xm,five_position_common,detrended_51,491,C100,0.33432886906222242,491,ok,0.33427608712943058,ok,42,0,0.33432886906222242,1,ok,101,False,0.36283115078167394,-0.028502281719451517,0.35053214202822397,-0.016256054898793393
D128_F05_V01,128,5,zp,five_position_common,detrended_51,491,W100,0.36158328777838966,491,ok,0.36146682673803382,ok,42,0,0.36158328777838966,1,ok,101,False,0.39968497813807558,-0.038101690359685914,0.40350737704235934,-0.042040550304325519
D128_F05_V01,128,5,zp,five_position_common,detrended_51,491,W500,0.40925547386233052,491,ok,0.42241272453823592,ok,42,0,0.40925547386233052,1,ok,101,False,0.43616941495554823,-0.026913941093217708,0.44641038040161679,-0.023997655863380873
D128_F05_V01,128,5,zp,five_position_common,detrended_51,491,C100,0.30908452921878932,491,ok,0.30761720578743101,ok,42,1,0.30919158708345196,2,ok,101,False,0.36283115078167394,-0.053746621562884622,0.35053214202822397,-0.042914936240792956
D128_F05_V01,128,5,zm,five_position_common,detrended_51,491,W100,0.39023887191293771,491,ok,0.40589169539457981,ok,42,0,0.39023887191293771,1,ok,101,False,0.39968497813807558,-0.0094461062251378625,0.40350737704235934,0.0023843183522204714
D128_F05_V01,128,5,zm,five_position_common,detrended_51,491,W500,0.44047484089451294,491,ok,0.44189147962960496,ok,42,0,0.44047484089451294,1,ok,101,False,0.43616941495554823,0.0043054259389647132,0.44641038040161679,-0.0045189007720118357
D128_F05_V01,128,5,zm,five_position_common,detrended_51,491,C100,0.37748525659655624,491,ok,0.3727978821960572,ok,42,0,0.37748525659655624,1,ok,101,False,0.36283115078167394,0.014654105814882301,0.35053214202822397,0.022265740167833226
D128_F07_V01,128,7,baseline,five_position_common,detrended_51,493,W100,0.37031581189108004,493,ok,0.36566146340965749,ok,42,0,0.37031581189108004,1,ok,101,False,0.37031581189108004,0,0.36566146340965749,0
D128_F07_V01,128,7,baseline,five_position_common,detrended_51,493,W500,0.43367138160144919,493,ok,0.43907919496903425,ok,42,0,0.43367138160144919,1,ok,101,False,0.43367138160144919,0,0.43907919496903425,0
D128_F07_V01,128,7,baseline,five_position_common,detrended_51,493,C100,0.33710371179678894,493,ok,0.32424658146510449,ok,42,0,0.33710371179678894,1,ok,101,False,0.33710371179678894,0,0.32424658146510449,0
D128_F07_V01,128,7,xp,five_position_common,detrended_51,493,W100,0.37193313965294222,493,ok,0.36789726045237825,ok,42,0,0.37193313965294222,1,ok,101,False,0.37031581189108004,0.0016173277618621862,0.36566146340965749,0.0022357970427207552
D128_F07_V01,128,7,xp,five_position_common,detrended_51,493,W500,0.43586042970559719,493,ok,0.44667614312018716,ok,42,0,0.43586042970559719,1,ok,101,False,0.43367138160144919,0.0021890481041479948,0.43907919496903425,0.0075969481511529158
D128_F07_V01,128,7,xp,five_position_common,detrended_51,493,C100,0.34520210089022429,493,ok,0.33971237633923734,ok,42,0,0.34520210089022429,1,ok,101,False,0.33710371179678894,0.0080983890934353542,0.32424658146510449,0.015465794874132854
D128_F07_V01,128,7,xm,five_position_common,detrended_51,493,W100,0.35401643557253942,493,ok,0.35041783761406758,ok,42,0,0.35401643557253942,1,ok,101,False,0.37031581189108004,-0.016299376318540615,0.36566146340965749,-0.01524362579558991
D128_F07_V01,128,7,xm,five_position_common,detrended_51,493,W500,0.42915857430600118,493,ok,0.43188752810139242,ok,42,0,0.42915857430600118,1,ok,101,False,0.43367138160144919,-0.004512807295448007,0.43907919496903425,-0.0071916668676418327
D128_F07_V01,128,7,xm,five_position_common,detrended_51,493,C100,0.33203964474153391,493,ok,0.31814678305843952,ok,42,0,0.33203964474153391,1,ok,101,False,0.33710371179678894,-0.0050640670552550282,0.32424658146510449,-0.0060997984066649691
D128_F07_V01,128,7,zp,five_position_common,detrended_51,493,W100,0.34119232004387839,493,ok,0.33884274277175058,ok,42,0,0.34119232004387839,1,ok,101,False,0.37031581189108004,-0.029123491847201644,0.36566146340965749,-0.026818720637906912
D128_F07_V01,128,7,zp,five_position_common,detrended_51,493,W500,0.41755084226742795,493,ok,0.42244430319709819,ok,42,0,0.41755084226742795,1,ok,101,False,0.43367138160144919,-0.016120539334021244,0.43907919496903425,-0.016634891771936056
