diameter_um,metric,n_common_flow_volumes,median_across_flows,min_across_flows,max_across_flows,absolute_range,range_percent_of_median,flow_at_min_mm_s,flow_at_max_mm_s,flow1_value,flow10_value,flow1_to_flow10_percent_difference,values_by_flow_json
285,ri_tail_500um,5,0.16095275520138355,0.15851643840265062,0.1625186793580691,0.0040022409554184846,2.4865936283047123,5,1,0.1625186793580691,0.16013145527090444,-1.4688921277196751,"{""1"":0.1625186793580691,""3"":0.1620678823623996,""5"":0.15851643840265062,""7"":0.16095275520138355,""10"":0.16013145527090444}"
500,source_mean_raw,5,102258896.48791289,101919025.47281048,104553326.99517109,2634301.522360608,2.5761098670490594,5,7,102258896.48791289,102744679.6192846,0.47505219404467836,"{""1"":102258896.4879129,""3"":102185780.50308588,""5"":101919025.47281048,""7"":104553326.99517109,""10"":102744679.6192846}"
500,tail_mean_raw_100um,5,32812404.364572205,29892387.676541202,33378987.386742279,3486599.7102010772,10.625858658396838,1,7,29892387.676541202,32812404.364572205,9.7684290717350724,"{""1"":29892387.6765412,""3"":30207552.888350166,""5"":33177872.21663759,""7"":33378987.38674228,""10"":32812404.364572205}"
500,tail_mean_raw_200um,5,29924910.227109216,27347413.969365783,30742345.794064607,3394931.8246988244,11.344835452917511,1,7,27347413.969365783,29924910.227109216,9.425009109200273,"{""1"":27347413.969365783,""3"":27636267.1065723,""5"":30465672.30216985,""7"":30742345.794064607,""10"":29924910.227109216}"
500,tail_mean_raw_300um,5,28158940.382303983,25723855.432167895,28949386.774276905,3225531.3421090096,11.45473266506875,1,7,25723855.432167895,28158940.382303983,9.4662518865309515,"{""1"":25723855.432167895,""3"":26001203.291107826,""5"":28721518.639593877,""7"":28949386.774276905,""10"":28158940.382303983}"
500,tail_mean_raw_500um,5,26597118.981886633,24194620.539239511,27403074.145219389,3208453.6059798785,12.063162210030805,1,7,24194620.539239511,26597118.981886633,9.9298868471637434,"{""1"":24194620.53923951,""3"":24466443.900593814,""5"":27208274.131761987,""7"":27403074.14521939,""10"":26597118.981886633}"
500,ri_tail_100um,5,0.31639165389046398,0.29031189666720691,0.3279709668696385,0.037659070202431588,11.902674972415456,1,5,0.29031189666720691,0.31639165389046398,8.9833580788985223,"{""1"":0.2903118966672069,""3"":0.2925289577216482,""5"":0.3279709668696385,""7"":0.3194502568358537,""10"":0.316391653890464}"
500,ri_tail_200um,5,0.28944582101832628,0.26559723292749282,0.29946385834770511,0.033866625420212293,11.70050591888422,1,5,0.26559723292749282,0.28944582101832628,8.9792306297648974,"{""1"":0.2655972329274928,""3"":0.2687536433755072,""5"":0.2994638583477051,""7"":0.2932222480365379,""10"":0.2894458210183263}"
500,ri_tail_300um,5,0.27208631850440052,0.24946734352682576,0.28094972239111687,0.031482378864291116,11.570732051998396,1,5,0.24946734352682576,0.27208631850440052,9.0669081803656955,"{""1"":0.24946734352682576,""3"":0.2527616728020431,""5"":0.2809497223911169,""7"":0.2760491066244422,""10"":0.2720863185044005}"
500,ri_tail_500um,5,0.25764217124228139,0.23497901579995531,0.26514097787459928,0.030161962074643972,11.706919689898236,1,5,0.23497901579995531,0.25764217124228139,9.644757156366639,"{""1"":0.2349790157999553,""3"":0.2388457603803037,""5"":0.2651409778745993,""7"":0.2605184453414251,""10"":0.2576421712422814}"
