flow_mm_s,metric,diameter_from_um,diameter_to_um,value_from,value_to,absolute_difference,percent_difference
7,tail_mean_raw_200um,128,235,58046859.441810563,41950175.693497963,-16096683.7483126,-27.730498950505361
7,tail_mean_raw_200um,235,285,41950175.693497963,40044623.319057375,-1905552.3744405881,-4.5424181018053229
7,tail_mean_raw_200um,285,500,40044623.319057375,30742345.794064607,-9302277.5249927677,-23.229779066409101
7,tail_mean_raw_200um,128,500,58046859.441810563,30742345.794064607,-27304513.647745956,-47.038744060077079
7,tail_mean_raw_300um,128,235,49489038.404421635,36962182.544703312,-12526855.859718323,-25.312384850458322
7,tail_mean_raw_300um,235,285,36962182.544703312,35600521.828541696,-1361660.7161616161,-3.6839294176278083
7,tail_mean_raw_300um,285,500,35600521.828541696,28949386.774276905,-6651135.0542647913,-18.682689782744799
7,tail_mean_raw_300um,128,500,49489038.404421635,28949386.774276905,-20539651.63014473,-41.503436503041044
7,tail_mean_raw_500um,128,235,40208950.329087123,31695067.245719582,-8513883.0833675414,-21.174099332825918
7,tail_mean_raw_500um,235,285,31695067.245719582,30866888.17562015,-828179.07009943202,-2.6129588673179973
7,tail_mean_raw_500um,285,500,30866888.17562015,27403074.145219389,-3463814.0304007605,-11.221779178688356
7,tail_mean_raw_500um,128,500,40208950.329087123,27403074.145219389,-12805876.183867734,-31.848322522868678
7,ri_tail_100um,128,235,0.57331493600650796,0.2806880363563517,-0.29262689965015626,-51.041213349242746
7,ri_tail_100um,235,285,0.2806880363563517,0.24518251916612088,-0.035505517190230818,-12.649458684143649
7,ri_tail_100um,285,500,0.24518251916612088,0.31945025683585371,0.074267737669732825,30.290796392141434
7,ri_tail_100um,128,500,0.57331493600650796,0.31945025683585371,-0.25386467917065425,-44.280143988394627
7,ri_tail_200um,128,235,0.46504271858914081,0.23401573804140005,-0.23102698054774076,-49.678657747536974
7,ri_tail_200um,235,285,0.23401573804140005,0.20700660211090971,-0.027009135930490341,-11.541589534338122
7,ri_tail_200um,285,500,0.20700660211090971,0.2932222480365379,0.086215645925628193,41.648742139845226
7,ri_tail_200um,128,500,0.46504271858914081,0.2932222480365379,-0.17182047055260291,-36.947244561505343
7,ri_tail_300um,128,235,0.39801500860738426,0.20497702881442795,-0.19303797979295631,-48.500176028129538
7,ri_tail_300um,235,285,0.20497702881442795,0.18521065518928836,-0.019766373625139583,-9.6432140418206043
7,ri_tail_300um,285,500,0.18521065518928836,0.27604910662444221,0.090838451435153844,49.046018082661305
7,ri_tail_300um,128,500,0.39801500860738426,0.27604910662444221,-0.12196590198294205,-30.643543420558149
7,ri_tail_500um,128,235,0.32317992329725742,0.17529068400131981,-0.14788923929593761,-45.760651771648163
7,ri_tail_500um,235,285,0.17529068400131981,0.16095275520138355,-0.014337928799936256,-8.1795155752990851
7,ri_tail_500um,285,500,0.16095275520138355,0.2605184453414251,0.099565690140041546,61.860196189537284
7,ri_tail_500um,128,500,0.32317992329725742,0.2605184453414251,-0.062661477955832323,-19.38903794410427
10,source_mean_raw,128,235,154338856.44940418,189435690.56708992,35096834.117685735,22.740115435020918
10,source_mean_raw,235,285,189435690.56708992,181027984.37412828,-8407706.1929616332,-4.4382904656416828
10,source_mean_raw,285,500,181027984.37412828,102744679.6192846,-78283304.754843682,-43.243758706972372
10,source_mean_raw,128,500,154338856.44940418,102744679.6192846,-51594176.83011958,-33.429155830912443
