flow_mm_s,target_r_um,diameter_from_um,diameter_to_um,ri_r_median_from,ri_r_median_to,absolute_difference,percent_difference
3,90,235,285,0.2207198025993409,0.20281717132139371,-0.017902631277947195,-8.1110217874037982
3,90,285,500,0.20281717132139371,0.2588314868958424,0.056014315574448692,27.618132729839598
3,90,128,500,0.3420640834864751,0.2588314868958424,-0.083232596590632701,-24.332457164835208
3,100,128,235,0.31851437766238649,0.21788079762977169,-0.1006335800326148,-31.594674240822716
3,100,235,285,0.21788079762977169,0.1941976287535338,-0.023683168876237892,-10.869782529656838
3,100,285,500,0.1941976287535338,0.2609003419263089,0.066702713172775097,34.347851516472915
3,100,128,500,0.31851437766238649,0.2609003419263089,-0.057614035736077596,-18.088362653803451
3,110,128,235,0.3077157437200419,0.2086554241074611,-0.099060319612580799,-32.192151891553955
3,110,235,285,0.2086554241074611,0.1852284518651742,-0.023426972242286903,-11.227588423592387
3,110,285,500,0.1852284518651742,0.25229435309526932,0.067065901230095121,36.207127228440946
3,110,128,500,0.3077157437200419,0.25229435309526932,-0.055421390624772582,-18.010580139570191
3,120,128,235,0.30035927983191585,0.198132642877548,-0.10222663695436784,-34.034785611276909
3,120,235,285,0.198132642877548,0.1795234274696311,-0.018609215407916907,-9.3923016105013897
3,120,285,500,0.1795234274696311,0.2493247907743889,0.069801363304757807,38.881478751048071
3,120,128,500,0.30035927983191585,0.2493247907743889,-0.051034489057526944,-16.991147763467261
3,130,128,235,0.28465728330273343,0.1929135498790932,-0.091743733423640228,-32.229540154105464
3,130,235,285,0.1929135498790932,0.18071372868693181,-0.012199821192161397,-6.3239835666325792
3,130,285,500,0.18071372868693181,0.24476463017750391,0.064050901490572104,35.443295844741158
3,130,128,500,0.28465728330273343,0.24476463017750391,-0.039892653125229521,-14.01427452070623
3,140,128,235,0.27758481272467661,0.1879634259704927,-0.089621386754183907,-32.286127571062458
3,140,235,285,0.1879634259704927,0.1712684634085086,-0.016694962561984106,-8.8820271687349184
3,140,285,500,0.1712684634085086,0.24072315401962691,0.069454690611118308,40.553111313584552
3,140,128,500,0.27758481272467661,0.24072315401962691,-0.036861658705049705,-13.279422005558732
3,150,128,235,0.26988493592649881,0.1773028119837089,-0.092582123942789918,-34.304294763603991
3,150,235,285,0.1773028119837089,0.16592872978527889,-0.011374082198430002,-6.4150602413880984
3,150,285,500,0.16592872978527889,0.236075120146056,0.070146390360777106,42.275011959381885
3,150,128,500,0.26988493592649881,0.236075120146056,-0.033809815780442815,-12.527492749595581
3,160,128,235,0.26556301865362097,0.17518450592809159,-0.090378512725529381,-34.032793113943264
3,160,235,285,0.17518450592809159,0.15801453966603191,-0.017169966262059688,-9.8010758263675939
3,160,285,500,0.15801453966603191,0.2350762401532985,0.077061700487266599,48.768740300822088
3,160,128,500,0.26556301865362097,0.2350762401532985,-0.03048677850032247,-11.480054208935984
3,170,128,235,0.24492901750949786,0.17375276219881239,-0.071176255310685471,-29.059952158557692
3,170,235,285,0.17375276219881239,0.15759256853398751,-0.016160193664824879,-9.3006830281834425
3,170,285,500,0.15759256853398751,0.2343771996516813,0.076784631117693791,48.723510145171524
3,170,128,500,0.24492901750949786,0.2343771996516813,-0.010551817857816559,-4.3081125973190906
3,180,128,235,0.24123300283146099,0.17161237941351359,-0.069620623417947392,-28.860322841725061
3,180,235,285,0.17161237941351359,0.1527966470087827,-0.018815732404730889,-10.964088062314488
3,180,285,500,0.1527966470087827,0.2312508018094746,0.0784541548006919,51.34546885455044
3,180,128,500,0.24123300283146099,0.2312508018094746,-0.009982201021986381,-4.1379914459550591
3,190,128,235,0.23374806060691167,0.1622640983370546,-0.071483962269857065,-30.581627964849677
3,190,235,285,0.1622640983370546,0.15122828025856719,-0.011035818078487414,-6.8011459044771803
3,190,285,500,0.15122828025856719,0.2293930677741069,0.078164787515539708,51.686620638610101
3,190,128,500,0.23374806060691167,0.2293930677741069,-0.0043549928328047716,-1.8631139961107337
3,200,128,235,0.23328968240879744,0.16091550259817131,-0.072374179810626132,-31.023309330844576
3,200,235,285,0.16091550259817131,0.14833826825326429,-0.012577234344907012,-7.816048883937639
3,200,285,500,0.14833826825326429,0.2269213070124021,0.078583038759137802,52.975567049879267
3,200,128,500,0.23328968240879744,0.2269213070124021,-0.0063683753963953427,-2.7298144224123599
3,210,128,235,0.21531251584237671,0.15655191022744019,-0.058760605614936512,-27.290845302255093
3,210,235,285,0.15655191022744019,0.14563562165160851,-0.010916288575831684,-6.9729513743859091
3,210,285,500,0.14563562165160851,0.2252143398607554,0.079578718209146887,54.642344576601026
3,210,128,500,0.21531251584237671,0.2252143398607554,0.009901824018378691,4.5988148806117222
