flow_mm_s,subset,n_frames,source_mean_raw_median,tail_mean_raw_500um_median,ri_tail_median,source_segment_min_median,source_segment_max_median,source_segment_range_pct_of_volume_subset_median,x1_apparent_width_um_median,z_top_edge_px_median,source_area_um2_median,direct_candidate_supported_fraction_of_valid,rho_x1_vs_source,rho_z_top_vs_source,rho_source_area_vs_source,grid_scope,source_vs_d235_percent_difference,tail500_vs_d235_percent_difference,ri_vs_d235_percent_difference,source_vs_d285_percent_difference,tail500_vs_d285_percent_difference,ri_vs_d285_percent_difference
5,central80_x1,415,101526383.1890725,27193611.380882077,0.26692038840072008,90969606.396519214,124664539.11540316,33.188351303851633,609.59999999999991,182.5,239390.4111328125,0.80891719745222934,-0.23211920623067825,0.87791621828429878,-0.22618164002477553,common_grid,-44.628374180620334,-14.60826701913305,53.342124059976328,-46.100138273496391,-10.066443963678827,68.107855334445645
5,central80_x1_z_top,361,101366778.70060572,27161071.185176667,0.2672511255243602,90969606.396519214,124664539.11540316,33.240607179995749,609.59999999999991,182.5,239390.4111328125,0.80891719745222934,-0.23211920623067825,0.87791621828429878,-0.22618164002477553,common_grid,-44.1977495620526,-14.547331714926575,52.679679551314315,-46.114456483253598,-9.8880966750596784,67.66120821801583
5,central80_z_top,410,101735659.26151904,27170732.33118701,0.26620026273465924,90969606.396519214,124664539.11540316,33.120080966171976,609.59999999999991,182.5,239390.4111328125,0.80891719745222934,-0.23211920623067825,0.87791621828429878,-0.22618164002477553,common_grid,-43.9946814000212,-14.501022219841786,52.374795961171927,-46.054900515097088,-9.6639905272384095,67.841852225955876
5,direct_candidate_supported_only,381,100634697.69948415,27172853.49575856,0.26820597750868042,90969606.396519214,124664539.11540316,33.482420565821073,609.59999999999991,182.5,239390.4111328125,0.80891719745222934,-0.23211920623067825,0.87791621828429878,-0.22618164002477553,common_grid,-44.947503610024249,-14.50154742821079,54.011800068342716,-46.372056124153787,-9.9938741866031755,67.017420627217376
5,direct_plus_central_geometry,302,100609716.14395063,27152213.052420013,0.26820461451407973,90969606.396519214,124664539.11540316,33.490734305098151,609.59999999999991,182.5,239390.4111328125,0.80891719745222934,-0.23211920623067825,0.87791621828429878,-0.22618164002477553,common_grid,-44.512869109105566,-14.65745339588357,52.848228474801566,-46.245531059221655,-9.923406084630999,66.529031162391661
7,all_valid,477,104553326.99517109,27403074.145219389,0.2605184453414251,90618027.049596369,126011039.44588524,33.851636684812085,609.59999999999991,184.5,239392.07304687501,0.83857442348008382,-0.25199743141751985,0.88847046856842971,-0.24862925032364294,common_grid,-42.594516009488736,-13.541517571885972,48.620816232004429,-45.288566355563418,-11.221779178688356,61.860196189537284
7,central80_x1,400,104719079.71424243,27413147.486730315,0.26010501870804209,90618027.049596369,126011039.44588524,33.798055228206145,609.59999999999991,184.5,239392.07304687501,0.83857442348008382,-0.25199743141751985,0.88847046856842971,-0.24862925032364294,common_grid,-42.68692627125246,-13.512289122331383,48.451987556893414,-45.591726358085225,-11.293276122554557,62.394553737070751
7,central80_x1_z_top,354,103312256.41943757,27294605.502242513,0.26389008030561545,90618027.049596369,126011039.44588524,34.258289987004765,609.59999999999991,184.5,239392.07304687501,0.83857442348008382,-0.25199743141751985,0.88847046856842971,-0.24862925032364294,common_grid,-42.975708142563988,-13.883743200044327,49.292731043038721,-46.143075297847751,-11.216154884458314,64.723261951596044
7,central80_z_top,423,102998732.41284482,27302182.938198093,0.26470337295262403,90618027.049596369,126011039.44588524,34.362570846430202,609.59999999999991,184.5,239392.07304687501,0.83857442348008382,-0.25199743141751985,0.88847046856842971,-0.24862925032364294,common_grid,-43.027503936578128,-13.72634094417778,49.317492333255302,-45.90348923501687,-11.00393838526632,64.365172134971857
7,direct_candidate_supported_only,400,103351577.56596303,27336322.608611636,0.26239735996067726,90618027.049596369,126011039.44588524,34.245256076231314,609.59999999999991,184.5,239392.07304687501,0.83857442348008382,-0.25199743141751985,0.88847046856842971,-0.24862925032364294,common_grid,-42.898689321351064,-13.668576657929316,47.427969351268096,-46.122577090751911,-11.532530738095211,64.086462177457179
