scan_id,diameter_um,flow_mm_s,segment_index,segment_frames_0based,valid_frame_count,nominal_frame_count,valid_fraction,source_mean_raw_median,tail_mean_raw_500um_median,ri_tail_median,grid_scope
D235_F07_V01,235,7,1,100-199,92,100,0.92000000000000004,184037200.25677592,31318429.384990957,0.17003429441920354,common_grid
D235_F07_V01,235,7,2,200-299,94,100,0.93999999999999995,184329570.92377049,31447799.349535607,0.17262585527305502,common_grid
D235_F07_V01,235,7,3,300-399,93,100,0.93000000000000005,174233059.58488038,31440456.750599328,0.18106747034145809,common_grid
D235_F07_V01,235,7,4,400-499,88,100,0.88,168937120.3915039,32218483.861358617,0.19262389039815675,common_grid
D235_F10_V01,235,10,0,0-99,98,100,0.97999999999999998,216671788.95319563,32626143.26057335,0.15406563515357063,common_grid
D235_F10_V01,235,10,1,100-199,76,100,0.76000000000000001,199206176.87928104,31203620.250189126,0.16009840150448321,common_grid
D235_F10_V01,235,10,2,200-299,97,100,0.96999999999999997,187610213.52750489,31517937.75551068,0.16904540425895229,common_grid
D235_F10_V01,235,10,3,300-399,99,100,0.98999999999999999,182084267.63004303,31784406.602470402,0.17683974138345801,common_grid
D235_F10_V01,235,10,4,400-499,91,100,0.91000000000000003,167125497.16654953,32429945.411715034,0.18982596536330509,common_grid
D285_F01_V01,285,1,0,0-99,54,100,0.54000000000000004,225668016.01843554,31993142.180450462,0.14172870648094121,common_grid
D285_F01_V01,285,1,1,100-199,100,100,1,200974327.55934978,30905958.227781385,0.15457400322402082,common_grid
D285_F01_V01,285,1,2,200-299,99,100,0.98999999999999999,184023938.71284667,29837498.326564141,0.16090877617504301,common_grid
D285_F01_V01,285,1,3,300-399,100,100,1,177991308.26239508,29147765.581976678,0.16290507231894824,common_grid
D285_F01_V01,285,1,4,400-499,100,100,1,164166704.32796526,29225682.677832745,0.17841742416428841,common_grid
D285_F03_V01,285,3,0,0-99,74,100,0.73999999999999999,230215603.69386673,32148901.828684546,0.14171001078539502,common_grid
D285_F03_V01,285,3,1,100-199,100,100,1,204734527.86131102,31246317.957730137,0.15172147466391733,common_grid
D285_F03_V01,285,3,2,200-299,100,100,1,189032298.1409691,30254261.477975726,0.1594233524381351,common_grid
D285_F03_V01,285,3,3,300-399,100,100,1,180153410.86559111,29826937.641499512,0.16523452274032766,common_grid
D285_F03_V01,285,3,4,400-499,100,100,1,158456450.91619354,29313231.825270705,0.18319111683040426,common_grid
D285_F05_V01,285,5,0,0-99,98,100,0.97999999999999998,236586478.65784222,32212462.056678984,0.13823225798984559,common_grid
D285_F05_V01,285,5,1,100-199,100,100,1,206052659.39098135,31119573.602045134,0.15138203964243957,common_grid
D285_F05_V01,285,5,2,200-299,100,100,1,186348002.93652678,29609050.33584334,0.16011626732748779,common_grid
D285_F05_V01,285,5,3,300-399,100,100,1,182033186.73381394,29583594.087023497,0.16362075116550501,common_grid
D285_F05_V01,285,5,4,400-499,94,100,0.93999999999999995,163032454.0496085,29370922.885436546,0.18318592757999969,common_grid
D285_F07_V01,285,7,0,0-99,79,100,0.79000000000000004,236973193.1745384,33574709.228501707,0.14242198552416821,common_grid
D285_F07_V01,285,7,1,100-199,100,100,1,204099171.13290048,31756663.61303775,0.1553464925870737,common_grid
D285_F07_V01,285,7,2,200-299,100,100,1,182616630.35162979,30010512.722664818,0.16418213483289706,common_grid
D285_F07_V01,285,7,3,300-399,83,100,0.82999999999999996,186002195.60831183,30078540.159268599,0.16388828269730141,common_grid
D285_F07_V01,285,7,4,400-499,96,100,0.95999999999999996,173509483.55178291,30286980.088903092,0.17420037836733659,common_grid
D285_F10_V01,285,10,0,0-99,94,100,0.93999999999999995,217778941.23680735,31296177.312702376,0.14450304337763437,common_grid
D285_F10_V01,285,10,1,100-199,100,100,1,189296473.39780593,29417662.042547241,0.15322414728007405,common_grid
D285_F10_V01,285,10,2,200-299,100,100,1,183994566.94975588,29048026.675648976,0.15886051890288971,common_grid
D285_F10_V01,285,10,3,300-399,100,100,1,171291232.27579755,28706544.974558078,0.16498737563527546,common_grid
D285_F10_V01,285,10,4,400-499,100,100,1,160700504.23310643,28406760.181509562,0.17824300962078279,common_grid
D500_F01_V01,500,1,0,0-99,100,100,1,130965404.98531608,26202556.059205249,0.2011067545384255,common_grid
D500_F01_V01,500,1,1,100-199,100,100,1,114310761.60474092,24925926.254126102,0.21810298971571015,common_grid
D500_F01_V01,500,1,2,200-299,100,100,1,101785029.83290732,23989280.488625564,0.23533036099910332,common_grid
D500_F01_V01,500,1,3,300-399,100,100,1,93567003.228161365,23723595.817839123,0.25410221439390934,common_grid
D500_F01_V01,500,1,4,400-499,100,100,1,86667253.094364241,23470099.863079827,0.27055898304556802,common_grid
D500_F02_V01,500,2,0,0-99,94,100,0.93999999999999995,129183624.62383571,26529053.040210303,0.2057851149074518,d500_extension
D500_F02_V01,500,2,1,100-199,100,100,1,112832746.43823454,25197202.195721321,0.22194946998388154,d500_extension
D500_F02_V01,500,2,2,200-299,100,100,1,102197262.16819899,24497881.447793774,0.23966998154880359,d500_extension
D500_F02_V01,500,2,3,300-399,99,100,0.98999999999999999,93754882.776620671,24114194.694164343,0.25704087916982021,d500_extension
D500_F02_V01,500,2,4,400-499,100,100,1,87150745.406150818,23717490.023162968,0.27364173233360911,d500_extension
D500_F03_V01,500,3,0,0-99,100,100,1,128914552.53150472,26452215.72049205,0.203157056133797,common_grid
D500_F03_V01,500,3,1,100-199,100,100,1,113331498.44611073,25131770.888672132,0.22005129858120859,common_grid
D500_F03_V01,500,3,2,200-299,100,100,1,102017975.29841375,24372742.488694988,0.23888017640796624,common_grid
D500_F03_V01,500,3,3,300-399,90,100,0.90000000000000002,94143432.174565539,23872094.339137536,0.25331163960397129,common_grid
D500_F03_V01,500,3,4,400-499,100,100,1,86156896.963717908,23782559.486429464,0.27562883200068194,common_grid
D500_F05_V01,500,5,0,0-99,71,100,0.70999999999999996,124664539.11540316,28719927.94064723,0.2298347067966369,common_grid
D500_F05_V01,500,5,1,100-199,100,100,1,112415693.19596589,27489071.024869781,0.24738378943009132,common_grid
D500_F05_V01,500,5,2,200-299,100,100,1,103103946.04679677,27051856.073328018,0.26176026243706929,common_grid
D500_F05_V01,500,5,3,300-399,100,100,1,95274296.483077288,26886255.401393589,0.28174378599925987,common_grid
