scan_id,flow_mm_s,target_r_um,n_frames,selected_r_um_median,max_abs_sampling_error_um,ri_r_observed_q1,ri_r_observed_median,ri_r_observed_q3,ri_r_corrected_q1,ri_r_corrected_median,ri_r_corrected_q3,V_observed_median,B_frozen_median
flow01,1,360,486,357.75,2.25,0.13082958033988723,0.17117258384729864,0.21592883492017653,-0.039176645566154952,0.01801127461556111,0.071139411426035512,25194671.643013872,23267453.061125658
flow01,1,370,486,371.15000000000003,1.1500000000000341,0.13732640773727794,0.17024769025279335,0.21338673200062755,-0.026413626586431586,0.026473676527754876,0.077975602227228311,25653402.314975917,22280243.806755081
flow01,1,380,486,377.85000000000002,2.1499999999999773,0.13174193021963332,0.16759029995850577,0.21498708524244362,-0.030387263340435317,0.022246372975997179,0.078490917553982617,25478889.475776896,22870935.81575688
flow01,1,390,486,391.25,1.25,0.13057356269072529,0.16407235292351563,0.20884567455267977,-0.031635810213155167,0.01811692678913478,0.072911735350831439,24916532.509453345,22730901.161797814
flow01,1,400,486,397.95000000000005,2.0499999999999545,0.13065017885564287,0.16593235069010226,0.20800234241652768,-0.051403069033100685,0.010928895122216183,0.06768312464287024,24915929.995602906,23064896.592688918
flow01,1,410,486,411.35000000000002,1.3500000000000227,0.12762906954425562,0.1629439522997872,0.2036538396561533,-0.038923603685783868,0.013863074843410768,0.06917391843503963,24417839.010977458,22679851.955560859
flow01,1,420,486,418.05000000000001,1.9499999999999886,0.13130991886293719,0.1681593748965341,0.21332577022509541,-0.038227459432167765,0.016629402743698733,0.075404176527993208,24979794.330698971,22416301.875731245
flow01,1,430,486,431.45000000000005,1.4500000000000455,0.12472945407952041,0.16103446833935678,0.20812126270248602,-0.03432783667097572,0.014810408164195876,0.057372713365936495,24513033.353492506,22356518.62932644
flow01,1,440,486,438.15000000000003,1.8499999999999659,0.12430096992411253,0.16002764074123182,0.2019136294806233,-0.045582955586023474,0.0082266545672679044,0.058045545393708577,23977931.557714399,22862111.116300792
flow01,1,450,486,451.55000000000001,1.5500000000000114,0.1237799005478448,0.16270151151370735,0.2084846173935162,-0.041363755273442181,0.014628961204346706,0.068339242059636637,24472219.027837243,22432644.043306634
flow01,1,460,486,458.25,1.75,0.12498409384674689,0.15867273709577334,0.20373115574714215,-0.045848823474101373,0.0066791149973210442,0.058046243642965192,23857529.399508417,22958275.827402301
flow01,1,470,486,471.65000000000003,1.6500000000000341,0.1244686752269025,0.16213755660280738,0.20274389941179549,-0.036546203918804296,0.013647222317338017,0.058567846910942578,24105629.322015151,22357771.061780274
flow01,1,480,486,478.35000000000002,1.6499999999999773,0.12462202372586705,0.15927043118157269,0.20398993824384185,-0.046061467414544206,0.0096732483964097858,0.060377028336265598,23836597.886729367,22380405.648005277
flow01,1,490,486,491.75,1.75,0.12417731454645037,0.15546748068340291,0.20175954194799517,-0.043862823921077015,0.0065354579416139784,0.052502377528957742,23368529.896870829,22672896.622303937
flow01,1,500,486,498.45000000000005,1.5499999999999545,0.12322241733744048,0.15753648129063663,0.19964294722326315,-0.043735180209186438,0.0057657633802815061,0.055921915338564353,23222788.83396031,22971664.78828115
flow03,3,0,468,2.6500000000000115,2.6500000000000115,0.41856850872640128,0.57229408315229846,0.79652496407115758,0.29679159123462628,0.47880913683552739,0.73912608415402692,88079003.043548971,25639495.323804554
flow03,3,10,468,9.3500000000000121,0.64999999999998792,0.40869956410262753,0.54236824538813266,0.69764683028371199,0.29039740236481998,0.43372632747284312,0.61728714340006552,84656896.511163667,25218537.665324025
flow03,3,20,468,22.750000000000011,2.7500000000000107,0.38657980863086394,0.51664659946486013,0.63973342273368183,0.24796924303267251,0.40015902962936822,0.57319074577387685,76911928.479400396,24721633.301300474
flow03,3,30,468,29.450000000000014,0.5499999999999865,0.36352371146824258,0.46387610089522902,0.62227816898395549,0.22253275135071243,0.34761082874369242,0.53299951822048186,73134137.398512647,24890869.018794052
