scan_id,diameter_um,flow_mm_s,target_r_um,n_frames,selected_r_um_median,max_abs_sampling_error_um,RI_r_q1,RI_r_median,RI_r_q3,raw_row_signal_median
D500_F05_V01,500,5,230,471,226.95000000000007,3.0499999999999261,0.21697809137422361,0.24420276582465944,0.27219923584050643,24757700.19488484
D500_F05_V01,500,5,240,471,240.35000000000008,0.35000000000007958,0.2134581586856808,0.2445855704716372,0.27963041371384711,25302385.69356896
D500_F05_V01,500,5,250,471,247.05000000000007,2.9499999999999318,0.21601928466934683,0.2406994025309685,0.27641547792966681,25203968.040207706
D500_F05_V01,500,5,260,471,260.4500000000001,0.45000000000010232,0.20959578372100818,0.24078384727148264,0.27354626570111473,24698572.817322075
D500_F05_V01,500,5,270,471,267.15000000000009,2.8499999999999091,0.21383461999305847,0.24201309796645301,0.27242932109134582,25073666.80624463
D500_F05_V01,500,5,280,471,280.55000000000007,0.55000000000006821,0.21176527870574394,0.23860193504179661,0.26888018289390431,24762221.094928138
D500_F05_V01,500,5,290,471,287.25000000000006,2.7499999999999432,0.20539563329989655,0.23734573865083386,0.26928127906416166,24668143.265644033
D500_F05_V01,500,5,300,471,300.65000000000009,0.65000000000009095,0.2092454153536431,0.23682546968387583,0.26381341891624144,24281972.720623158
D500_F05_V01,500,5,310,471,307.35000000000008,2.6499999999999204,0.20980417216303526,0.2386425442469709,0.26947400695073631,24541000.241151392
D500_F05_V01,500,5,320,471,320.75000000000006,0.75000000000005684,0.20826441322267669,0.23244814714089188,0.26377982664921551,24280775.902203057
D500_F05_V01,500,5,330,471,327.4500000000001,2.5499999999998977,0.21132543954365712,0.23824466468875014,0.26966654680828089,24850714.480894059
D500_F05_V01,500,5,340,471,340.85000000000008,0.85000000000007958,0.20727347555159847,0.23642219732687964,0.27134695658533048,24280509.661322553
D500_F05_V01,500,5,350,471,347.55000000000007,2.4499999999999318,0.20901273768593864,0.23600587127948122,0.26623163388214344,24367367.835193738
D500_F05_V01,500,5,360,471,360.9500000000001,0.95000000000010232,0.21046706673546278,0.23233694988959094,0.26471361402661259,24102250.850908782
D500_F05_V01,500,5,370,471,367.65000000000009,2.3499999999999091,0.20702620974856123,0.23568538493996916,0.26054285428490748,24415978.986866329
D500_F05_V01,500,5,380,471,381.05000000000007,1.0500000000000682,0.21450918721763051,0.23767034810962259,0.26665483860219064,24860008.950478047
D500_F05_V01,500,5,390,471,387.75000000000006,2.2499999999999432,0.20825618229969656,0.23565408798822621,0.26722720516476395,24234170.206596907
D500_F05_V01,500,5,400,471,401.15000000000009,1.1500000000000909,0.21169972386829528,0.24201532499128284,0.27109196002814584,24873430.29244731
D500_F05_V01,500,5,410,471,407.85000000000008,2.1499999999999204,0.20998437500351635,0.23540154596540844,0.26886273338655181,24756915.023609906
D500_F05_V01,500,5,420,471,421.25000000000006,1.2500000000000568,0.20537257447343046,0.23300170317518232,0.27041622953375333,24191273.9343828
D500_F05_V01,500,5,430,471,427.9500000000001,2.0499999999998977,0.21285263285264758,0.24262475359373403,0.27718396347417917,25050033.921090603
D500_F05_V01,500,5,440,471,441.35000000000008,1.3500000000000796,0.21701177235979494,0.25920815700084388,0.30567343802997315,26797596.551343732
D500_F05_V01,500,5,450,471,448.05000000000007,1.9499999999999318,0.21750736802907422,0.2574278065060373,0.32909762137786547,27385001.243077401
D500_F05_V01,500,5,460,471,461.4500000000001,1.4500000000001023,0.21055151206906961,0.23904085768058103,0.27682251310652184,25037539.607296485
D500_F05_V01,500,5,470,471,468.15000000000009,1.8499999999999091,0.2116916785294044,0.24402758363790028,0.28097548021483865,25382950.6123132
D500_F05_V01,500,5,480,471,481.55000000000007,1.5500000000000682,0.21182722991612651,0.24042639437297092,0.27683315074807158,24916586.358482141
D500_F05_V01,500,5,490,471,488.25000000000006,1.7499999999999432,0.2086175487593952,0.24301602352321997,0.27218338293932087,25240756.629821699
D500_F05_V01,500,5,500,471,501.65000000000009,1.6500000000000909,0.21270411492896124,0.2398240548008872,0.27492517791355064,24948033.844759073
D500_F07_V01,500,7,0,477,-0.84999999999993181,0.84999999999993181,0.3214194773258926,0.36278184070611807,0.41799424009687863,38508586.295424536
D500_F07_V01,500,7,10,477,12.550000000000068,2.5500000000000682,0.30402616303734592,0.34624886582038311,0.39515761367534052,36740237.6675051
D500_F07_V01,500,7,20,477,19.250000000000068,0.7499999999999325,0.30018281301792749,0.33697119077599202,0.38180011391281155,35512046.309552982
D500_F07_V01,500,7,30,477,32.65000000000007,2.6500000000000696,0.29115095466309121,0.32692506624838241,0.37206442951803415,34752290.652939394
D500_F07_V01,500,7,40,477,39.350000000000072,0.64999999999992752,0.28013952938697795,0.31755565830189908,0.36408651232478856,33734269.663149305
D500_F07_V01,500,7,50,477,52.750000000000071,2.7500000000000711,0.27888555027039286,0.31226314558254503,0.3535330915857427,32873696.30186503
D500_F07_V01,500,7,60,477,59.450000000000067,0.54999999999993321,0.26810017693390947,0.30627641165531777,0.34767158103707235,32247883.882555384
D500_F07_V01,500,7,70,477,72.850000000000065,2.8500000000000654,0.26157767824931721,0.29565535397786535,0.33740556356333512,31424170.441052239
D500_F07_V01,500,7,80,477,79.550000000000068,0.44999999999993179,0.26118338704031674,0.29250737206796812,0.33198512892999105,30971715.530128974
D500_F07_V01,500,7,90,477,92.950000000000074,2.9500000000000739,0.2499156182188973,0.28125161702852125,0.31861465148570073,29927832.257300828
D500_F07_V01,500,7,100,477,99.650000000000077,0.34999999999992326,0.24950826235364537,0.28280849512939066,0.31950884868239321,29759976.617260382
D500_F07_V01,500,7,110,477,113.05000000000007,3.0500000000000682,0.24199989498926811,0.27624386593548683,0.3128591420701477,28798544.319384884
D500_F07_V01,500,7,120,477,119.75000000000007,0.24999999999992895,0.24232551766468813,0.27000335204480796,0.30919683836580864,28679865.774324026
D500_F07_V01,500,7,130,477,133.15000000000006,3.1500000000000625,0.23625674940618252,0.267733129694046,0.30267582691225464,28160601.405306779
D500_F07_V01,500,7,140,477,139.85000000000008,0.14999999999992042,0.23203816498478511,0.2644453254807389,0.30125957719432739,27671268.298909876
D500_F07_V01,500,7,150,477,153.25000000000009,3.2500000000000853,0.23175122570639364,0.25960008871741796,0.29185431438716097,27283389.194242109
D500_F07_V01,500,7,160,477,159.95000000000007,0.049999999999926104,0.23461431307765565,0.26302006870882771,0.30251214864574649,28204241.60414375
D500_F07_V01,500,7,170,477,166.65000000000006,3.3499999999999375,0.22559896725056405,0.25608496639680328,0.2938839133077582,27219511.930213775
D500_F07_V01,500,7,180,477,180.05000000000007,0.050000000000068212,0.22740113519045652,0.25489894047520606,0.28982468115161203,26738541.617537435
D500_F07_V01,500,7,190,477,186.75000000000009,3.2499999999999147,0.22124099751412746,0.25185785905340352,0.28689886363607681,26282382.369792562
D500_F07_V01,500,7,200,477,200.15000000000006,0.15000000000006253,0.22109374152988939,0.25186265349905795,0.2825782675814133,26267330.758103658
D500_F07_V01,500,7,210,477,206.85000000000008,3.1499999999999204,0.2150736412554356,0.24091198820394197,0.27702290574002514,25687907.972917031
D500_F07_V01,500,7,220,477,220.25000000000009,0.25000000000008527,0.21588022683595534,0.24516390592863443,0.27767787365037766,26060035.282096911
D500_F07_V01,500,7,230,477,226.95000000000007,3.0499999999999261,0.21731707761441915,0.24814609904130863,0.28037129948597783,26099787.5485209
D500_F07_V01,500,7,240,477,240.35000000000008,0.35000000000007958,0.20882156105346072,0.2326453236298123,0.27275648865247609,24899088.769009322
D500_F07_V01,500,7,250,477,247.05000000000007,2.9499999999999318,0.20631632405874623,0.23712986820935575,0.26840968909377377,24961734.618680786
D500_F07_V01,500,7,260,477,260.4500000000001,0.45000000000010232,0.20636215393521684,0.23819839094202952,0.26757487801493512,24990235.142278034
D500_F07_V01,500,7,270,477,267.15000000000009,2.8499999999999091,0.21542033541789829,0.23811462565279307,0.27092306351183676,24917599.675901979
D500_F07_V01,500,7,280,477,280.55000000000007,0.55000000000006821,0.20663115275275085,0.23120934393419604,0.26386867798988184,24621849.472868338
D500_F07_V01,500,7,290,477,287.25000000000006,2.7499999999999432,0.2076082076691424,0.23338665108493181,0.26553319038987822,24731234.088277739
D500_F07_V01,500,7,300,477,300.65000000000009,0.65000000000009095,0.20795914488652403,0.23666208011883796,0.26491738851119179,25088843.45863137
D500_F07_V01,500,7,310,477,307.35000000000008,2.6499999999999204,0.21016213571086373,0.23711146929656279,0.26366171819921608,24931506.784530513
D500_F07_V01,500,7,320,477,320.75000000000006,0.75000000000005684,0.20583785343744435,0.2375405530061471,0.26715564828254806,24880527.648013566
D500_F07_V01,500,7,330,477,327.4500000000001,2.5499999999998977,0.20850833339849981,0.23470759708006228,0.26664309698059646,24706336.273809232
D500_F07_V01,500,7,340,477,340.85000000000008,0.85000000000007958,0.20899063973044588,0.23812719784770109,0.2653471255222285,25063903.33718957
D500_F07_V01,500,7,350,477,347.55000000000007,2.4499999999999318,0.20282759221450095,0.23005603798850688,0.26414286737668352,24475788.416983996
D500_F07_V01,500,7,360,477,360.9500000000001,0.95000000000010232,0.20772312632178985,0.233665082860912,0.26214027104060528,24634284.180688072
D500_F07_V01,500,7,370,477,367.65000000000009,2.3499999999999091,0.20460967480215231,0.23026999554565886,0.26116648556712602,24343960.655040406
D500_F07_V01,500,7,380,477,381.05000000000007,1.0500000000000682,0.2093228768460256,0.23498745718972819,0.26352571579909728,24644488.690160062
D500_F07_V01,500,7,390,477,387.75000000000006,2.2499999999999432,0.20616947577632982,0.23182443470256178,0.26371106723867332,24937268.44240281
D500_F07_V01,500,7,400,477,401.15000000000009,1.1500000000000909,0.20189640568103673,0.23166482512294706,0.26459184694414672,24451316.04883948
D500_F07_V01,500,7,410,477,407.85000000000008,2.1499999999999204,0.20920605999413622,0.23758647143600983,0.27190259649679321,25150104.937726375
D500_F07_V01,500,7,420,477,421.25000000000006,1.2500000000000568,0.20765621081835764,0.24434614384736256,0.28882486032339938,25751917.403723732
D500_F07_V01,500,7,430,477,427.9500000000001,2.0499999999998977,0.20805450675822948,0.2417222174028239,0.31256082586737055,26036906.073665652
D500_F07_V01,500,7,440,477,441.35000000000008,1.3500000000000796,0.20958995741628839,0.24016023685003865,0.27932151141629402,25705477.765505064
D500_F07_V01,500,7,450,477,448.05000000000007,1.9499999999999318,0.20990696396219008,0.2411279166421553,0.27880263233449948,25695525.842156019
D500_F07_V01,500,7,460,477,461.4500000000001,1.4500000000001023,0.20970679521443025,0.23822048272686869,0.27213272263434685,24942254.002086051
D500_F07_V01,500,7,470,477,468.15000000000009,1.8499999999999091,0.20505866629979497,0.23618491915497952,0.26882834870164413,24599226.202431165
D500_F07_V01,500,7,480,477,481.55000000000007,1.5500000000000682,0.20208003467480398,0.23491685708267337,0.26664394228822158,24531295.351095155
D500_F07_V01,500,7,490,477,488.25000000000006,1.7499999999999432,0.20292895370009553,0.23303651108781945,0.26872969569213234,24571893.871728107
D500_F07_V01,500,7,500,477,501.65000000000009,1.6500000000000909,0.20249330055187897,0.23465517627854601,0.27226019906531806,25011472.839555446
D500_F09_V01,500,9,0,482,-0.84999999999993181,0.84999999999993181,0.32379261961611916,0.36857475482769225,0.41291264297017605,37943906.727500066
D500_F09_V01,500,9,10,482,12.550000000000068,2.5500000000000682,0.3095360908674647,0.34468932546099978,0.38808401589327229,36182238.616968438
D500_F09_V01,500,9,20,482,19.250000000000068,0.7499999999999325,0.29929773431738632,0.33740269776525783,0.38416753437845691,35660392.060532853
D500_F09_V01,500,9,30,482,32.65000000000007,2.6500000000000696,0.28566498255341666,0.32935463055075365,0.37060837036963801,34124413.273470595
D500_F09_V01,500,9,40,482,39.350000000000072,0.64999999999992752,0.28303789592227219,0.32700826756084,0.36509539706394079,33574182.854885578
D500_F09_V01,500,9,50,482,52.750000000000071,2.7500000000000711,0.27560251017179871,0.31270782490479498,0.35682166143745914,32574018.739890106
D500_F09_V01,500,9,60,482,59.450000000000067,0.54999999999993321,0.26637920448464186,0.29916805983051509,0.34093318150820651,31185215.904813409
D500_F09_V01,500,9,70,482,72.850000000000065,2.8500000000000654,0.25827060313179456,0.29581365975245855,0.33312574560823799,30751432.045112453
D500_F09_V01,500,9,80,482,79.550000000000068,0.44999999999993179,0.25678047512737912,0.29383368576078306,0.32921467117749975,30441598.324065953
D500_F09_V01,500,9,90,482,92.950000000000074,2.9500000000000739,0.24970371031449937,0.28155930428651671,0.32079967530202136,29460401.138775006
D500_F09_V01,500,9,100,482,99.650000000000077,0.34999999999992326,0.24935821632057062,0.2790113237821274,0.31788717078265261,29349654.658338517
D500_F09_V01,500,9,110,482,113.05000000000007,3.0500000000000682,0.24695705054166395,0.27525613278737138,0.31148432914233842,28979601.549387611
D500_F09_V01,500,9,120,482,119.75000000000007,0.24999999999992895,0.2441733982999304,0.27536367532542944,0.30906114588115718,28712973.72122246
D500_F09_V01,500,9,130,482,133.15000000000006,3.1500000000000625,0.23226292507016566,0.26605470897492489,0.30730221929861828,27952201.954597168
D500_F09_V01,500,9,140,482,139.85000000000008,0.14999999999992042,0.23381327814191305,0.26676687102383823,0.29768034077703942,27521004.911715657
D500_F09_V01,500,9,150,482,153.25000000000009,3.2500000000000853,0.23010375787432477,0.2635786959603072,0.29482587653943393,27212561.756062824
