scan_id,diameter_um,flow_mm_s,slow_axis_segment,n_frames,n_strict_order_frames,strict_order_frame_fraction,all_frames_strict_upper_middle_lower,upper_mean_raw_median,upper_q_fraction_median,middle_mean_raw_median,middle_q_fraction_median,lower_mean_raw_median,lower_q_fraction_median,middle_to_upper_mean_ratio_median,lower_to_upper_mean_ratio_median,lower_to_middle_mean_ratio_median,source_mean_raw_frozen_median,strict_upper_middle_lower,strict_upper_middle_lower_segment_medians,middle_to_upper_ratio_median,lower_to_upper_ratio_median
D128_F10_V01,128,10,4,86,8,0.093023255813953487,False,127993462.6872243,0.26458770120268865,138387101.68632835,0.42629895913266813,145837450.87012619,0.30517377907889492,1.1125004594212256,1.1650241419313758,1.0522113431391633,143447218.9358137,False,False,1.1125004594212256,1.1650241419313758
D235_F01_V01,235,1,0,85,79,0.92941176470588238,False,326002092.86726177,0.49706943214025029,174217270.63513786,0.36495387208432029,89930419.847908035,0.13067341130475452,0.52151470560004076,0.26709681331005808,0.50747366065397148,196189213.64646885,True,True,0.52151470560004076,0.26709681331005808
D235_F01_V01,235,1,1,90,90,1,True,318642591.92676127,0.49807787403666282,160462668.74931818,0.36782788026645469,87458952.070842385,0.13371189874090694,0.51991532213112635,0.2708582737173118,0.52195860983136921,182596009.65155038,True,True,0.51991532213112635,0.2708582737173118
D235_F01_V01,235,1,2,98,98,1,True,293744811.67088056,0.48508244509235859,159209804.6884827,0.3683299569519578,85349112.134829059,0.14120876465629006,0.52831546408347752,0.2859387542771219,0.54749445034014399,177821351.88588765,True,True,0.52831546408347752,0.2859387542771219
D235_F01_V01,235,1,3,96,96,1,True,245709172.41649935,0.43632833650344538,162955494.1833089,0.4102122624781861,86847862.029283464,0.15697746989326397,0.6517652207353366,0.35510030079177335,0.55695618083454135,167220755.09000021,True,True,0.6517652207353366,0.35510030079177335
D235_F01_V01,235,1,4,79,77,0.97468354430379744,False,246570103.59727302,0.43947677540097957,159019442.84592545,0.40107140201247904,87829426.89186649,0.15413244316154309,0.64196561230249627,0.33966764550108713,0.54880628519929098,163957902.15945116,True,True,0.64196561230249627,0.33966764550108713
D235_F03_V01,235,3,0,88,88,1,True,369386925.89934039,0.5231267031465483,173186012.70705155,0.3433396356099635,92050145.762422606,0.13076354780740748,0.45992840452725203,0.25206770093357445,0.5497667710360048,204160665.5115214,True,True,0.45992840452725203,0.25206770093357445
D235_F03_V01,235,3,1,89,89,1,True,329324548.00861591,0.50560522415086118,160228729.47377208,0.35521038982663716,88174061.367367223,0.13388940740240166,0.49434527199744321,0.26321383269184739,0.53483450994351034,192596686.66354832,True,True,0.49434527199744321,0.26321383269184739
D235_F03_V01,235,3,2,91,91,1,True,313472927.45720577,0.48772578563162933,164219236.82600772,0.37008112973721552,89269455.537975848,0.14401188000127557,0.53397003757133699,0.2960656368421743,0.5535053787829789,188348923.56034097,True,True,0.53397003757133699,0.2960656368421743
D235_F03_V01,235,3,3,91,91,1,True,282138985.15104181,0.46570952092969548,155882790.39379632,0.37787781141232329,89304324.064562902,0.1505258855171997,0.57370631165521868,0.32302203636076943,0.57122049572217182,173197182.60730761,True,True,0.57370631165521868,0.32302203636076943
D235_F03_V01,235,3,4,89,87,0.97752808988764039,False,254630968.89335692,0.44003299819018438,162248775.16007712,0.40398704552934411,91149012.157302499,0.15501081246201601,0.63304171169394363,0.35700525953557721,0.55383238454233263,167388373.83423436,True,True,0.63304171169394363,0.35700525953557721
D235_F05_V01,235,5,0,82,82,1,True,367031614.85129678,0.51908906404143229,173278098.45658863,0.35200831021685952,90386526.893431276,0.12866380502170002,0.47387773737103234,0.24746872755243271,0.52211494698086414,205947519.4886893,True,True,0.47387773737103234,0.24746872755243271
D235_F05_V01,235,5,1,86,86,1,True,321302362.17776644,0.49957106836405341,160023141.31200862,0.35901908300884466,86467182.715821996,0.13466392514520081,0.5023322788901976,0.27347278283482346,0.54345266807980286,184625082.88398308,True,True,0.5023322788901976,0.27347278283482346
D235_F05_V01,235,5,2,84,84,1,True,327573481.14278746,0.50690195401704363,158934060.52734879,0.3565491082172485,87077815.818719596,0.13559632343467465,0.49302511100855079,0.26729963759501629,0.5406645549841691,188627201.50738961,True,True,0.49302511100855079,0.26729963759501629
D235_F05_V01,235,5,3,88,88,1,True,283301093.02314615,0.4727241750320077,158756390.64815751,0.38094306036775549,86954522.593793392,0.14618122928770211,0.5625060357408429,0.31308801009212001,0.55312325652412464,175399969.45725894,True,True,0.5625060357408429,0.31308801009212001
D235_F05_V01,235,5,4,84,84,1,True,279959568.91172922,0.47703555745709514,148914622.90739435,0.36864085747558695,87125119.207127199,0.14957904184350734,0.54972053676442245,0.31298968336131039,0.56987268063055929,169754079.34674579,True,True,0.54972053676442245,0.31298968336131039
D235_F07_V01,235,7,0,77,77,1,True,366602811.22551221,0.5053845119293342,181530737.82743308,0.3621768451205693,93725015.030076608,0.13232450172029231,0.5056151875363506,0.26279545895978712,0.52620199712852256,209153886.22940919,True,True,0.5056151875363506,0.26279545895978712
D235_F07_V01,235,7,1,92,92,1,True,304212105.56787008,0.49851609687076165,164621448.56309137,0.3622775420861668,87417566.368541434,0.1362259672582144,0.50753148443273577,0.27628100133902411,0.52550880062655114,184037200.25677592,True,True,0.50753148443273577,0.27628100133902411
D235_F07_V01,235,7,2,94,94,1,True,300764540.65438753,0.47229333346906549,161947942.62512264,0.38503730883907933,87077862.998228997,0.1429393316940207,0.57299268214193988,0.29700080056089417,0.53559997629985623,184329570.92377049,True,True,0.57299268214193988,0.29700080056089417
D235_F07_V01,235,7,3,93,93,1,True,287532881.24037027,0.47871515673155102,155382279.6696448,0.37197420329345476,88093212.676952913,0.14898894134723945,0.54360636223104786,0.30813622437369831,0.57607289000662776,174233059.58488038,True,True,0.54360636223104786,0.30813622437369831
D235_F07_V01,235,7,4,88,87,0.98863636363636365,False,276915378.3006053,0.47776044549643737,146897046.72090948,0.36572231096661911,88521566.16628547,0.15405385183125714,0.53166132444733205,0.31484171764066704,0.59561420529193021,168937120.3915039,True,True,0.53166132444733205,0.31484171764066704
D235_F10_V01,235,10,0,98,98,1,True,376666682.63234627,0.51345381736540918,186085757.31670511,0.35477301429688074,91141249.151826143,0.12811971090227922,0.48094646375890249,0.25150695576567311,0.51963167485076112,216671788.95319563,True,True,0.48094646375890249,0.25150695576567311
D235_F10_V01,235,10,1,76,75,0.98684210526315785,False,353345971.87369931,0.52148411085805957,166823042.62263265,0.34895861802203776,88570661.731873691,0.1317901511497428,0.46827957698361178,0.25412489298207974,0.53223179103923446,199206176.87928104,True,True,0.46827957698361178,0.25412489298207974
D235_F10_V01,235,10,2,97,97,1,True,301961415.05611485,0.47690344640636467,165875146.15718678,0.37492232726939123,91763388.754549623,0.14557352701091336,0.54378983813507564,0.30608522745312006,0.5430941147868027,187610213.52750489,True,True,0.54378983813507564,0.30608522745312006
D235_F10_V01,235,10,3,99,99,1,True,305056844.48013777,0.48450786119575362,158425655.98144692,0.36553165623498246,90488682.517143637,0.14615135246846836,0.52860124548116216,0.29818891662411934,0.57152333535358923,182084267.63004306,True,True,0.52860124548116216,0.29818891662411934
D235_F10_V01,235,10,4,91,91,1,True,259714419.67645726,0.46403804935169779,153497802.9967263,0.38022336294171122,88494079.958138734,0.15234766418609125,0.57324190771657457,0.3285260948754356,0.57053263653131148,167125497.16654953,True,True,0.57324190771657457,0.3285260948754356
