scan_id,frame_index_0based,flow_speed_mm_s,localization_source,baseline_valid,variant_valid,variant_invalid_reason,q_vessel_base,q_vessel_plus2,q_vessel_delta,q_vessel_delta_pct,q_tail_base,q_tail_plus2,q_tail_delta,q_tail_delta_pct,ratio_base,ratio_plus2,ratio_delta,ratio_delta_pct
flow05,64,5,short_gap_assisted,True,True,,2583770395068.4185,2563608298494.8584,-20162096573.56006,-0.7803362331282601,1056520219476.2048,1291802768146.1516,235282548669.94678,22.26957367522921,0.4089063879254751,0.5039002131895862,0.0949938252641111,23.23119131154882
flow01,266,1,direct_candidate_supported,True,True,,856473459730.9493,862515711876.7012,6042252145.751831,0.7054803715283753,586073568512.2778,716194788666.2501,130121220153.97229,22.20219903181768,0.6842868997906668,0.8303556431545122,0.14606874336384534,21.346125931759012
flow10,239,10,direct_candidate_supported,True,True,,2252611898232.271,2310700405919.5225,58088507687.251465,2.5787179643699925,1137664729451.371,1389083559064.28,251418829612.90894,22.099553858380887,0.505042493269324,0.6011526009627832,0.09611010769345918,19.030103204049908
flow01,236,1,direct_candidate_supported,True,True,,2252034107536.0146,2247259427185.8975,-4774680350.1171875,-0.21201634265394137,875970974212.3367,1068585882236.6671,192614908024.33044,21.988731783895876,0.3889687866098751,0.47550624076134834,0.08653745415147324,22.24791734722609
flow07,351,7,direct_candidate_supported,True,True,,1122741932492.0046,1097633680641.6663,-25108251850.33838,-2.2363333125546356,1007422977520.3356,1227195244723.1843,219772267202.84875,21.815292295972323,0.8972881018920256,1.1180371615471727,0.22074905965514713,24.601803945652986
flow10,455,10,direct_candidate_supported,True,True,,1141223381103.9004,1172095097438.5417,30871716334.641357,2.705142292543926,660076505713.9314,800796098327.8816,140719592613.9502,21.318679182763738,0.5783937804318751,0.6832176843653004,0.10482390393342533,18.123276473539434
flow01,269,1,direct_candidate_supported,True,True,,1550703807653.419,1597664198763.5479,46960391110.12891,3.0283275812155943,561638005563.4534,680670331944.7172,119032326381.2638,21.193780549421103,0.3621826442880438,0.4260409242890317,0.06385828000098787,17.631512997127878
flow03,48,3,direct_candidate_supported,True,True,,2632705843330.584,2659241810393.175,26535967062.59082,1.0079351299277968,1206076856255.8013,1459823771199.9998,253746914944.1985,21.03903359292887,0.4581130320013334,0.5489624017998429,0.0908493697985095,19.83121270347207
flow10,125,10,short_gap_assisted,True,True,,2476129669243.2153,2481961305390.525,5831636147.30957,0.23551416631148825,1360672885719.0195,1646036409908.0344,285363524189.0149,20.972235662520784,0.5495160058135747,0.6631998679161674,0.11368386210259263,20.68799832941723
flow03,62,3,direct_candidate_supported,True,True,,2494693683612.806,2504499945222.6714,9806261609.865234,0.3930847973152296,1126349735235.7786,1361820864714.5688,235471129478.79028,20.905685162655022,0.45149821103671656,0.5437496085045797,0.0922513974678631,20.432284162552545
flow03,220,3,short_gap_assisted,True,True,,1480525430152.689,1446794538478.6897,-33730891673.999268,-2.2783054574429396,1243848551929.1162,1503300248711.7444,259451696782.62817,20.858785129446666,0.8401399439662689,1.0390557945376755,0.1989158505714066,23.676513895093763
flow10,280,10,short_gap_assisted,True,True,,1361290892737.3357,1413404117904.5112,52113225167.17554,3.8282210984592924,361332226210.1357,436654291457.64575,75322065247.51007,20.845653884108835,0.26543351471598775,0.30893803543251447,0.04350452071652672,16.389987814114694
flow01,255,1,direct_candidate_supported,True,True,,2107182198024.6528,2195669301118.529,88487103093.87622,4.199309541283481,878571361156.6165,1061596099453.6504,183024738297.03394,20.83208563230272,0.4169413361503435,0.4834954421017986,0.06655410595145511,15.96246286490927
