scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho_map_median,rho_map_min,rho_map_max,n_cells,n_positive_cells,n_negative_cells,u_peak,source_bin_peak,tail_bin_peak,tail_depth_peak_um,eta_peak,rho_peak_cell,specificity_at_peak,lag_at_peak_cell,peak_cell_lag_within_pm2,peak_cell_lag_within_pm5,high_positive_cells_available,high_target_count,high_actual_count,u_high_region_median,u_high_region_min,u_high_region_max,u_high_region_lo,u_high_region_hi,tail_high_region_median_um,tail_high_region_min_um,tail_high_region_max_um,tail_high_region_lo_um,tail_high_region_hi_um,eta_high_region_median,eta_high_region_lo,eta_high_region_hi,high_region_median_rho,high_region_median_specificity,high_region_peak_pm2_count,high_region_peak_pm5_count,high_region_positive_specificity_count
D235_F01_V01,235,1,common_grid,normalized,6,detrended_51,mean,0.14594540775435996,-0.24270515986738644,0.24023686146759915,30,24,6,0.91666666666666663,6,1,23.5,0.10000000000000001,0.24023686146759915,0.26791913992416522,0,True,True,24,3,3,0.91666666666666663,0.58333333333333337,0.91666666666666663,0.5,1,23.5,23.5,70.5,0,94,0.10000000000000001,0,0.40000000000000002,0.22650884621439252,0.23571046487037367,1,2,3
D235_F03_V01,235,3,common_grid,absolute,6,detrended_51,mean,0.025842235415601079,-0.1183184704943256,0.22432628374967811,120,75,45,0.58333333333333337,4,1,12.5,0.053191489361702128,0.22432628374967811,0.23951595103379261,0,True,True,75,8,8,0.66666666666666674,0.25,0.91666666666666663,0.16666666666666666,1,50,12.5,137.5,0,150,0.21276595744680851,0,0.63829787234042556,0.21024481468851758,0.21406684114542457,7,8,8
D235_F03_V01,235,3,common_grid,normalized,6,detrended_51,mean,0.11039660091784187,-0.071600429312968505,0.27191345815576468,30,25,5,0.75,5,3,117.5,0.5,0.27191345815576468,0.29304769633692501,0,True,True,25,3,3,0.58333333333333337,0.41666666666666669,0.75,0.33333333333333331,0.83333333333333337,23.5,23.5,117.5,0,141,0.10000000000000001,0,0.59999999999999998,0.23105379667260406,0.25274621611693587,3,3,3
D235_F05_V01,235,5,common_grid,absolute,6,detrended_51,mean,0.024175229032889555,-0.17005689840016766,0.2207322100846392,120,75,45,0.41666666666666669,3,1,12.5,0.053191489361702128,0.2207322100846392,0.21363401729596215,0,True,True,75,8,8,0.75,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,162.5,0,175,0.15957446808510639,0,0.74468085106382975,0.1685246583282374,0.16701620413694743,7,8,8
D235_F05_V01,235,5,common_grid,normalized,6,detrended_51,mean,0.096127164211860516,-0.11265911817603706,0.23651587273674751,30,23,7,0.41666666666666669,3,1,23.5,0.10000000000000001,0.23651587273674751,0.2276255165322647,0,True,True,23,3,3,0.41666666666666669,0.25,0.75,0.16666666666666666,0.83333333333333337,23.5,23.5,70.5,0,94,0.10000000000000001,0,0.40000000000000002,0.21473382855689543,0.20606430490899505,3,3,3
D235_F07_V01,235,7,common_grid,absolute,6,detrended_51,mean,0.040745196909188895,-0.087688706463081273,0.26269586618638679,120,88,32,0.41666666666666669,3,1,12.5,0.053191489361702128,0.26269586618638679,0.23843888568785171,0,True,True,88,9,9,0.41666666666666669,0.25,0.75,0.16666666666666666,0.83333333333333337,62.5,12.5,112.5,0,125,0.26595744680851063,0,0.53191489361702127,0.18275816164235456,0.18716863344859128,6,7,9
D235_F07_V01,235,7,common_grid,normalized,6,detrended_51,mean,0.098453385175060498,-0.090244209407647213,0.24728966503016733,30,27,3,0.41666666666666669,3,2,70.5,0.29999999999999999,0.24728966503016733,0.24532412338978835,0,True,True,27,3,3,0.41666666666666669,0.41666666666666669,0.41666666666666669,0.33333333333333331,0.5,70.5,23.5,117.5,0,141,0.29999999999999999,0,0.59999999999999998,0.23298141832119529,0.23696676067276501,3,3,3
D235_F10_V01,235,10,common_grid,absolute,6,detrended_51,mean,0.033045372510891194,-0.17733856802775036,0.37670050167512942,120,79,41,0.41666666666666669,3,1,12.5,0.053191489361702128,0.37670050167512942,0.28694817773657322,0,True,True,79,8,8,0.58333333333333337,0.25,0.75,0.16666666666666666,0.83333333333333337,25,12.5,62.5,0,75,0.10638297872340426,0,0.31914893617021278,0.2451767240866089,0.19267155356713606,6,7,8
D235_F10_V01,235,10,common_grid,normalized,6,detrended_51,mean,0.12265970990015174,-0.15057934033534157,0.41932214328308931,30,24,6,0.41666666666666669,3,1,23.5,0.10000000000000001,0.41932214328308931,0.34796051441471021,0,True,True,24,3,3,0.58333333333333337,0.41666666666666669,0.75,0.33333333333333331,0.83333333333333337,23.5,23.5,23.5,0,47,0.10000000000000001,0,0.20000000000000001,0.29330660601976871,0.27052589301171626,3,3,3
D285_F01_V01,285,1,common_grid,absolute,6,detrended_51,mean,0.033300548813350178,-0.12548005927089723,0.28889411271493404,120,81,39,0.41666666666666669,3,1,12.5,0.043859649122807015,0.28889411271493404,0.26207961411735198,0,True,True,81,9,9,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,62.5,0,75,0.13157894736842105,0,0.26315789473684209,0.18248821501655188,0.14128072956660168,7,7,9
