scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,control,map_similarity_to_uncontrolled,high_region_jaccard,rho_map_median,rho_map_min,rho_map_max,n_cells,n_positive_cells,n_negative_cells,u_peak,source_bin_peak,tail_bin_peak,tail_depth_peak_um,eta_peak,rho_peak_cell,specificity_at_peak,lag_at_peak_cell,peak_cell_lag_within_pm2,peak_cell_lag_within_pm5,high_positive_cells_available,high_target_count,high_actual_count,u_high_region_median,u_high_region_min,u_high_region_max,u_high_region_lo,u_high_region_hi,tail_high_region_median_um,tail_high_region_min_um,tail_high_region_max_um,tail_high_region_lo_um,tail_high_region_hi_um,eta_high_region_median,eta_high_region_lo,eta_high_region_hi,high_region_median_rho,high_region_median_specificity,high_region_peak_pm2_count,high_region_peak_pm5_count,high_region_positive_specificity_count
D285_F05_V01,285,5,common_grid,normalized,6,detrended_51,mean,area_ztop,0.95906562847608479,0.20000000000000001,0.11134764206786953,-0.11367898822961149,0.21908360925895093,30,23,7,0.41666666666666669,3,3,142.5,0.5,0.21908360925895093,,,,,23,3,3,0.41666666666666669,0.41666666666666669,0.91666666666666663,0.33333333333333331,1,85.5,28.5,142.5,0,171,0.29999999999999999,0,0.59999999999999998,0.19319425989641639,,,,
D285_F07_V01,285,7,common_grid,absolute,6,detrended_51,mean,area_ztop,0.9668171400791723,0.63636363636363635,0.035316119835335016,-0.097596802446800912,0.24368499471716071,120,82,38,0.41666666666666669,3,1,12.5,0.043859649122807015,0.24368499471716071,,,,,82,9,9,0.58333333333333337,0.25,0.91666666666666663,0.16666666666666666,1,87.5,12.5,212.5,0,225,0.30701754385964913,0,0.78947368421052633,0.15421130375111819,,,,
D285_F07_V01,285,7,common_grid,normalized,6,detrended_51,mean,area_ztop,0.98220244716351524,1,0.076569866752693977,-0.076577339925876106,0.25928498951838391,30,23,7,0.41666666666666669,3,1,28.5,0.10000000000000001,0.25928498951838391,,,,,23,3,3,0.41666666666666669,0.41666666666666669,0.58333333333333337,0.33333333333333331,0.66666666666666663,28.5,28.5,199.5,0,228,0.10000000000000001,0,0.80000000000000004,0.22409731872917935,,,,
D285_F10_V01,285,10,common_grid,absolute,6,detrended_51,mean,area_ztop,0.93254392666157382,0.81818181818181823,0.057078786925450556,-0.1060886680024142,0.26290564961715984,120,97,23,0.58333333333333337,4,1,12.5,0.043859649122807015,0.26290564961715984,,,,,97,10,10,0.58333333333333337,0.41666666666666669,0.75,0.33333333333333331,0.83333333333333337,50,12.5,162.5,0,175,0.17543859649122806,0,0.61403508771929827,0.19821194616241555,,,,
D285_F10_V01,285,10,common_grid,normalized,6,detrended_51,mean,area_ztop,0.9012235817575085,0.5,0.094592815342513459,-0.070200030374858932,0.3002791605384772,30,29,1,0.58333333333333337,4,1,28.5,0.10000000000000001,0.3002791605384772,,,,,29,3,3,0.58333333333333337,0.41666666666666669,0.58333333333333337,0.33333333333333331,0.66666666666666663,28.5,28.5,142.5,0,171,0.10000000000000001,0,0.59999999999999998,0.26460874356435832,,,,
D500_F01_V01,500,1,common_grid,absolute,6,detrended_51,mean,area_ztop,0.89885408708938141,0.72727272727272729,0.038151163520782946,-0.062187777958110535,0.17797464850875169,120,94,26,0.91666666666666663,6,2,37.5,0.074999999999999997,0.17797464850875169,,,,,94,10,10,0.5,0.083333333333333329,0.91666666666666663,0,1,112.5,12.5,287.5,0,300,0.22500000000000001,0,0.59999999999999998,0.14571846511424158,,,,
D500_F01_V01,500,1,common_grid,normalized,6,detrended_51,mean,area_ztop,0.86874304783092349,0.5,0.062813176017755462,-0.034172883354035781,0.17408679389488235,30,26,4,0.91666666666666663,6,1,50,0.10000000000000001,0.17408679389488235,,,,,26,3,3,0.75,0.25,0.91666666666666663,0.16666666666666666,1,50,50,50,0,100,0.10000000000000001,0,0.20000000000000001,0.17363385842204471,,,,
D500_F02_V01,500,2,d500_extension,absolute,6,detrended_51,mean,area_ztop,0.8743315508021392,0.33333333333333331,0.042308420106445269,-0.077082361379974193,0.15124596026727519,120,99,21,0.75,5,8,187.5,0.375,0.15124596026727519,,,,,99,10,10,0.66666666666666674,0.083333333333333329,0.91666666666666663,0,1,300,37.5,437.5,25,450,0.59999999999999998,0.050000000000000003,0.90000000000000002,0.1248481005667806,,,,
D500_F02_V01,500,2,d500_extension,normalized,6,detrended_51,mean,area_ztop,0.80244716351501677,0.5,0.063020308478679829,-0.019334290103111329,0.15148301973918024,30,26,4,0.91666666666666663,6,1,50,0.10000000000000001,0.15148301973918024,,,,,26,3,3,0.75,0.41666666666666669,0.91666666666666663,0.33333333333333331,1,150,50,250,0,300,0.29999999999999999,0,0.59999999999999998,0.12259330845997463,,,,
D500_F03_V01,500,3,common_grid,absolute,6,detrended_51,mean,area_ztop,0.9282727967219947,0.5,0.03452601835653156,-0.079820440242638069,0.2168015257440439,120,89,31,0.25,2,1,12.5,0.025000000000000001,0.2168015257440439,,,,,89,9,9,0.25,0.083333333333333329,0.91666666666666663,0,1,162.5,12.5,362.5,0,375,0.32500000000000001,0,0.75,0.12968924834533296,,,,
D500_F03_V01,500,3,common_grid,normalized,6,detrended_51,mean,area_ztop,0.85850945494994457,1,0.051198169369115087,-0.052405525958737167,0.22939192961384464,30,24,6,0.25,2,1,50,0.10000000000000001,0.22939192961384464,,,,,24,3,3,0.25,0.25,0.91666666666666663,0.16666666666666666,1,150,50,250,0,300,0.29999999999999999,0,0.59999999999999998,0.17182671031344915,,,,
D500_F05_V01,500,5,common_grid,absolute,6,detrended_51,mean,area_ztop,0.87297034516285865,0.75,0.0084371535566044632,-0.11906247374701065,0.12534903722043739,120,70,50,0.25,2,3,62.5,0.125,0.12534903722043739,,,,,70,7,7,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,62.5,12.5,212.5,0,225,0.125,0,0.45000000000000001,0.10436356501221457,,,,
D500_F05_V01,500,5,common_grid,normalized,6,detrended_51,mean,area_ztop,0.78687430478309262,0.33333333333333331,0.015908963772673153,-0.10293430857067698,0.16302085422413096,30,19,11,0.25,2,1,50,0.10000000000000001,0.16302085422413096,,,,,19,2,2,0.25,0.25,0.25,0.16666666666666666,0.33333333333333331,100,50,150,0,200,0.20000000000000001,0,0.40000000000000002,0.12899807065076335,,,,
D500_F07_V01,500,7,common_grid,absolute,6,detrended_51,mean,area_ztop,0.89581220918119331,0.36363636363636365,0.022825206977686016,-0.12058467225199133,0.13471682316872288,120,75,45,0.25,2,19,462.5,0.92500000000000004,0.13471682316872288,,,,,75,8,8,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,350,37.5,462.5,25,475,0.69999999999999996,0.050000000000000003,0.94999999999999996,0.11207427807803794,,,,
