source_bin,tail_bin,u_lo,u_hi,u_mid,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid,scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho,n_pairs,rho_peak,lag_at_peak,n_pairs_lag0,zero_lag_rank,peak_within_pm2,peak_within_pm5,rho_remote_median,zero_lag_specificity,high_region_target_count
3,1,0.33333333333333331,0.5,0.41666666666666669,0,25,12.5,0,0.1953125,0.09765625,D128_F10_V01,128,10,common_grid,absolute,6,detrended_51,mean,0.26291050047972703,484,0.26291050047972703,0,484,1,True,True,0.017065852456006766,0.24584464802372025,11
4,8,0.5,0.66666666666666663,0.58333333333333337,175,200,187.5,1.3671875,1.5625,1.46484375,D128_F10_V01,128,10,common_grid,absolute,6,detrended_51,mean,0.24450582918061814,484,0.24450582918061814,0,484,1,True,True,-0.0068481916853723119,0.25135402086599046,11
6,1,0.83333333333333337,1,0.91666666666666663,0,25,12.5,0,0.1953125,0.09765625,D128_F10_V01,128,10,common_grid,absolute,6,detrended_51,mean,0.2358217035382402,484,0.2358217035382402,0,484,1,True,True,-0.0137456727965263,0.2495673763347665,11
2,2,0.16666666666666666,0.33333333333333331,0.25,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F10_V01,128,10,common_grid,absolute,6,detrended_51,mean,0.23041219126647913,484,0.23041219126647913,0,484,1,True,True,0.0014738706630307678,0.22893832060344838,11
2,3,0.16666666666666666,0.33333333333333331,0.25,50,75,62.5,0.390625,0.5859375,0.48828125,D128_F10_V01,128,10,common_grid,absolute,6,detrended_51,mean,0.22572858878061891,484,0.22572858878061891,0,484,1,True,True,0.0033334024331979502,0.22239518634742095,11
6,8,0.83333333333333337,1,0.91666666666666663,175,200,187.5,1.3671875,1.5625,1.46484375,D128_F10_V01,128,10,common_grid,absolute,6,detrended_51,mean,0.22516705518761454,484,0.22516705518761454,0,484,1,True,True,0.0042514030976051028,0.22091565209000943,11
6,7,0.83333333333333337,1,0.91666666666666663,150,175,162.5,1.171875,1.3671875,1.26953125,D128_F10_V01,128,10,common_grid,absolute,6,detrended_51,mean,0.21524370148817196,484,0.21524370148817196,0,484,1,True,True,0.0045334009590341602,0.21071030052913781,11
3,7,0.33333333333333331,0.5,0.41666666666666669,150,175,162.5,1.171875,1.3671875,1.26953125,D128_F10_V01,128,10,common_grid,absolute,6,detrended_51,mean,0.21198304370279844,484,0.21198304370279844,0,484,1,True,True,-0.0092792854884650531,0.22126232919126348,11
3,2,0.33333333333333331,0.5,0.41666666666666669,25.600000000000001,51.200000000000003,38.400000000000006,0.20000000000000001,0.40000000000000002,0.30000000000000004,D128_F10_V01,128,10,common_grid,normalized,6,detrended_51,mean,0.29717468045152801,484,0.29717468045152801,0,484,1,True,True,-0.0081899324096945513,0.30536461286122257,3
2,1,0.16666666666666666,0.33333333333333331,0.25,0,25.600000000000001,12.800000000000001,0,0.20000000000000001,0.10000000000000001,D128_F10_V01,128,10,common_grid,normalized,6,detrended_51,mean,0.2893694115144369,484,0.2893694115144369,0,484,1,True,True,0.0032090527994805217,0.28616035871495638,3
4,2,0.5,0.66666666666666663,0.58333333333333337,25.600000000000001,51.200000000000003,38.400000000000006,0.20000000000000001,0.40000000000000002,0.30000000000000004,D128_F10_V01,128,10,common_grid,normalized,6,detrended_51,mean,0.26475848785012868,484,0.26475848785012868,0,484,1,True,True,-0.024332948258592186,0.28909143610872085,3
4,1,0.5,0.66666666666666663,0.58333333333333337,0,25,12.5,0,0.10638297872340426,0.053191489361702128,D235_F01_V01,235,1,common_grid,absolute,6,detrended_51,mean,0.23213723931165803,448,0.23213723931165803,0,448,1,True,True,0.0035342550633887422,0.22860298424826928,8
6,1,0.83333333333333337,1,0.91666666666666663,0,25,12.5,0,0.10638297872340426,0.053191489361702128,D235_F01_V01,235,1,common_grid,absolute,6,detrended_51,mean,0.23125614103030182,448,0.23125614103030182,0,448,1,True,True,-0.013243504970677208,0.24449964600097901,8
5,5,0.66666666666666663,0.83333333333333337,0.75,100,125,112.5,0.42553191489361702,0.53191489361702127,0.47872340425531917,D235_F01_V01,235,1,common_grid,absolute,6,detrended_51,mean,0.22847445636360858,448,0.22847445636360858,0,448,1,True,True,-0.019445380624775924,0.24791983698838449,8
3,1,0.33333333333333331,0.5,0.41666666666666669,0,25,12.5,0,0.10638297872340426,0.053191489361702128,D235_F01_V01,235,1,common_grid,absolute,6,detrended_51,mean,0.22752675641155518,448,0.22752675641155518,0,448,1,True,True,0.020608701619907445,0.20691805479164774,8
6,4,0.83333333333333337,1,0.91666666666666663,75,100,87.5,0.31914893617021278,0.42553191489361702,0.37234042553191488,D235_F01_V01,235,1,common_grid,absolute,6,detrended_51,mean,0.21403248162604385,448,0.21403248162604385,0,448,1,True,True,0.0051202522958945455,0.2089122293301493,8
5,1,0.66666666666666663,0.83333333333333337,0.75,0,25,12.5,0,0.10638297872340426,0.053191489361702128,D235_F01_V01,235,1,common_grid,absolute,6,detrended_51,mean,0.19720098597550251,448,0.24599859532532897,-1,448,4,True,True,-0.021054858043714451,0.21825584401921697,8
5,4,0.66666666666666663,0.83333333333333337,0.75,75,100,87.5,0.31914893617021278,0.42553191489361702,0.37234042553191488,D235_F01_V01,235,1,common_grid,absolute,6,detrended_51,mean,0.19372691104549764,448,0.23664924326946132,-3,448,5,False,True,-0.015285722314085679,0.20901263335958331,8
6,3,0.83333333333333337,1,0.91666666666666663,50,75,62.5,0.21276595744680851,0.31914893617021278,0.26595744680851063,D235_F01_V01,235,1,common_grid,absolute,6,detrended_51,mean,0.18396652273835884,448,0.23658949798679219,3,448,3,False,True,-0.015230655106166682,0.19919717784452551,8
