diameter_um,coordinate,source_bins,mode,metric,source_bin,tail_bin,u_lo,u_hi,u_mid,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid,rho,rho_min,rho_max,number_positive,n_volumes,positive_5_of_5,positive_at_least_4_of_5,flow_rho_values_json,zero_lag_specificity,specificity_min,specificity_max,number_positive_specificity,number_peak_within_pm2,number_peak_within_pm5,high_region_target_count
285,absolute,6,detrended_51,mean,3,3,0.33333333333333331,0.5,0.41666666666666669,50,75,62.5,0.17543859649122806,0.26315789473684209,0.21929824561403508,0.15091373000177435,0.090628276668960145,0.16253916204372265,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.16253916204372265}, {""flow_mm_s"": 3.0, ""rho"": 0.10595023046020137}, {""flow_mm_s"": 5.0, ""rho"": 0.15824085006667166}, {""flow_mm_s"": 7.0, ""rho"": 0.09062827666896014}, {""flow_mm_s"": 10.0, ""rho"": 0.15091373000177435}]",0.12045602440197942,0.059470231807959816,0.1643402628427923,5,3,4,10
285,absolute,6,detrended_51,mean,6,1,0.83333333333333337,1,0.91666666666666663,0,25,12.5,0,0.08771929824561403,0.043859649122807015,0.15070366008660083,0.12395527657903121,0.18565794539022581,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.15070366008660083}, {""flow_mm_s"": 3.0, ""rho"": 0.12649096302385898}, {""flow_mm_s"": 5.0, ""rho"": 0.12395527657903121}, {""flow_mm_s"": 7.0, ""rho"": 0.18565794539022581}, {""flow_mm_s"": 10.0, ""rho"": 0.1832991321377401}]",0.13823190412885369,0.10161096817533372,0.19290003593241267,5,4,4,10
285,absolute,6,detrended_51,mean,3,2,0.33333333333333331,0.5,0.41666666666666669,25,50,37.5,0.08771929824561403,0.17543859649122806,0.13157894736842105,0.14985637843332095,0.13315147434069399,0.27773187397371152,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.21706427551482693}, {""flow_mm_s"": 3.0, ""rho"": 0.1360258689657028}, {""flow_mm_s"": 5.0, ""rho"": 0.133151474340694}, {""flow_mm_s"": 7.0, ""rho"": 0.14985637843332095}, {""flow_mm_s"": 10.0, ""rho"": 0.2777318739737115}]",0.14643792088271049,0.10481455670192456,0.28245163704537923,5,3,3,10
285,absolute,6,detrended_51,mean,4,3,0.5,0.66666666666666663,0.58333333333333337,50,75,62.5,0.17543859649122806,0.26315789473684209,0.21929824561403508,0.14507199095915763,0.02092457194741466,0.20653480883899872,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.15436348889095464}, {""flow_mm_s"": 3.0, ""rho"": 0.02092457194741466}, {""flow_mm_s"": 5.0, ""rho"": 0.14507199095915763}, {""flow_mm_s"": 7.0, ""rho"": 0.12290756131760641}, {""flow_mm_s"": 10.0, ""rho"": 0.20653480883899872}]",0.10787544370760772,0.032185252913431363,0.20514319879946741,5,3,3,10
285,absolute,6,detrended_51,mean,4,4,0.5,0.66666666666666663,0.58333333333333337,75,100,87.5,0.26315789473684209,0.35087719298245612,0.30701754385964913,0.14036385355617947,0.071429854320927494,0.16686283891944084,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.14125079405987626}, {""flow_mm_s"": 3.0, ""rho"": 0.11647070009178265}, {""flow_mm_s"": 5.0, ""rho"": 0.0714298543209275}, {""flow_mm_s"": 7.0, ""rho"": 0.16686283891944084}, {""flow_mm_s"": 10.0, ""rho"": 0.14036385355617947}]",0.12482727810044872,0.037185557372104328,0.14267790731195751,5,2,2,10
285,absolute,6,detrended_51,mean,5,2,0.66666666666666663,0.83333333333333337,0.75,25,50,37.5,0.08771929824561403,0.17543859649122806,0.13157894736842105,0.1313303348803232,0.061676552352977615,0.24522000971575877,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.11507619201371061}, {""flow_mm_s"": 3.0, ""rho"": 0.1313303348803232}, {""flow_mm_s"": 5.0, ""rho"": 0.1611999731977908}, {""flow_mm_s"": 7.0, ""rho"": 0.061676552352977615}, {""flow_mm_s"": 10.0, ""rho"": 0.24522000971575877}]",0.14352050597302171,0.061387386080529162,0.23694039130596539,5,5,5,10
285,normalized,6,detrended_51,mean,3,1,0.33333333333333331,0.5,0.41666666666666669,0,57,28.5,0,0.20000000000000001,0.10000000000000001,0.2841228989512864,0.16298978316700172,0.3511056380640194,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.3325562139992361}, {""flow_mm_s"": 3.0, ""rho"": 0.16298978316700172}, {""flow_mm_s"": 5.0, ""rho"": 0.2221363737441528}, {""flow_mm_s"": 7.0, ""rho"": 0.2841228989512864}, {""flow_mm_s"": 10.0, ""rho"": 0.3511056380640194}]",0.26330009959006628,0.19026910197932542,0.35125988952005816,5,5,5,3
285,normalized,6,detrended_51,mean,4,1,0.5,0.66666666666666663,0.58333333333333337,0,57,28.5,0,0.20000000000000001,0.10000000000000001,0.23384479504282979,0.14844521388977519,0.38183124176711902,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.30464084823285825}, {""flow_mm_s"": 3.0, ""rho"": 0.1484452138897752}, {""flow_mm_s"": 5.0, ""rho"": 0.20548296592470416}, {""flow_mm_s"": 7.0, ""rho"": 0.2338447950428298}, {""flow_mm_s"": 10.0, ""rho"": 0.381831241767119}]",0.20714007403836415,0.17372878917659298,0.36396443209711199,5,4,5,3
285,normalized,6,detrended_51,mean,4,2,0.5,0.66666666666666663,0.58333333333333337,57,114,85.5,0.20000000000000001,0.40000000000000002,0.29999999999999999,0.18677669598890267,0.093470007798267557,0.19840882695408318,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.19277554180725576}, {""flow_mm_s"": 3.0, ""rho"": 0.09347000779826756}, {""flow_mm_s"": 5.0, ""rho"": 0.1716122525763448}, {""flow_mm_s"": 7.0, ""rho"": 0.18677669598890267}, {""flow_mm_s"": 10.0, ""rho"": 0.19840882695408318}]",0.12951354065430123,0.089206322623102297,0.18800592607185715,5,4,5,3
500,absolute,6,detrended_51,mean,2,1,0.16666666666666666,0.33333333333333331,0.25,0,25,12.5,0,0.050000000000000003,0.025000000000000001,0.12816249886746539,0.036579510439850381,0.20987300687381044,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.1281624988674654}, {""flow_mm_s"": 3.0, ""rho"": 0.20987300687381044}, {""flow_mm_s"": 5.0, ""rho"": 0.1011805558164639}, {""flow_mm_s"": 7.0, ""rho"": 0.03657951043985038}, {""flow_mm_s"": 10.0, ""rho"": 0.1978579632524661}]",0.13617632734277532,0.049010497917949647,0.209714686013733,5,2,3,8
500,absolute,6,detrended_51,mean,2,3,0.16666666666666666,0.33333333333333331,0.25,50,75,62.5,0.10000000000000001,0.14999999999999999,0.125,0.10973060014206137,-0.014507259739175007,0.13694931255054132,4,5,False,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.04394536996903506}, {""flow_mm_s"": 3.0, ""rho"": 0.10973060014206137}, {""flow_mm_s"": 5.0, ""rho"": 0.13694931255054132}, {""flow_mm_s"": 7.0, ""rho"": -0.014507259739175007}, {""flow_mm_s"": 10.0, ""rho"": 0.12472481311660535}]",0.1188105277604055,-0.018136039091798145,0.13289985504206189,4,3,3,8
500,absolute,6,detrended_51,mean,3,1,0.33333333333333331,0.5,0.41666666666666669,0,25,12.5,0,0.050000000000000003,0.025000000000000001,0.10091557194283825,0.029598301336431935,0.10505190338248035,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.10091557194283825}, {""flow_mm_s"": 3.0, ""rho"": 0.029598301336431935}, {""flow_mm_s"": 5.0, ""rho"": 0.10258394631467416}, {""flow_mm_s"": 7.0, ""rho"": 0.030747136770743373}, {""flow_mm_s"": 10.0, ""rho"": 0.10505190338248035}]",0.077369273637185737,0.0076662025580716726,0.11129804248338278,5,1,2,8
