scan_id,frame_id,variant,q_vessel,q_tail,ratio_tail_to_vessel,q_tail_direct_check,source_area_um2,tail_area_um2,requested_tail_area_um2,source_mean,tail_window_complete,source_window_complete,source_qc_valid,background_complete,background_excluded_side,valid,invalid_reason,tail_gap_um,requested_tail_length_um,lateral_width_um,x_left_edge_px,x_right_edge_px,z_top_edge_px,diameter_um,dx_um,dz_um,z_bottom_edge_px
flow05,flow05_Bscan499,x_minus_1px,1858697679622.1812,1106534492264.8958,0.5953278493842107,1106534492264.896,19151.5652734375,95249.99999999999,95250.0,97051998.261475,True,True,True,True,,True,ok,0.0,500.0,190.5,239.33388660785567,254.33388660785567,193.5,128.0,12.7,6.7,212.6044776119403
flow05,flow05_Bscan499,x_plus_1px,1883060166357.8767,1266253618468.991,0.672444588384086,1266253618468.991,19151.5652734375,95249.99999999999,95250.0,98324086.80295235,True,True,True,True,,True,ok,0.0,500.0,190.5,241.33388660785567,256.3338866078557,193.5,128.0,12.7,6.7,212.6044776119403
flow05,flow05_Bscan499,z_minus_1px,1839154859979.596,1266735437708.7979,0.6887595304089028,1266735437708.798,19151.5652734375,95249.99999999999,95250.0,96031568.89376737,True,True,True,True,,True,ok,0.0,500.0,190.5,240.33388660785567,255.33388660785567,192.5,128.0,12.7,6.7,211.6044776119403
flow05,flow05_Bscan499,z_plus_1px,1933661302472.657,1185615675736.881,0.6131454739363004,1185615675736.8813,19151.5652734375,95249.99999999999,95250.0,100966227.81818113,True,True,True,True,,True,ok,0.0,500.0,190.5,240.33388660785567,255.33388660785567,194.5,128.0,12.7,6.7,213.6044776119403
flow05,flow05_Bscan499,background_skip_plus_2px,1868251962495.99,1159917669468.7056,0.6208571931159929,1159917669468.7056,19151.5652734375,95249.99999999999,95250.0,97550875.65021044,True,True,True,True,,True,ok,0.0,500.0,190.5,240.33388660785567,255.33388660785567,193.5,128.0,12.7,6.7,212.6044776119403
flow07,flow07_Bscan000,x_minus_1px,2152416043782.522,1353064259780.3716,0.6286258010800647,1353064259780.3713,19151.232890625,95249.99999999999,95250.0,112390468.85781346,True,True,True,True,,True,ok,0.0,500.0,190.5,221.5408017264596,236.5408017264596,213.5,128.0,12.7,6.7,232.6044776119403
flow07,flow07_Bscan000,x_plus_1px,2098831456333.3674,1450004642959.0535,0.6908628315930587,1450004642959.0535,19151.232890625,95249.99999999999,95250.0,109592498.21251963,True,True,True,True,,True,ok,0.0,500.0,190.5,223.5408017264596,238.5408017264596,213.5,128.0,12.7,6.7,232.6044776119403
flow07,flow07_Bscan000,z_minus_1px,1972843161035.753,1493200985091.6113,0.7568776953904806,1493200985091.6113,19151.232890625,95249.99999999999,95250.0,103013898.49431095,True,True,True,True,,True,ok,0.0,500.0,190.5,222.5408017264596,237.5408017264596,212.5,128.0,12.7,6.7,231.6044776119403
flow07,flow07_Bscan000,z_plus_1px,2198990334837.02,1369251679475.2605,0.622672895730005,1369251679475.2607,19151.232890625,95249.99999999999,95250.0,114822390.15084402,True,True,True,True,,True,ok,0.0,500.0,190.5,222.5408017264596,237.5408017264596,214.5,128.0,12.7,6.7,233.6044776119403
flow07,flow07_Bscan000,background_skip_plus_2px,2062051342845.484,1516277441035.6694,0.7353247756398319,1516277441035.67,19151.232890625,95249.99999999999,95250.0,107671989.29813594,True,True,True,True,,True,ok,0.0,500.0,190.5,222.5408017264596,237.5408017264596,213.5,128.0,12.7,6.7,232.6044776119403
flow07,flow07_Bscan249,x_minus_1px,1269521205428.5107,925987688463.0476,0.7293991502493196,925987688463.0476,12763.1676171875,63499.99999999999,63500.0,99467565.0673828,True,True,True,True,,True,ok,0.0,500.0,127.0,232.0308455725761,242.0308455725761,198.5,128.0,12.7,6.7,217.6044776119403
flow07,flow07_Bscan249,x_plus_1px,1401821205754.1797,965587050511.9601,0.6888089911526729,965587050511.9603,12763.1676171875,63499.99999999999,63500.0,109833330.39256017,True,True,True,True,,True,ok,0.0,500.0,127.0,234.0308455725761,244.0308455725761,198.5,128.0,12.7,6.7,217.6044776119403
flow07,flow07_Bscan249,z_minus_1px,1236785765533.3643,1128457811551.06,0.9124117070222039,1128457811551.0603,12763.1676171875,63499.99999999999,63500.0,96902728.43144742,True,True,True,True,,True,ok,0.0,500.0,127.0,233.0308455725761,243.0308455725761,197.5,128.0,12.7,6.7,216.6044776119403
flow07,flow07_Bscan249,z_plus_1px,1466687554652.706,956246807519.8123,0.6519771743384295,956246807519.8123,12763.1676171875,63499.99999999999,63500.0,114915638.39352806,True,True,True,True,,True,ok,0.0,500.0,127.0,233.0308455725761,243.0308455725761,199.5,128.0,12.7,6.7,218.6044776119403
flow07,flow07_Bscan249,background_skip_plus_2px,1412394206997.7146,1047074592936.9999,0.7413472724181841,1047074592936.9999,12763.1676171875,63499.99999999999,63500.0,110661729.858951,True,True,True,True,,True,ok,0.0,500.0,127.0,233.0308455725761,243.0308455725761,198.5,128.0,12.7,6.7,217.6044776119403
