pair,support,algorithm,flow_mm_s,metric,from_diameter_um,to_diameter_um,percent_change,reason
SV-A_vs_OMAG-A,native,OMAG-A,7,raw_AUC_200,128,285,-45.6507020403154,ok
SV-A_vs_OMAG-A,common,SV-A,7,raw_AUC_200,128,235,-72.83663197598685,ok
SV-A_vs_OMAG-A,common,OMAG-A,7,raw_AUC_200,128,235,-39.23309732067914,ok
SV-A_vs_OMAG-A,common,SV-A,7,raw_AUC_200,235,285,-24.03231871293231,ok
SV-A_vs_OMAG-A,common,OMAG-A,7,raw_AUC_200,235,285,-10.561019957695141,ok
SV-A_vs_OMAG-A,common,SV-A,7,raw_AUC_200,128,285,-79.36461915268444,ok
SV-A_vs_OMAG-A,common,OMAG-A,7,raw_AUC_200,128,285,-45.6507020403154,ok
SV-A_vs_OMAG-A,native,SV-A,7,vessel_core_P95,128,235,127.40894999482477,ok
SV-A_vs_OMAG-A,native,OMAG-A,7,vessel_core_P95,128,235,63.45174447630752,ok
SV-A_vs_OMAG-A,native,SV-A,7,vessel_core_P95,235,285,-2.890697829076217,ok
SV-A_vs_OMAG-A,native,OMAG-A,7,vessel_core_P95,235,285,4.479995203735247,ok
SV-A_vs_OMAG-A,native,SV-A,7,vessel_core_P95,128,285,120.83524441419934,ok
SV-A_vs_OMAG-A,native,OMAG-A,7,vessel_core_P95,128,285,70.77437478926768,ok
SV-A_vs_OMAG-A,common,SV-A,7,vessel_core_P95,128,235,127.40894999482477,ok
SV-A_vs_OMAG-A,common,OMAG-A,7,vessel_core_P95,128,235,63.45174447630752,ok
SV-A_vs_OMAG-A,common,SV-A,7,vessel_core_P95,235,285,-2.890697829076217,ok
SV-A_vs_OMAG-A,common,OMAG-A,7,vessel_core_P95,235,285,4.479995203735247,ok
SV-A_vs_OMAG-A,common,SV-A,7,vessel_core_P95,128,285,120.83524441419934,ok
SV-A_vs_OMAG-A,common,OMAG-A,7,vessel_core_P95,128,285,70.77437478926768,ok
SV-A_vs_OMAG-A,native,SV-A,10,normalized_AUC_um,128,235,-76.60516028262941,ok
SV-A_vs_OMAG-A,native,OMAG-A,10,normalized_AUC_um,128,235,-54.171304065236974,ok
SV-A_vs_OMAG-A,native,SV-A,10,normalized_AUC_um,235,285,-26.265392077101964,ok
SV-A_vs_OMAG-A,native,OMAG-A,10,normalized_AUC_um,235,285,-8.240725683670139,ok
SV-A_vs_OMAG-A,native,SV-A,10,normalized_AUC_um,128,285,-82.74990666020636,ok
SV-A_vs_OMAG-A,native,OMAG-A,10,normalized_AUC_um,128,285,-57.94792118162408,ok
SV-A_vs_OMAG-A,common,SV-A,10,normalized_AUC_um,128,235,-76.60516028262941,ok
SV-A_vs_OMAG-A,common,OMAG-A,10,normalized_AUC_um,128,235,-54.171304065236974,ok
SV-A_vs_OMAG-A,common,SV-A,10,normalized_AUC_um,235,285,-26.265392077101964,ok
SV-A_vs_OMAG-A,common,OMAG-A,10,normalized_AUC_um,235,285,-8.240725683670139,ok
SV-A_vs_OMAG-A,common,SV-A,10,normalized_AUC_um,128,285,-82.74990666020636,ok
SV-A_vs_OMAG-A,common,OMAG-A,10,normalized_AUC_um,128,285,-57.94792118162408,ok
SV-A_vs_OMAG-A,native,SV-A,10,raw_AUC_200,128,235,-69.97077320115606,ok
SV-A_vs_OMAG-A,native,OMAG-A,10,raw_AUC_200,128,235,-41.247361130982696,ok
SV-A_vs_OMAG-A,native,SV-A,10,raw_AUC_200,235,285,-24.440854242262812,ok
SV-A_vs_OMAG-A,native,OMAG-A,10,raw_AUC_200,235,285,-5.6048138232143385,ok
SV-A_vs_OMAG-A,native,SV-A,10,raw_AUC_200,128,285,-77.31017275314002,ok
SV-A_vs_OMAG-A,native,OMAG-A,10,raw_AUC_200,128,285,-44.54033715581657,ok
SV-A_vs_OMAG-A,common,SV-A,10,raw_AUC_200,128,235,-69.97077320115606,ok
SV-A_vs_OMAG-A,common,OMAG-A,10,raw_AUC_200,128,235,-41.247361130982696,ok
SV-A_vs_OMAG-A,common,SV-A,10,raw_AUC_200,235,285,-24.440854242262812,ok
SV-A_vs_OMAG-A,common,OMAG-A,10,raw_AUC_200,235,285,-5.6048138232143385,ok
SV-A_vs_OMAG-A,common,SV-A,10,raw_AUC_200,128,285,-77.31017275314002,ok
SV-A_vs_OMAG-A,common,OMAG-A,10,raw_AUC_200,128,285,-44.54033715581657,ok
SV-A_vs_OMAG-A,native,SV-A,10,vessel_core_P95,128,235,32.27012946216384,ok
SV-A_vs_OMAG-A,native,OMAG-A,10,vessel_core_P95,128,235,30.893909478432654,ok
SV-A_vs_OMAG-A,native,SV-A,10,vessel_core_P95,235,285,-0.4675337305765465,ok
SV-A_vs_OMAG-A,native,OMAG-A,10,vessel_core_P95,235,285,2.3349210501804776,ok
SV-A_vs_OMAG-A,native,SV-A,10,vessel_core_P95,128,285,31.65172199145095,ok
SV-A_vs_OMAG-A,native,OMAG-A,10,vessel_core_P95,128,285,33.95017892424876,ok
SV-A_vs_OMAG-A,common,SV-A,10,vessel_core_P95,128,235,32.27012946216384,ok
SV-A_vs_OMAG-A,common,OMAG-A,10,vessel_core_P95,128,235,30.893909478432654,ok
SV-A_vs_OMAG-A,common,SV-A,10,vessel_core_P95,235,285,-0.4675337305765465,ok
SV-A_vs_OMAG-A,common,OMAG-A,10,vessel_core_P95,235,285,2.3349210501804776,ok
SV-A_vs_OMAG-A,common,SV-A,10,vessel_core_P95,128,285,31.65172199145095,ok
SV-A_vs_OMAG-A,common,OMAG-A,10,vessel_core_P95,128,285,33.95017892424876,ok
SV-B_vs_OMAG-B,native,SV-B,1,normalized_AUC_um,128,235,-73.04943690952862,ok
SV-B_vs_OMAG-B,native,OMAG-B,1,normalized_AUC_um,128,235,-48.612862300600916,ok
SV-B_vs_OMAG-B,native,SV-B,1,normalized_AUC_um,235,285,-30.205308252633486,ok
SV-B_vs_OMAG-B,native,OMAG-B,1,normalized_AUC_um,235,285,-13.865404054409266,ok
SV-B_vs_OMAG-B,native,SV-B,1,normalized_AUC_um,128,285,-81.18993756682598,ok
SV-B_vs_OMAG-B,native,OMAG-B,1,normalized_AUC_um,128,285,-55.73789657461827,ok
SV-B_vs_OMAG-B,common,SV-B,1,normalized_AUC_um,128,235,-73.04943690952862,ok
SV-B_vs_OMAG-B,common,OMAG-B,1,normalized_AUC_um,128,235,-48.612862300600916,ok
SV-B_vs_OMAG-B,common,SV-B,1,normalized_AUC_um,235,285,-30.205308252633486,ok
SV-B_vs_OMAG-B,common,OMAG-B,1,normalized_AUC_um,235,285,-13.865404054409266,ok
SV-B_vs_OMAG-B,common,SV-B,1,normalized_AUC_um,128,285,-81.18993756682598,ok
SV-B_vs_OMAG-B,common,OMAG-B,1,normalized_AUC_um,128,285,-55.73789657461827,ok
SV-B_vs_OMAG-B,native,SV-B,1,raw_AUC_200,128,235,-70.63775166083548,ok
SV-B_vs_OMAG-B,native,OMAG-B,1,raw_AUC_200,128,235,-39.46527710626329,ok
SV-B_vs_OMAG-B,native,SV-B,1,raw_AUC_200,235,285,-20.255037720510227,ok
SV-B_vs_OMAG-B,native,OMAG-B,1,raw_AUC_200,235,285,-1.4052490823710106,ok
SV-B_vs_OMAG-B,native,SV-B,1,raw_AUC_200,128,285,-76.58508613752313,ok
SV-B_vs_OMAG-B,native,OMAG-B,1,raw_AUC_200,128,285,-40.315940744243356,ok
SV-B_vs_OMAG-B,common,SV-B,1,raw_AUC_200,128,235,-70.63775166083548,ok
SV-B_vs_OMAG-B,common,OMAG-B,1,raw_AUC_200,128,235,-39.46527710626329,ok
SV-B_vs_OMAG-B,common,SV-B,1,raw_AUC_200,235,285,-20.255037720510227,ok
SV-B_vs_OMAG-B,common,OMAG-B,1,raw_AUC_200,235,285,-1.4052490823710106,ok
SV-B_vs_OMAG-B,common,SV-B,1,raw_AUC_200,128,285,-76.58508613752313,ok
SV-B_vs_OMAG-B,common,OMAG-B,1,raw_AUC_200,128,285,-40.315940744243356,ok
SV-B_vs_OMAG-B,native,SV-B,1,vessel_core_P95,128,235,9.261742002762073,ok
SV-B_vs_OMAG-B,native,OMAG-B,1,vessel_core_P95,128,235,18.228919129018305,ok
SV-B_vs_OMAG-B,native,SV-B,1,vessel_core_P95,235,285,15.001988004166893,ok
SV-B_vs_OMAG-B,native,OMAG-B,1,vessel_core_P95,235,285,11.607164702340663,ok
SV-B_vs_OMAG-B,native,SV-B,1,vessel_core_P95,128,285,25.65317543116022,ok
