subset,scan_id,diameter_um,flow_mm_s,n_frames,upper_mean_raw_q1,upper_mean_raw_median,upper_mean_raw_q3,upper_q_fraction_median,middle_mean_raw_q1,middle_mean_raw_median,middle_mean_raw_q3,middle_q_fraction_median,lower_mean_raw_q1,lower_mean_raw_median,lower_mean_raw_q3,lower_q_fraction_median,source_mean_raw_median,lower_to_upper_mean_ratio_median
direct_only,D500_F03_V01,500,3,440,185413518.38581124,217547486.15766716,261398708.9647423,0.61842727960349508,58382896.113172315,62894009.993515164,68681427.069414169,0.2560455730694009,40873756.48440405,43104628.035567984,45234562.421781778,0.12299455194439492,101856867.2817097,0.19817420734225563
direct_only,D500_F05_V01,500,5,381,181372527.972004,201339688.86071938,234129020.08569199,0.58556667767434956,63202018.273369774,67994454.573184609,73238756.833255395,0.28076757560429377,43917700.861614771,46107210.636770174,48077827.240610979,0.13135074271069286,100634697.69948415,0.22634405449583861
direct_only,D500_F07_V01,500,7,400,184344758.65982264,207850544.48347479,240162818.68591601,0.58765681502251654,64437717.685316637,69120499.419240311,75172551.799259156,0.27878786277515621,44136848.381548129,46380371.606441766,48999594.697204784,0.13118790861539392,103351577.56596303,0.22156617687794622
direct_only,D500_F09_V01,500,9,401,181275220.00342143,201107996.07365274,237192747.08360246,0.58253070575570043,64102631.146403834,69128604.101095825,74785222.175744504,0.28154308771746733,43986027.950824916,46006706.714070477,48689961.42495276,0.1317751305609903,101194784.61417244,0.22789132440518808
direct_only,D500_F10_V01,500,10,424,181114257.48083493,204677266.4570359,235551902.95936805,0.58233349284172742,64932557.864848681,69807427.266514689,76261572.95689027,0.28451274167641682,44193007.381860077,46536461.569235757,48712236.989020884,0.13204845069963128,102323136.05469736,0.22681799900220195
direct_only,D500_F12_V01,500,12,422,181648922.30128604,206197217.16202322,241419011.24127385,0.58257576779872777,65167085.448711239,70193474.935461164,76667382.578239053,0.28421771085776282,44370413.657765739,46785268.559100747,48753882.120117299,0.13066247820931595,103167161.08568615,0.22492998945183973
central_geometry,D285_F01_V01,285,1,323,293800303.75385594,324640356.85740465,361704648.329023,0.52061705464041952,142032570.90216142,155405582.02173847,171997600.0248501,0.35706629288023267,74285464.553105488,78677454.155092523,84072478.559756726,0.12474680164340581,182413850.5934684,0.24414423567318957
central_geometry,D285_F03_V01,285,3,374,293613887.71570021,333936104.28348017,377698915.84772956,0.52687077295369833,140617771.57396746,154395063.36730954,167970863.61324209,0.3468810386755713,74658917.083543554,79523791.199728787,84538012.34363851,0.12555876730444604,185323000.39152357,0.23875978126692182
central_geometry,D285_F05_V01,285,5,372,300843021.68526983,338842819.36791646,385989496.80388129,0.52553178907942799,146437654.22213686,159300960.10701701,174476274.44106203,0.35132280205930899,74417405.13523367,80469934.703263849,86772996.392505974,0.12244174431882783,188114978.68459511,0.23575942332406924
central_geometry,D285_F07_V01,285,7,321,317053440.45605212,364956583.35989559,402052288.99046642,0.54802684643575472,133887800.453969,149195559.66034985,169242811.2725578,0.32958010915949909,72450427.926278904,79094140.939626083,85627242.408228174,0.11989137777766712,191827247.825216,0.21851250241664072
central_geometry,D285_F10_V01,285,10,398,286251126.48286229,321935450.6594404,361805224.06359214,0.52409892321092699,136610631.27631691,148993083.39960438,164710982.63645253,0.34711231959574429,71844975.363366559,76819305.024112582,82193699.256800205,0.12581486041859599,179673194.3132475,0.23811493180212881
central_geometry,D500_F01_V01,500,1,368,188156303.14814311,217489749.41646314,251599181.51608163,0.61932686657339664,59087505.611429021,63310651.51976487,68350873.191521063,0.25720621874301108,41388388.231889665,43088194.910620317,45178671.406821191,0.12360575190929898,102063537.81503183,0.19889863983547157
central_geometry,D500_F02_V01,500,2,356,189547425.36522299,217474096.21610868,252476228.10377604,0.62126977069889933,58667277.97266183,62681038.242122471,68119787.85731791,0.25629586615693412,41726011.863637529,43331936.540117465,45069796.829970732,0.12392867587942825,102345697.32327577,0.20022867643898018
central_geometry,D500_F03_V01,500,3,362,189596985.15413323,217078323.74945676,254319610.30142245,0.61902736388862345,58555334.075154103,62519531.076266997,67784357.506720364,0.25552372499248371,41018745.610273033,42928792.505012251,45019253.899975851,0.12310545688827022,101927326.62381682,0.19779544209910921
central_geometry,D500_F05_V01,500,5,361,184059555.92046329,203247105.61202458,230344974.36693794,0.58982732805358717,63905884.180680163,68265578.767274931,73101300.948668018,0.27940178972083352,44030676.533076279,46217083.360187009,47863657.350860924,0.13067516886336958,101366778.70060572,0.22337581276497595
central_geometry,D500_F07_V01,500,7,354,185371903.66788614,207480727.09561467,233289798.69142786,0.58783049805005549,64222994.714549512,69400374.86707902,74748997.027286515,0.278726307917607,44270706.962561816,46250136.392755494,48589015.985055573,0.13209343042308536,103312256.41943757,0.22519538558307689
