scan_id,diameter_um,flow_mm_s,grid_scope,mode,predictor,tail_variable,tail_depth_um,controls,partial_rho,n_pairs,control_design_rank,status
D128_F03_V01,128,3,common_grid,detrended_51,lower_mean_raw,tail_mean_raw_500um,500,source_area,0.22214417732327491,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_51,lower_mean_raw,tail_mean_raw_500um,500,z_top,0.24019803248877994,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_51,lower_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.2290363206929118,468,3,ok
D128_F03_V01,128,3,common_grid,detrended_101,source_mean_raw,tail_mean_raw_100um,100,source_area,0.32816512777773255,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_101,source_mean_raw,tail_mean_raw_100um,100,z_top,0.38042582271648945,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_101,source_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.32822635887444862,468,3,ok
D128_F03_V01,128,3,common_grid,detrended_101,source_mean_raw,tail_mean_raw_500um,500,source_area,0.31824835719188826,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_101,source_mean_raw,tail_mean_raw_500um,500,z_top,0.38777293140716246,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_101,source_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.31718946261060038,468,3,ok
D128_F03_V01,128,3,common_grid,detrended_101,upper_mean_raw,tail_mean_raw_100um,100,source_area,0.15385671258763498,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_101,upper_mean_raw,tail_mean_raw_100um,100,z_top,0.22075741498125512,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_101,upper_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.15396341912807807,468,3,ok
D128_F03_V01,128,3,common_grid,detrended_101,upper_mean_raw,tail_mean_raw_500um,500,source_area,0.14829269914288082,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_101,upper_mean_raw,tail_mean_raw_500um,500,z_top,0.2326393122007735,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_101,upper_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.14539575077089431,468,3,ok
D128_F03_V01,128,3,common_grid,detrended_101,middle_mean_raw,tail_mean_raw_100um,100,source_area,0.33013479536241158,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_101,middle_mean_raw,tail_mean_raw_100um,100,z_top,0.38306094959108672,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_101,middle_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.33012214064352879,468,3,ok
D128_F03_V01,128,3,common_grid,detrended_101,middle_mean_raw,tail_mean_raw_500um,500,source_area,0.32065567728329925,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_101,middle_mean_raw,tail_mean_raw_500um,500,z_top,0.39223270923776177,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_101,middle_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.32050019122238649,468,3,ok
D128_F03_V01,128,3,common_grid,detrended_101,lower_mean_raw,tail_mean_raw_100um,100,source_area,0.24804738963311523,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_101,lower_mean_raw,tail_mean_raw_100um,100,z_top,0.2574659883238502,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_101,lower_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.24804350103012357,468,3,ok
D128_F03_V01,128,3,common_grid,detrended_101,lower_mean_raw,tail_mean_raw_500um,500,source_area,0.24280595170826358,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_101,lower_mean_raw,tail_mean_raw_500um,500,z_top,0.25306803173340864,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_101,lower_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.24306640913088312,468,3,ok
D128_F05_V01,128,5,common_grid,raw,source_mean_raw,tail_mean_raw_100um,100,source_area,0.37683383841992613,491,2,ok
D128_F05_V01,128,5,common_grid,raw,source_mean_raw,tail_mean_raw_100um,100,z_top,0.47724598736080487,491,2,ok
D128_F05_V01,128,5,common_grid,raw,source_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.41745007356314179,491,3,ok
D128_F05_V01,128,5,common_grid,raw,source_mean_raw,tail_mean_raw_500um,500,source_area,0.44703706819692057,491,2,ok
D128_F05_V01,128,5,common_grid,raw,source_mean_raw,tail_mean_raw_500um,500,z_top,0.50139830936200436,491,2,ok
D128_F05_V01,128,5,common_grid,raw,source_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.44132856674876736,491,3,ok
D128_F05_V01,128,5,common_grid,raw,upper_mean_raw,tail_mean_raw_100um,100,source_area,0.24942727368255951,491,2,ok
D128_F05_V01,128,5,common_grid,raw,upper_mean_raw,tail_mean_raw_100um,100,z_top,0.35813574839987461,491,2,ok
D128_F05_V01,128,5,common_grid,raw,upper_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.30841827909208341,491,3,ok
D128_F05_V01,128,5,common_grid,raw,upper_mean_raw,tail_mean_raw_500um,500,source_area,0.31379794955615214,491,2,ok
