scan_id,flow_mm_s,metric,metric_label,lag_frames,pair_count,acf
flow07,7.0,q_tail,Q_T,30,457,0.00890332317228343
flow07,7.0,q_tail,Q_T,50,439,-0.12513387075266222
flow07,7.0,q_tail,Q_T,75,416,-0.006871469543905481
flow07,7.0,q_tail,Q_T,100,391,0.009369388790294343
flow07,7.0,q_tail,Q_T,150,342,-0.0008162900956263274
flow07,7.0,q_tail,Q_T,200,293,-0.01528806930744615
flow07,7.0,ri_tail,RI_tail,0,493,1.0
flow07,7.0,ri_tail,RI_tail,1,487,0.41570347921552925
flow07,7.0,ri_tail,RI_tail,2,486,0.3549088834226387
flow07,7.0,ri_tail,RI_tail,3,484,0.2608741036892456
flow07,7.0,ri_tail,RI_tail,5,482,0.19105141205729453
flow07,7.0,ri_tail,RI_tail,10,477,0.09284085538984048
flow07,7.0,ri_tail,RI_tail,20,467,0.035066850486152226
flow07,7.0,ri_tail,RI_tail,30,457,0.014855497363350489
flow07,7.0,ri_tail,RI_tail,50,439,0.036390754720301115
flow07,7.0,ri_tail,RI_tail,75,416,0.010224787832133693
flow07,7.0,ri_tail,RI_tail,100,391,0.020178021486834195
flow07,7.0,ri_tail,RI_tail,150,342,0.015782278203826144
flow07,7.0,ri_tail,RI_tail,200,293,-0.0753595889328734
flow10,10.0,q_vessel,Q_V,0,484,1.0
flow10,10.0,q_vessel,Q_V,1,480,0.5032467965493135
flow10,10.0,q_vessel,Q_V,2,478,0.4130588548166683
flow10,10.0,q_vessel,Q_V,3,476,0.26295807067913735
flow10,10.0,q_vessel,Q_V,5,472,0.16454479728577812
flow10,10.0,q_vessel,Q_V,10,462,0.11180319606581014
flow10,10.0,q_vessel,Q_V,20,448,0.11942749101870563
flow10,10.0,q_vessel,Q_V,30,438,0.1341771038211013
flow10,10.0,q_vessel,Q_V,50,418,-0.004139051082371311
flow10,10.0,q_vessel,Q_V,75,407,0.05135705294879228
flow10,10.0,q_vessel,Q_V,100,382,-0.019987579099901107
flow10,10.0,q_vessel,Q_V,150,333,0.07550846817681861
flow10,10.0,q_vessel,Q_V,200,282,0.02635769715689362
flow10,10.0,source_mean,Sbar_V,0,484,1.0
flow10,10.0,source_mean,Sbar_V,1,480,0.4483052855654025
flow10,10.0,source_mean,Sbar_V,2,478,0.3687745373379926
flow10,10.0,source_mean,Sbar_V,3,476,0.2722870447515094
flow10,10.0,source_mean,Sbar_V,5,472,0.10447108932896261
flow10,10.0,source_mean,Sbar_V,10,462,0.030272845844716244
flow10,10.0,source_mean,Sbar_V,20,448,0.17930218442453433
flow10,10.0,source_mean,Sbar_V,30,438,0.17972743154746004
flow10,10.0,source_mean,Sbar_V,50,418,0.058939952042600885
flow10,10.0,source_mean,Sbar_V,75,407,0.016820336523032314
flow10,10.0,source_mean,Sbar_V,100,382,-0.023608091227772007
flow10,10.0,source_mean,Sbar_V,150,333,0.06562749540528577
flow10,10.0,source_mean,Sbar_V,200,282,-0.07442916138701927
flow10,10.0,q_tail,Q_T,0,484,1.0
flow10,10.0,q_tail,Q_T,1,480,0.5225011050917895
flow10,10.0,q_tail,Q_T,2,478,0.4570745507413843
flow10,10.0,q_tail,Q_T,3,476,0.3595698451038096
flow10,10.0,q_tail,Q_T,5,472,0.2284178404559009
flow10,10.0,q_tail,Q_T,10,462,0.013401135960428384
flow10,10.0,q_tail,Q_T,20,448,0.004147456545636837
flow10,10.0,q_tail,Q_T,30,438,0.058518043864202056
flow10,10.0,q_tail,Q_T,50,418,-0.07612846687972169
flow10,10.0,q_tail,Q_T,75,407,-0.06616137250688986
flow10,10.0,q_tail,Q_T,100,382,-0.016675895705367486
flow10,10.0,q_tail,Q_T,150,333,0.057664106442666396
flow10,10.0,q_tail,Q_T,200,282,0.01878639152088787
flow10,10.0,ri_tail,RI_tail,0,484,1.0
flow10,10.0,ri_tail,RI_tail,1,480,0.3092104449644177
flow10,10.0,ri_tail,RI_tail,2,478,0.27882434743940926
flow10,10.0,ri_tail,RI_tail,3,476,0.21708847157585384
flow10,10.0,ri_tail,RI_tail,5,472,0.22651894588894653
flow10,10.0,ri_tail,RI_tail,10,462,0.06878318423648185
flow10,10.0,ri_tail,RI_tail,20,448,0.070088813955397
flow10,10.0,ri_tail,RI_tail,30,438,0.07872236305952345
flow10,10.0,ri_tail,RI_tail,50,418,0.11071267135445607
flow10,10.0,ri_tail,RI_tail,75,407,0.057957488624517856
flow10,10.0,ri_tail,RI_tail,100,382,0.01265034336480255
flow10,10.0,ri_tail,RI_tail,150,333,0.06208557439522741
flow10,10.0,ri_tail,RI_tail,200,282,-0.02994356041570331
