scan_id,frame_id,variant,q_vessel,q_tail,ratio_tail_to_vessel,q_tail_direct_check,source_area_um2,tail_area_um2,requested_tail_area_um2,source_mean,tail_window_complete,source_window_complete,source_qc_valid,background_complete,background_excluded_side,valid,invalid_reason,tail_gap_um,requested_tail_length_um,lateral_width_um,x_left_edge_px,x_right_edge_px,z_top_edge_px,diameter_um,dx_um,dz_um,z_bottom_edge_px
flow03,flow03_Bscan249,x_minus_1px,1562767535523.1797,2419586538396.5425,1.5482702855012398,2419586538396.543,16595.873828125,82549.99999999999,82550.0,94166028.96044919,True,True,True,True,,True,ok,0.0,500.0,165.1,236.57798281399533,249.57798281399533,183.5,128.0,12.7,6.7,202.6044776119403
flow03,flow03_Bscan249,x_plus_1px,1551235634162.0234,2473735965390.0234,1.5946874291128144,2473735965390.0234,16595.873828125,82549.99999999999,82550.0,93471163.38840483,True,True,True,True,,True,ok,0.0,500.0,165.1,238.57798281399533,251.57798281399533,183.5,128.0,12.7,6.7,202.6044776119403
flow03,flow03_Bscan249,z_minus_1px,1505072213440.478,2527412507647.679,1.6792632838993224,2527412507647.6797,16595.873828125,82549.99999999999,82550.0,90689543.01700188,True,True,True,True,,True,ok,0.0,500.0,165.1,237.57798281399533,250.57798281399533,182.5,128.0,12.7,6.7,201.6044776119403
flow03,flow03_Bscan249,z_plus_1px,1627728714576.1204,2402943114325.4253,1.47625528308701,2402943114325.4253,16595.873828125,82549.99999999999,82550.0,98080325.95533542,True,True,True,True,,True,ok,0.0,500.0,165.1,237.57798281399533,250.57798281399533,184.5,128.0,12.7,6.7,203.6044776119403
flow03,flow03_Bscan249,background_skip_plus_2px,1602446057703.7678,2530248203013.269,1.5789911871598346,2530248203013.27,16595.873828125,82549.99999999999,82550.0,96556895.66572295,True,True,True,True,,True,ok,0.0,500.0,165.1,237.57798281399533,250.57798281399533,183.5,128.0,12.7,6.7,202.6044776119403
flow03,flow03_Bscan499,x_minus_1px,2135257317816.6836,1359316916254.8105,0.6366056703857698,1359316916254.8105,17879.8686328125,88899.99999999999,88899.99999999999,119422427.62892202,True,True,True,True,,True,ok,0.0,500.0,177.79999999999998,237.05524938743864,251.05524938743864,196.5,128.0,12.7,6.7,215.6044776119403
flow03,flow03_Bscan499,x_plus_1px,2119410801897.5684,1265537004113.8943,0.5971173700638042,1265537004113.894,17879.8686328125,88899.99999999999,88899.99999999999,118536150.65203,True,True,True,True,,True,ok,0.0,500.0,177.79999999999998,239.05524938743864,253.05524938743864,196.5,128.0,12.7,6.7,215.6044776119403
flow03,flow03_Bscan499,z_minus_1px,2117600907682.6753,1282947041174.3064,0.605849306410742,1282947041174.3066,17879.8686328125,88899.99999999999,88899.99999999999,118434925.39964914,True,True,True,True,,True,ok,0.0,500.0,177.79999999999998,238.05524938743864,252.05524938743864,195.5,128.0,12.7,6.7,214.6044776119403
flow03,flow03_Bscan499,z_plus_1px,2135106512166.8564,1229717642292.8,0.57595142691256,1229717642292.8003,17879.8686328125,88899.99999999999,88899.99999999999,119413993.24649315,True,True,True,True,,True,ok,0.0,500.0,177.79999999999998,238.05524938743864,252.05524938743864,197.5,128.0,12.7,6.7,216.6044776119403
flow03,flow03_Bscan499,background_skip_plus_2px,2207582861318.2153,1365987715854.6646,0.6187707559203425,1365987715854.6646,17879.8686328125,88899.99999999999,88899.99999999999,123467510.11732478,True,True,True,True,,True,ok,0.0,500.0,177.79999999999998,238.05524938743864,252.05524938743864,196.5,128.0,12.7,6.7,215.6044776119403
