scan_id,diameter_um,flow_mm_s,grid_scope,region,metric,n,median,min,max,p5,p10,p90,p95,p99,mad
D285_F03_V01,285,3,common_grid,tail100,contrast,474,-0.1274828931180263,-0.22850399225369047,0.17598468101609455,-0.1873307834717661,-0.17206120537352371,-0.084746165294212902,-0.070579715068211479,-0.052155451825276873,0.023005851428131156
D285_F03_V01,285,3,common_grid,tail100,real_mean,474,17596.220762905719,14768.200405454039,53649.735437650554,16326.581268372511,16596.592800882536,18701.292302955946,19212.949532467952,20446.213715838614,577.02005301458303
D285_F03_V01,285,3,common_grid,tail100,bg_mean,474,22784.780117192669,19656.83768217664,37592.49977802451,20720.322229714759,21063.834335616761,24488.979117161489,25009.630700942944,26677.104461796745,1016.3555855340255
D285_F03_V01,285,3,common_grid,tail100,bg_sd,474,13002.806440915472,9970.2323068743808,24757.252673807659,10952.019244759667,11263.332701995056,14994.070876226891,16006.987685975324,18477.889853493511,1005.9064869148278
D285_F05_V01,285,5,common_grid,source,sbr,492,0.83517245554461383,0.67112002557298001,1.0550138265426094,0.74411105130729416,0.76390939267939018,0.90734929988757096,0.93508524053013053,0.98490050039487187,0.035957668269809617
D285_F05_V01,285,5,common_grid,source,contrast,492,-0.08981602676463038,-0.19680212635490163,0.026770538393488873,-0.14671606345650828,-0.13384508951301155,-0.048575633803777302,-0.033546204369999104,-0.0076098365303500313,0.021406161968490794
D285_F05_V01,285,5,common_grid,source,real_mean,492,35341.347348564828,29385.16339131158,51696.124955697931,32091.053621190393,32755.06183122332,40083.461989082665,41620.64193017393,44481.56191654742,1832.343542466755
D285_F05_V01,285,5,common_grid,source,bg_mean,492,42644.423765773856,34125.96808051379,55022.60362520787,38059.238031564164,38678.621841798085,48484.857579663134,50166.239598218177,52750.539025223938,2464.4352611899521
D285_F05_V01,285,5,common_grid,source,bg_sd,492,31107.921586596924,23172.836730670002,47732.227018116013,25738.616929833501,26318.728721715459,38852.661310756594,42150.711672213132,45149.079326410691,3028.8110928732385
D285_F05_V01,285,5,common_grid,tail100,sbr,492,0.77351258358486508,0.64997942004996312,0.93604946560275282,0.6932936092889157,0.71069400113087988,0.84778815814978004,0.8600465456738372,0.91973272782895199,0.036001583204847309
D285_F05_V01,285,5,common_grid,tail100,contrast,492,-0.12770555965032426,-0.21213633073037841,-0.033031456857605314,-0.18113009834386606,-0.16911616208417693,-0.082375193411907077,-0.075241935231258994,-0.04181174323553441,0.022719457034131127
D285_F05_V01,285,5,common_grid,tail100,real_mean,492,17531.758320919354,14366.4844660863,21279.754461315322,16246.880584473622,16526.823102003174,18687.748627238583,19138.26031500375,19792.650180368455,542.23703343500711
D285_F05_V01,285,5,common_grid,tail100,bg_mean,492,22653.846838141064,19541.116221671007,26616.47623106965,20620.442169651709,20818.132263867024,24475.954504880843,24955.950131237332,25832.226852205513,1017.0089674975698
D285_F05_V01,285,5,common_grid,tail100,bg_sd,492,12856.858066497327,10148.514968389603,18487.278638081207,10998.47847205703,11283.789189056923,15112.820703153604,16051.247975569415,17513.547936279141,996.69249410928933
D285_F07_V01,285,7,common_grid,source,sbr,458,0.81854557238979631,0.66845102197135364,1.0510365519638671,0.731902156163169,0.75205889430485839,0.9128204039439114,0.9342162350416795,0.9852860207100872,0.03911747619181416
D285_F07_V01,285,7,common_grid,source,contrast,458,-0.099779973351114937,-0.19871663816472454,0.024883297138220056,-0.154799682649545,-0.1415141422147948,-0.045576536615931994,-0.034010694813221408,-0.007411643212310616,0.023463215028242508
D285_F07_V01,285,7,common_grid,source,real_mean,458,34126.664250793248,26303.97449978437,52417.398600954053,29165.426059455636,30429.55612193884,39977.884129996521,42435.763718764771,46503.04480247615,1998.5269376540018
D285_F07_V01,285,7,common_grid,source,bg_mean,458,41209.433137834923,32573.095071813568,55064.235054346434,36493.601367389718,37550.135881392933,48156.806373419,50294.327741403373,52865.111869072789,2481.3012072192178
D285_F07_V01,285,7,common_grid,source,bg_sd,458,28763.921274630266,20340.409949053053,48904.869702834279,23982.373689211552,25010.038495502391,38443.040237777008,41531.914104014191,45737.626013166591,3216.0339527074266
D285_F07_V01,285,7,common_grid,tail100,sbr,458,0.77499535176621259,0.64772821635900546,0.95297795610635172,0.69659370435764734,0.71003909723273917,0.84263975212926057,0.86368857585917924,0.89147499093122784,0.032721413902681462
D285_F07_V01,285,7,common_grid,tail100,contrast,458,-0.12676351612307263,-0.21379240832533145,-0.024077099153436456,-0.17883275658308787,-0.16956390269957819,-0.085399363330305178,-0.073140684720961774,-0.057376113730240264,0.020743870097559153
D285_F07_V01,285,7,common_grid,tail100,real_mean,458,17270.111390635342,14351.419264084103,20224.545494162005,15752.214241902522,16054.928661615671,18580.181625842772,19025.557906102764,19678.373320979274,665.04677765136148
D285_F07_V01,285,7,common_grid,tail100,bg_mean,458,22239.579751235251,18698.304803751114,26928.684827692086,20223.753050355135,20673.155938361037,24386.419454935814,25021.942742669064,26177.048155132317,964.52782344476691
D285_F07_V01,285,7,common_grid,tail100,bg_sd,458,12433.263889656449,9398.7283103131267,18179.757279114125,10523.255059608562,10895.150886518039,14638.197258233649,15501.812453718781,16563.638657901785,1033.368267373362
D285_F10_V01,285,10,common_grid,source,sbr,494,0.82787666666844029,0.67834520868011516,1.047944033148146,0.7402880780542459,0.75727500083776866,0.89608203353681914,0.92191376022522353,0.97369558937725242,0.033563960788017932
D285_F10_V01,285,10,common_grid,source,contrast,494,-0.094165727455689824,-0.19164995952938707,0.023410812196095639,-0.14923507257684945,-0.13812579949553894,-0.05480669146928227,-0.040632492832882797,-0.013327952400845409,0.020226547814571977
D285_F10_V01,285,10,common_grid,source,real_mean,494,34440.031410725933,28303.640476834644,55472.775954297118,31630.87221470572,32133.833406147583,39729.103294869921,40943.729814773767,52878.991187685089,1466.474786445262
D285_F10_V01,285,10,common_grid,source,bg_mean,494,41754.718364773944,35114.483519513044,62312.365683796597,37642.131371088384,38446.826706033688,47713.089319322324,49753.571058442074,59750.185226091126,1978.1983062831023
D285_F10_V01,285,10,common_grid,source,bg_sd,494,30101.998972377976,22897.428184260189,52934.501829682908,25201.968449582953,26006.507798297458,38405.751591355591,42285.498888180751,50432.384106153375,2639.736107982626
D285_F10_V01,285,10,common_grid,tail100,sbr,494,0.77172038824369871,0.58594867403100237,0.93056454529069066,0.68481943770960763,0.70778176959440198,0.84258047149415882,0.8621799749788247,0.89291540995991447,0.033586513911257887
D285_F10_V01,285,10,common_grid,tail100,contrast,494,-0.12884629966470015,-0.261074858694263,-0.035966398988672092,-0.18707142320536208,-0.17110982138484457,-0.085434328924658048,-0.074010059056604377,-0.056573368895197755,0.021475184043438608
D285_F10_V01,285,10,common_grid,tail100,real_mean,494,17269.620869726743,14090.753534099631,21311.069288694773,16001.110333635017,16237.536871492866,18546.546056956351,19348.748078975761,20809.672921270125,662.540649567316
D285_F10_V01,285,10,common_grid,tail100,bg_mean,494,22141.512193050239,19193.953492247067,31184.496672501078,20451.114887859469,20815.012241412529,24483.234820499194,25408.398254540683,28525.790385081167,944.50116730316404
D285_F10_V01,285,10,common_grid,tail100,bg_sd,494,12675.361621370183,9460.0177537171476,24324.467244636464,10899.921195423311,11220.372730699402,15493.682391636734,16429.245589395388,20189.788252124235,990.79836092921232
D500_F01_V01,500,1,common_grid,source,sbr,500,0.43843772147757409,0.25021304045068715,0.54406196456533806,0.39183775219121703,0.40219050953063756,0.4777378988117279,0.49337125526512476,0.5177036653115813,0.019953307060693565
D500_F01_V01,500,1,common_grid,source,contrast,500,-0.39039735589697511,-0.59972735469070415,-0.29528480455964801,-0.4369491100971043,-0.42633970891118073,-0.35341998530753799,-0.33925171202926258,-0.31778045691396822,0.019210681218412906
D500_F01_V01,500,1,common_grid,source,real_mean,500,27443.011200616973,14421.921436943669,39487.32280890071,23599.266822896043,24260.567508042543,31898.529513202673,33377.850570179777,34946.219775281956,1930.5354653369341
D500_F01_V01,500,1,common_grid,source,bg_mean,500,62129.899463912356,54593.498959022902,77613.302658404747,56945.042058113722,57672.212255555351,70854.159268095056,72400.775005599149,75199.701226827761,3434.0214919299797
D500_F01_V01,500,1,common_grid,source,bg_sd,500,59799.864319253189,48317.536918581136,93219.934452373578,50114.359205322253,51160.450394870713,73923.139694492173,78369.790288424105,84311.113348347077,6044.8127771992149
D500_F01_V01,500,1,common_grid,tail100,sbr,500,0.67641858587159021,0.49203725883238791,0.79561188641161351,0.61426846544436087,0.62910676393642562,0.72280874149192709,0.74144773682939391,0.77022650693039407,0.024918474883369179
D500_F01_V01,500,1,common_grid,tail100,contrast,500,-0.19301946392338287,-0.34044909948503871,-0.11382644274918439,-0.23895129291372127,-0.22766662459319392,-0.16089505445622487,-0.14846972309694403,-0.12979893842985174,0.01772446325325544
D500_F01_V01,500,1,common_grid,tail100,real_mean,500,14185.537502720434,10640.00556328094,16922.067337539829,13217.444159073493,13391.565991855756,15151.349368370475,15462.791682082317,16108.613454907369,475.1093660764227
D500_F01_V01,500,1,common_grid,tail100,bg_mean,500,20908.074219726615,18868.895550720896,25690.210878421534,19493.747278022416,19721.185052885474,22850.287421160028,23196.213163532859,23958.008436935248,760.99158776928016
D500_F01_V01,500,1,common_grid,tail100,bg_sd,500,12314.734755505495,9682.1014739557631,24826.08314339292,10387.359146238712,10686.510202360678,14548.881493131625,15364.584346339594,17597.598027489017,1043.2037151718187
D500_F02_V01,500,2,d500_extension,source,sbr,493,0.43197115053983698,0.25330939836173166,0.53085808169164705,0.38981470362197357,0.39984594833803511,0.47493446435797848,0.4869472669899052,0.51570006899244114,0.019373933489389483
