scan_id,diameter_um,flow_mm_s,grid_scope,mode,tail_bin,side,rho,n_pairs
D128_F05_V01,128,5,common_grid,raw,2,right,0.076585913288369334,491
D128_F05_V01,128,5,common_grid,raw,3,bg,-0.041382820079499671,491
D128_F05_V01,128,5,common_grid,raw,3,left,0.0042208229971239311,491
D128_F05_V01,128,5,common_grid,raw,3,right,-0.042951017772366526,491
D128_F05_V01,128,5,common_grid,raw,4,bg,0.11776810868403793,491
D128_F05_V01,128,5,common_grid,raw,4,left,0.077158388068356343,491
D128_F05_V01,128,5,common_grid,raw,4,right,0.061708259877394922,491
D128_F05_V01,128,5,common_grid,raw,5,bg,0.15263513780655077,491
D128_F05_V01,128,5,common_grid,raw,5,left,0.13090715000420711,491
D128_F05_V01,128,5,common_grid,raw,5,right,0.104520188682497,491
D128_F05_V01,128,5,common_grid,raw,6,bg,0.058337075826803822,491
D128_F05_V01,128,5,common_grid,raw,6,left,0.0056031970187111185,491
D128_F05_V01,128,5,common_grid,raw,6,right,0.082470735052751445,491
D128_F05_V01,128,5,common_grid,raw,7,bg,-0.03156995151147738,491
D128_F05_V01,128,5,common_grid,raw,7,left,-0.058459843129542347,491
D128_F05_V01,128,5,common_grid,raw,7,right,0.0072318152833633527,491
D128_F05_V01,128,5,common_grid,raw,8,bg,0.053714293824429576,491
D128_F05_V01,128,5,common_grid,raw,8,left,0.049726029202600518,491
D128_F05_V01,128,5,common_grid,raw,8,right,0.036378354431534685,491
D128_F05_V01,128,5,common_grid,raw,9,bg,0.026060426654393308,491
D128_F05_V01,128,5,common_grid,raw,9,left,0.015912913275190354,491
D128_F05_V01,128,5,common_grid,raw,9,right,0.047232869602065651,491
D128_F05_V01,128,5,common_grid,raw,10,bg,0.14464532820231563,491
D128_F05_V01,128,5,common_grid,raw,10,left,0.15974246238160456,491
D128_F05_V01,128,5,common_grid,raw,10,right,0.05034310977383849,491
D128_F05_V01,128,5,common_grid,raw,11,bg,0.11895289932574291,491
D128_F05_V01,128,5,common_grid,raw,11,left,0.089731848230822808,491
D128_F05_V01,128,5,common_grid,raw,11,right,0.091119291092324847,491
D128_F05_V01,128,5,common_grid,raw,12,bg,0.10997699760446622,491
D128_F05_V01,128,5,common_grid,raw,12,left,0.054973495036085077,491
D128_F05_V01,128,5,common_grid,raw,12,right,0.077801116969563641,491
D128_F05_V01,128,5,common_grid,raw,13,bg,0.049476338148393334,491
D128_F05_V01,128,5,common_grid,raw,13,left,0.09243992664374874,491
D128_F05_V01,128,5,common_grid,raw,13,right,-0.042842848728582884,491
D128_F05_V01,128,5,common_grid,raw,14,bg,-0.024932407019735012,491
D128_F05_V01,128,5,common_grid,raw,14,left,-0.0062205817203439826,491
D128_F05_V01,128,5,common_grid,raw,14,right,-0.015170024097264968,491
D128_F05_V01,128,5,common_grid,raw,15,bg,0.080188540569473998,491
D128_F05_V01,128,5,common_grid,raw,15,left,0.03289180358448085,491
D128_F05_V01,128,5,common_grid,raw,15,right,0.093396416735687326,491
D128_F05_V01,128,5,common_grid,raw,16,bg,0.11981561587925617,491
D128_F05_V01,128,5,common_grid,raw,16,left,0.12811594261667711,491
D128_F05_V01,128,5,common_grid,raw,16,right,0.060350216287399186,491
D128_F05_V01,128,5,common_grid,raw,17,bg,0.0042267028514252078,491
D128_F05_V01,128,5,common_grid,raw,17,left,0.011178414041092075,491
D128_F05_V01,128,5,common_grid,raw,17,right,0.0094109095627720185,491
D128_F05_V01,128,5,common_grid,raw,18,bg,0.15882054177788549,491
D128_F05_V01,128,5,common_grid,raw,18,left,0.095256985114844678,491
D128_F05_V01,128,5,common_grid,raw,18,right,0.12604207745390142,491
D128_F05_V01,128,5,common_grid,raw,19,bg,-0.014496071142181972,491
D128_F05_V01,128,5,common_grid,raw,19,left,-0.020928530370968111,491
D128_F05_V01,128,5,common_grid,raw,19,right,0.010229932716218974,491
D128_F05_V01,128,5,common_grid,raw,20,bg,0.12471464965699158,491
D128_F05_V01,128,5,common_grid,raw,20,left,0.16974784548959418,491
D128_F05_V01,128,5,common_grid,raw,20,right,0.03380115346521103,491
D128_F05_V01,128,5,common_grid,detrended_51,1,bg,0.085844236419043443,491
D128_F05_V01,128,5,common_grid,detrended_51,1,left,0.063243387912366777,491
D128_F05_V01,128,5,common_grid,detrended_51,1,right,0.091199517769694774,491
D128_F05_V01,128,5,common_grid,detrended_51,2,bg,0.099920860014045113,491
D128_F05_V01,128,5,common_grid,detrended_51,2,left,0.024609844759057108,491
D128_F05_V01,128,5,common_grid,detrended_51,2,right,0.084244310990734761,491
D128_F05_V01,128,5,common_grid,detrended_51,3,bg,-0.016989306524885228,491
D128_F05_V01,128,5,common_grid,detrended_51,3,left,0.0026145354587663971,491
D128_F05_V01,128,5,common_grid,detrended_51,3,right,-0.014417435997957143,491
D128_F05_V01,128,5,common_grid,detrended_51,4,bg,0.12962954374077354,491
D128_F05_V01,128,5,common_grid,detrended_51,4,left,0.052877603439013737,491
D128_F05_V01,128,5,common_grid,detrended_51,4,right,0.075703066698387542,491
D128_F05_V01,128,5,common_grid,detrended_51,5,bg,0.10661946049110368,491
D128_F05_V01,128,5,common_grid,detrended_51,5,left,0.085343590261392682,491
D128_F05_V01,128,5,common_grid,detrended_51,5,right,0.078041224855344024,491
D128_F05_V01,128,5,common_grid,detrended_51,6,bg,0.070983399773270381,491
D128_F05_V01,128,5,common_grid,detrended_51,6,left,-0.0017795753081179388,491
D128_F05_V01,128,5,common_grid,detrended_51,6,right,0.085940186693910153,491
D128_F05_V01,128,5,common_grid,detrended_51,7,bg,-0.07549503984420193,491
D128_F05_V01,128,5,common_grid,detrended_51,7,left,-0.10282548237280964,491
D128_F05_V01,128,5,common_grid,detrended_51,7,right,-0.0015984258035214773,491
D128_F05_V01,128,5,common_grid,detrended_51,8,bg,0.0023950860463978754,491
D128_F05_V01,128,5,common_grid,detrended_51,8,left,0.0040046041492139374,491
D128_F05_V01,128,5,common_grid,detrended_51,8,right,0.015159282819147434,491
D128_F05_V01,128,5,common_grid,detrended_51,9,bg,-0.033444624657315819,491
D128_F05_V01,128,5,common_grid,detrended_51,9,left,-0.046245200886902066,491
D128_F05_V01,128,5,common_grid,detrended_51,9,right,0.028272933826294543,491
D128_F05_V01,128,5,common_grid,detrended_51,10,bg,0.097411352708819857,491
D128_F05_V01,128,5,common_grid,detrended_51,10,left,0.11059946539687389,491
D128_F05_V01,128,5,common_grid,detrended_51,10,right,0.019903316149000271,491
D128_F05_V01,128,5,common_grid,detrended_51,11,bg,-0.0047130258672896854,491
