scan_id,diameter_um,flow_mm_s,grid_scope,region,side,n,median,min,max,p5,p10,p90,p95,p99,mad
D285_F01_V01,285,1,common_grid,t07,bg,453,261.88862478701594,182.27400773186872,309.67723600788622,229.88885166733149,236.85846630981578,286.51089323294792,293.50659405321966,303.08369554590479,14.661818038763215
D285_F01_V01,285,1,common_grid,t08,real,453,137.69144299393705,95.832994523148628,162.81694374078782,120.86713479837769,125.08850756777318,150.8768077638999,154.31501271309574,159.06552592671861,7.7086466978610702
D285_F01_V01,285,1,common_grid,t08,left,453,137.69144299393705,95.832994523148628,162.81694374078782,120.86713479837769,124.53150280220298,150.63692955281914,154.31501271309574,159.35030176125355,7.7086466978610702
D285_F01_V01,285,1,common_grid,t08,right,453,137.69144299393699,95.832994523148628,162.81694374078759,120.86713479837771,124.53150280220298,150.63692955281925,154.31501271309563,159.35030176125355,7.7086466978613259
D285_F01_V01,285,1,common_grid,t08,bg,453,275.38288598787398,191.66598904629731,325.63388748157541,241.73426959675541,249.06300560440596,301.27385910563839,308.63002542619131,318.70060352250721,15.417293395722481
D285_F01_V01,285,1,common_grid,t09,real,453,132.80363210669589,92.431087013124326,157.0372205209587,116.57655809635786,120.64807934751224,145.52093896344533,148.83709351344706,153.41897162745309,7.435002915528429
D285_F01_V01,285,1,common_grid,t09,left,453,132.80363210669589,92.431087013124326,157.0372205209587,116.57655809635786,120.11084729910041,145.28957601886523,148.83709351344706,153.6936384065944,7.435002915528429
D285_F01_V01,285,1,common_grid,t09,right,453,132.80363210669586,92.431087013124326,157.03722052095844,116.57655809635789,120.11084729910041,145.28957601886535,148.83709351344694,153.6936384065944,7.4350029155286563
D285_F01_V01,285,1,common_grid,t09,bg,453,265.60726421339183,184.86217402624868,314.07444104191717,233.15311619271571,240.22169459820083,290.57915203773064,297.674187026894,307.38727681318886,14.870005831057085
D285_F01_V01,285,1,common_grid,t10,real,453,128.61018917793814,89.512458342477785,152.07857133720725,112.89550558707698,116.83846339663724,140.92593095950789,144.13737372845344,148.57457323636527,7.2002332792856123
D285_F01_V01,285,1,common_grid,t10,left,453,128.61018917793814,89.512458342477785,152.07857133720725,112.89550558707698,116.318195130757,140.70187359300809,144.13737372845344,148.84056706398792,7.2002332792856123
D285_F01_V01,285,1,common_grid,t10,right,453,128.61018917793808,89.512458342477785,152.07857133720699,112.89550558707701,116.318195130757,140.7018735930082,144.13737372845335,148.84056706398792,7.2002332792858397
