source_bin,tail_bin,u_lo,u_hi,u_mid,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid,scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho,n_pairs,rho_peak,lag_at_peak,n_pairs_lag0,zero_lag_rank,peak_within_pm2,peak_within_pm5,rho_remote_median,zero_lag_specificity,pseudo_left_rho,pseudo_right_rho,control_rho,control_excess_rho,in_real_high_region
4,4,0.5,0.66666666666666663,0.58333333333333337,75,100,87.5,0.5859375,0.78125,0.68359375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.17703374804329725,486,0.17703374804329725,0,486,1,True,True,0.0081177731044962832,0.16891597493880095,0.073733212922649574,0.035610039689226436,0.054671626305938005,0.12236212173735925,False
4,5,0.5,0.66666666666666663,0.58333333333333337,100,125,112.5,0.78125,0.9765625,0.87890625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.2001641205355581,486,0.2001641205355581,0,486,1,True,True,-0.00045752554788734516,0.20062164608344543,0.090212298514342884,0.069380214491283385,0.079796256502813134,0.12036786403274496,False
4,6,0.5,0.66666666666666663,0.58333333333333337,125,150,137.5,0.9765625,1.171875,1.07421875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.14388997950248755,486,0.14388997950248755,0,486,1,True,True,-0.014130797928977595,0.15802077743146514,0.046363923511960586,0.066351720858704291,0.056357822185332439,0.087532157317155107,False
4,7,0.5,0.66666666666666663,0.58333333333333337,150,175,162.5,1.171875,1.3671875,1.26953125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.12069573553275477,486,0.12069573553275477,0,486,1,True,True,-0.0037492427691077426,0.12444497830186252,0.048616387943335226,0.011696928277695084,0.030156658110515155,0.090539077422239614,False
4,8,0.5,0.66666666666666663,0.58333333333333337,175,200,187.5,1.3671875,1.5625,1.46484375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.097110214228834549,486,0.12046070384923398,-1,486,3,True,True,0.00079831853671151129,0.096311895692123034,0.065153595623874613,-0.0057128520484900167,0.029720371787692299,0.067389842441142253,False
4,9,0.5,0.66666666666666663,0.58333333333333337,200,225,212.5,1.5625,1.7578125,1.66015625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.091619456614278907,486,0.11641423125735517,35,486,3,False,False,0.010142775911461779,0.081476680702817134,0.041179859173104731,0.039546894974552591,0.040363377073828657,0.05125607954045025,False
4,10,0.5,0.66666666666666663,0.58333333333333337,225,250,237.5,1.7578125,1.953125,1.85546875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.12763202746673469,486,0.14636547264194322,-27,486,2,False,False,-0.0031054353717994612,0.13073746283853416,-0.011763236195417212,0.064759499088376915,0.026498131446479851,0.10113389602025484,False
4,11,0.5,0.66666666666666663,0.58333333333333337,250,275,262.5,1.953125,2.1484375,2.05078125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.12862911552115455,486,0.16745706192777701,37,486,2,False,False,0.0061327354526794445,0.1224963800684751,-0.032558359795122858,0.018670453036780301,-0.0069439533791712787,0.13557306890032583,False
4,12,0.5,0.66666666666666663,0.58333333333333337,275,300,287.5,2.1484375,2.34375,2.24609375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.084719261708152013,486,0.097440752328337876,49,486,2,False,False,-0.008371391986455666,0.093090653694607672,-0.051171370623063719,-0.032699560546795264,-0.041935465584929492,0.1266547272930815,False
4,13,0.5,0.66666666666666663,0.58333333333333337,300,325,312.5,2.34375,2.5390625,2.44140625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.040840850415984148,486,0.10485908801941535,-20,486,12,False,False,-0.0070514278740875635,0.047892278290071713,0.038682277240822911,0.044480440398124453,0.041581358819473682,-0.00074050840348953428,False
