scan_id,diameter_um,flow_mm_s,grid_scope,parameter,unit,n_adjacent_pairs,outlier_flag_fraction,n,median,min,max,p5,p10,p90,p95,p99,mad
D235_F03_V01,235,3,common_grid,z_top,um,411,0.075425790754257913,411,0,0,6.7000000000000002,0,0,0,6.7000000000000002,6.7000000000000002,0
D235_F05_V01,235,5,common_grid,X4,pixel,382,0.002617801047120419,382,0.36043348903655215,0.0013070488216158083,1.9712943787883148,0.046411189241915451,0.077380075366178858,0.78454356815192361,0.93040940167405906,1.3945674788802833,0.19463135577076685
D235_F05_V01,235,5,common_grid,X4,um,382,0.002617801047120419,382,4.5775053107642121,0.016599520034520764,25.035438610611596,0.58942210337232626,0.98272695715047143,9.963703315529429,11.816199401260549,17.711006981779597,2.4718182182887389
D235_F05_V01,235,5,common_grid,X1,pixel,382,0.005235602094240838,382,2,0,11,0,1,5,6,7.1899999999999977,1
D235_F05_V01,235,5,common_grid,X1,um,382,0.005235602094240838,382,25.399999999999999,0,139.69999999999999,0,12.699999999999999,63.5,76.199999999999989,91.31299999999996,12.699999999999999
D235_F05_V01,235,5,common_grid,z_top,pixel,382,0.089005235602094238,382,0,0,1,0,0,0,1,1,0
D235_F05_V01,235,5,common_grid,z_top,um,382,0.089005235602094238,382,0,0,6.7000000000000002,0,0,0,6.7000000000000002,6.7000000000000002,0
D235_F07_V01,235,7,common_grid,X4,pixel,410,0,410,0.33107406158735841,0.0019845990103419808,1.3852828577450396,0.03090816378060169,0.056145154623322924,0.84544554764148372,0.95958655443761454,1.1215136653334663,0.20308913724393562
D235_F07_V01,235,7,common_grid,X4,um,410,0,410,4.2046405821594517,0.025204407431343154,17.593092293362002,0.39253368001364142,0.71304346371620109,10.737158455046842,12.186749241357704,14.243223549735021,2.5792320429979823
D235_F07_V01,235,7,common_grid,X1,pixel,410,0,410,2,0,8,0,1,5,6,7,1
D235_F07_V01,235,7,common_grid,X1,um,410,0,410,25.399999999999999,0,101.59999999999999,0,12.699999999999999,63.5,76.199999999999989,88.899999999999991,12.699999999999999
D235_F07_V01,235,7,common_grid,z_top,pixel,410,0.056097560975609757,410,0,0,1,0,0,0,1,1,0
D235_F07_V01,235,7,common_grid,z_top,um,410,0.056097560975609757,410,0,0,6.7000000000000002,0,0,0,6.7000000000000002,6.7000000000000002,0
D235_F10_V01,235,10,common_grid,X4,pixel,448,0,448,0.36204744951518819,0.0013080725572081064,1.7888218569907508,0.036213083230136077,0.062048060929438979,0.87383318529449261,1.0932725920718154,1.4814618064827467,0.2209794421558513
D235_F10_V01,235,10,common_grid,X4,um,448,0,448,4.59800260884289,0.016612521476542953,22.718037583782532,0.45990615702272813,0.78801037380387495,11.097681453240055,13.884561919312054,18.814564942330883,2.8064389153793114
D235_F10_V01,235,10,common_grid,X1,pixel,448,0,448,2,0,9,0,0,5,6,7.5299999999999727,1
D235_F10_V01,235,10,common_grid,X1,um,448,0,448,25.399999999999999,0,114.3,0,0,63.5,76.199999999999989,95.630999999999645,12.699999999999999
D235_F10_V01,235,10,common_grid,z_top,pixel,448,0.073660714285714288,448,0,0,1,0,0,0,1,1,0
D235_F10_V01,235,10,common_grid,z_top,um,448,0.073660714285714288,448,0,0,6.7000000000000002,0,0,0,6.7000000000000002,6.7000000000000002,0
D285_F01_V01,285,1,common_grid,X4,pixel,449,0,449,0.39061753173476177,0.0015795288566096133,1.8331216876142378,0.041322143600456232,0.071971533074872709,1.0572721622851531,1.2812463552754185,1.6162579226155491,0.24648561067141372
D285_F01_V01,285,1,common_grid,X4,um,449,0,449,4.9608426530314738,0.020060016478942087,23.280645432700819,0.52479122372579412,0.91403847005088334,13.427356461021443,16.271828711997813,20.526475617217471,3.1303672555269539
D285_F01_V01,285,1,common_grid,X1,pixel,449,0.0066815144766146995,449,2,0,12,0,1,5,7,9,1
D285_F01_V01,285,1,common_grid,X1,um,449,0.0066815144766146995,449,25.399999999999999,0,152.39999999999998,0,12.699999999999999,63.5,88.899999999999991,114.3,12.699999999999999
D285_F01_V01,285,1,common_grid,z_top,pixel,449,0.07126948775055679,449,0,0,1,0,0,0,1,1,0
D285_F01_V01,285,1,common_grid,z_top,um,449,0.07126948775055679,449,0,0,6.7000000000000002,0,0,0,6.7000000000000002,6.7000000000000002,0
D285_F03_V01,285,3,common_grid,X4,pixel,472,0.0021186440677966102,472,0.41182990504125883,0,2.1989857373314123,0.045934012458147322,0.082815352007418144,1.0050806320331562,1.2137763966635802,1.5125247086819167,0.22849861790506054
D285_F03_V01,285,3,common_grid,X4,um,472,0.0021186440677966102,472,5.2302397940239871,0,27.927118864108934,0.58336195821847092,1.0517549704942104,12.764524026821084,15.414960237627467,19.209063800260342,2.9019324473942687
D285_F03_V01,285,3,common_grid,X1,pixel,472,0.0063559322033898309,472,2,0,14,0,0,5,6,9,1
D285_F03_V01,285,3,common_grid,X1,um,472,0.0063559322033898309,472,25.399999999999999,0,177.79999999999998,0,0,63.5,76.199999999999989,114.3,12.699999999999999
D285_F03_V01,285,3,common_grid,z_top,pixel,472,0.06991525423728813,472,0,0,1,0,0,0,1,1,0
D285_F03_V01,285,3,common_grid,z_top,um,472,0.06991525423728813,472,0,0,6.7000000000000002,0,0,0,6.7000000000000002,6.7000000000000002,0
D285_F05_V01,285,5,common_grid,X4,pixel,485,0,485,0.42403302824550337,0.0017054276987948924,1.8078038617936443,0.04488491451900814,0.093836985942687093,1.0295227481403117,1.2249988011606814,1.692593699834007,0.23310834101678779
D285_F05_V01,285,5,common_grid,X4,um,485,0,485,5.3852194587178923,0.021658931774695134,22.959109044779282,0.57003841439140335,1.1917297214721261,13.074938901381959,15.557484774740653,21.495939987891887,2.9604759309132049
D285_F05_V01,285,5,common_grid,X1,pixel,485,0.0041237113402061857,485,2,0,10,0,0,5,6,7.1599999999999682,1
D285_F05_V01,285,5,common_grid,X1,um,485,0.0041237113402061857,485,25.399999999999999,0,127,0,0,63.5,76.199999999999989,90.93199999999959,12.699999999999999
D285_F05_V01,285,5,common_grid,z_top,pixel,485,0.088659793814432994,485,0,0,1,0,0,0,1,1,0
D285_F05_V01,285,5,common_grid,z_top,um,485,0.088659793814432994,485,0,0,6.7000000000000002,0,0,0,6.7000000000000002,6.7000000000000002,0
D285_F07_V01,285,7,common_grid,X4,pixel,451,0.0066518847006651885,451,0.39847876037964625,0.0021108856434466361,3.2430971139768872,0.034244269748654688,0.063545508775234794,0.91503835525236354,1.1695415590603488,1.9309800997281883,0.25052908317670131
D285_F07_V01,285,7,common_grid,X4,um,451,0.0066518847006651885,451,5.0606802568215068,0.026808247671772277,41.187333347506467,0.43490222580791449,0.80702796144548183,11.620987111705016,14.85317780006643,24.52344726654799,3.1817193563441064
D285_F07_V01,285,7,common_grid,X1,pixel,451,0.0022172949002217295,451,2,0,12.000000000000057,0,2.8421709430404007e-14,4.0000000000000568,5.0000000000000284,7.5000000000000142,1
D285_F07_V01,285,7,common_grid,X1,um,451,0.0022172949002217295,451,25.399999999999999,0,152.40000000000072,0,3.6095570976613087e-13,50.800000000000722,63.500000000000355,95.250000000000171,12.699999999999999
D285_F07_V01,285,7,common_grid,z_top,pixel,451,0.079822616407982258,451,0,0,1,0,0,0,1,1,0
D285_F07_V01,285,7,common_grid,z_top,um,451,0.079822616407982258,451,0,0,6.7000000000000002,0,0,0,6.7000000000000002,6.7000000000000002,0
D285_F10_V01,285,10,common_grid,X4,pixel,492,0.0020325203252032522,492,0.42828289813510878,0.0016281833682114666,2.4629248092566627,0.036516432573958472,0.074453466101653015,1.0717333050749234,1.2101035073898772,1.7951268782780532,0.25081123224572366
D285_F10_V01,285,10,common_grid,X4,um,492,0.0020325203252032522,492,5.439192806315881,0.020677928776285624,31.279145077559615,0.46375869368927258,0.94555901949099319,13.611012974451526,15.368314543851438,22.798111354131272,3.1853026495206902
D285_F10_V01,285,10,common_grid,X1,pixel,492,0.0040650406504065045,492,2,0,12,0,0,5,6,7.089999999999975,1
D285_F10_V01,285,10,common_grid,X1,um,492,0.0040650406504065045,492,25.399999999999999,0,152.39999999999998,0,0,63.5,76.199999999999989,90.04299999999968,12.699999999999999
D285_F10_V01,285,10,common_grid,z_top,pixel,492,0.052845528455284556,492,0,0,1,0,0,0,1,1,0
D285_F10_V01,285,10,common_grid,z_top,um,492,0.052845528455284556,492,0,0,6.7000000000000002,0,0,0,6.7000000000000002,6.7000000000000002,0
D500_F01_V01,500,1,common_grid,X4,pixel,499,0.002004008016032064,499,0.81089073154947755,0,4.5477286652896964,0.047943976317785089,0.15011196855337519,1.9191468785588484,2.4073450596309827,3.4063793295885003,0.46953423425696883
D500_F01_V01,500,1,common_grid,X4,um,499,0.002004008016032064,499,10.298312290678364,0,57.756154049179145,0.60888849923587063,1.9064220006278649,24.373165357697374,30.57328225731348,43.261017485773955,5.9630847750635034
D500_F01_V01,500,1,common_grid,X1,pixel,499,0.012024048096192385,499,2,0,25,0,0,5,6,10,1
D500_F01_V01,500,1,common_grid,X1,um,499,0.012024048096192385,499,25.399999999999999,0,317.5,0,0,63.5,76.199999999999989,127,12.699999999999999
