scan_id,diameter_um,flow_mm_s,grid_scope,side,mode,real_region_median_rho,real_region_median_specificity,map_median_specificity,peak_pm2_count,peak_pm5_count,similarity_to_real,rho_map_median,rho_map_min,rho_map_max,n_cells,n_positive_cells,n_negative_cells,u_peak,source_bin_peak,tail_bin_peak,tail_depth_peak_um,eta_peak,rho_peak_cell,specificity_at_peak,lag_at_peak_cell,peak_cell_lag_within_pm2,peak_cell_lag_within_pm5,high_positive_cells_available,high_target_count,high_actual_count,u_high_region_median,u_high_region_min,u_high_region_max,u_high_region_lo,u_high_region_hi,tail_high_region_median_um,tail_high_region_min_um,tail_high_region_max_um,tail_high_region_lo_um,tail_high_region_hi_um,eta_high_region_median,eta_high_region_lo,eta_high_region_hi,high_region_median_rho,high_region_median_specificity,high_region_peak_pm2_count,high_region_peak_pm5_count,high_region_positive_specificity_count
D235_F01_V01,235,1,common_grid,right,raw,0.039400502768483045,0.0049699341473943767,0.031254502415078232,6,20,,0.056444343667722247,-0.051292608267653479,0.1671826654310101,120,108,12,0.25,2,10,237.5,1.0106382978723405,0.1671826654310101,0.13719806380432947,15,False,False,108,11,11,0.75,0.083333333333333329,0.91666666666666663,0,1,212.5,12.5,362.5,0,375,0.9042553191489362,0,1.5957446808510638,0.12965092877108392,0.11941479745729124,3,3,11
D235_F01_V01,235,1,common_grid,left,detrended_51,0.07000232922763,0.07285163269821332,0.02947279750251651,4,8,0.19840266685186478,0.021700820064702614,-0.09541455171362237,0.16024550143858401,120,82,38,0.25,2,4,87.5,0.37234042553191488,0.16024550143858401,0.16244257955437871,0,True,True,82,9,9,0.75,0.25,0.91666666666666663,0.16666666666666666,1,112.5,12.5,437.5,0,450,0.47872340425531917,0,1.9148936170212767,0.10100990823523538,0.10048327232453638,2,2,9
D235_F01_V01,235,1,common_grid,right,detrended_51,-0.010302624077531689,-0.007482789758829279,0.012873214015555679,4,17,0.020925064240572264,0.012090775030830895,-0.076278052554979436,0.13985412903310396,120,72,48,0.25,2,10,237.5,1.0106382978723405,0.13985412903310396,0.12832327156431797,0,True,True,72,8,8,0.5,0.25,0.91666666666666663,0.16666666666666666,1,237.5,137.5,362.5,125,375,1.0106382978723405,0.53191489361702127,1.5957446808510638,0.10661384185202591,0.11404781836939121,2,2,8
D235_F03_V01,235,3,common_grid,left,raw,0.15097494805757761,0.039469341948279543,0.037673202048027002,13,22,,0.11268102441347236,-0.0085155143954713242,0.24692709590076589,120,119,1,0.75,5,1,12.5,0.053191489361702128,0.24692709590076589,0.1415321105038358,0,True,True,119,12,12,0.66666666666666674,0.083333333333333329,0.91666666666666663,0,1,112.5,12.5,437.5,0,450,0.47872340425531917,0,1.9148936170212767,0.19517271789659352,0.10239336178866112,3,5,12
D235_F03_V01,235,3,common_grid,right,raw,0.17255087207750469,0.093237896699993217,0.048431039348681384,15,26,,0.11489818644607061,-0.041047592711618702,0.25750535973197081,120,116,4,0.083333333333333329,1,4,87.5,0.37234042553191488,0.25750535973197081,0.11269939091566966,45,False,False,116,12,12,0.75,0.083333333333333329,0.91666666666666663,0,1,137.5,12.5,462.5,0,475,0.58510638297872342,0,2.021276595744681,0.21245358279931748,0.1090641441404361,3,3,12
D235_F03_V01,235,3,common_grid,left,detrended_51,0.019910822435777333,0.022671337408238856,0.023756683863727937,14,21,0.12607819987499133,0.025913025873754894,-0.10470679290714965,0.15180616702460634,120,91,29,0.25,2,6,137.5,0.58510638297872342,0.15180616702460634,0.15034593720919828,0,True,True,91,10,10,0.41666666666666669,0.083333333333333329,0.91666666666666663,0,1,137.5,12.5,387.5,0,400,0.58510638297872342,0,1.7021276595744681,0.11006033563412021,0.11182728620563098,2,3,10
D235_F03_V01,235,3,common_grid,right,detrended_51,0.075208086641641678,0.080081662420395272,0.029323518407697011,14,21,0.34064865615667761,0.025162887617388364,-0.094923301198207632,0.16647713678516715,120,87,33,0.91666666666666663,6,1,12.5,0.053191489361702128,0.16647713678516715,0.17300654693805403,0,True,True,87,9,9,0.58333333333333337,0.083333333333333329,0.91666666666666663,0,1,62.5,12.5,337.5,0,350,0.26595744680851063,0,1.4893617021276595,0.11949830703280881,0.12588928763478119,3,3,9
D235_F05_V01,235,5,common_grid,left,raw,0.072926692957391709,0.035374995512445648,0.03108475899148266,2,9,,0.064195181083272324,-0.054832534378665143,0.18294708007651075,120,108,12,0.083333333333333329,1,3,62.5,0.26595744680851063,0.18294708007651075,0.11621972876711607,0,True,True,108,11,11,0.75,0.083333333333333329,0.91666666666666663,0,1,137.5,12.5,462.5,0,475,0.58510638297872342,0,2.021276595744681,0.1242427247896348,0.091479468221320123,1,3,11
D235_F05_V01,235,5,common_grid,right,raw,0.10311710392707861,0.058013695781651914,0.041308456312464999,12,24,,0.083130564148581998,-0.031302492895994218,0.21307294495477844,120,113,7,0.25,2,1,12.5,0.053191489361702128,0.21307294495477844,0.18579564017774683,-17,False,False,113,12,12,0.58333333333333337,0.25,0.91666666666666663,0.16666666666666666,1,175,12.5,487.5,0,500,0.74468085106382986,0,2.1276595744680851,0.16074912823419216,0.1187633035111447,3,5,12
D235_F05_V01,235,5,common_grid,left,detrended_51,0.027024622549517451,0.018544993918134509,0.0120145081691506,3,11,0.053302312660601418,0.012745248561785282,-0.13068880077630926,0.12339713012065964,120,71,49,0.083333333333333329,1,3,62.5,0.26595744680851063,0.12339713012065964,0.11023030398769657,0,True,True,71,8,8,0.66666666666666674,0.083333333333333329,0.91666666666666663,0,1,187.5,37.5,487.5,25,500,0.7978723404255319,0.10638297872340426,2.1276595744680851,0.085654384745873557,0.089245425180134619,1,1,8
