source_bin,tail_bin,u_lo,u_hi,u_mid,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid,scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho_lag0,rho_peak,lag_at_peak,n_pairs_lag0,n_pairs_at_peak,zero_lag_rank,peak_within_pm2,peak_within_pm5,rho_remote_median,zero_lag_specificity,peak_tie_count,rho,side
2,15,0.16666666666666666,0.33333333333333331,0.25,350,375,362.5,2.734375,2.9296875,2.83203125,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.11582274428510234,0.18281923325531044,11,486,467,8,False,False,0.050257039374683038,0.065565704910419298,1,0.11582274428510234,left
2,16,0.16666666666666666,0.33333333333333331,0.25,375,400,387.5,2.9296875,3.125,3.02734375,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.15501509398360161,0.15607690964502308,11,486,467,2,False,False,0.036381532612039108,0.1186335613715625,1,0.15501509398360161,left
2,17,0.16666666666666666,0.33333333333333331,0.25,400,425,412.5,3.125,3.3203125,3.22265625,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.13901053194433657,0.17856391310361952,11,486,467,6,False,False,0.0342173551335615,0.10479317681077507,1,0.13901053194433657,left
2,18,0.16666666666666666,0.33333333333333331,0.25,425,450,437.5,3.3203125,3.515625,3.41796875,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.087439207873594701,0.17342847944800677,-14,486,464,17,False,False,0.038723804420353253,0.048715403453241449,1,0.087439207873594701,left
2,19,0.16666666666666666,0.33333333333333331,0.25,450,475,462.5,3.515625,3.7109375,3.61328125,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.041803029982288666,0.14405018822948523,-36,486,442,74,False,False,0.057667144083129757,-0.015864114100841091,1,0.041803029982288666,left
2,20,0.16666666666666666,0.33333333333333331,0.25,475,500,487.5,3.7109375,3.90625,3.80859375,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.094349589257045632,0.19374944918025017,-7,486,470,10,False,False,0.048257110344792777,0.046092478912252856,1,0.094349589257045632,left
3,1,0.33333333333333331,0.5,0.41666666666666669,0,25,12.5,0,0.1953125,0.09765625,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.13934223108704638,0.18279413154296592,20,486,458,7,False,False,0.061233483507706854,0.078108747579339527,1,0.13934223108704638,left
3,2,0.33333333333333331,0.5,0.41666666666666669,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.13469666594274082,0.15656776566696876,15,486,463,2,False,False,0.026061921180870341,0.10863474476187049,1,0.13469666594274082,left
3,3,0.33333333333333331,0.5,0.41666666666666669,50,75,62.5,0.390625,0.5859375,0.48828125,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.065491554765248122,0.13312522967673335,-10,486,468,35,False,False,0.047496812197561786,0.017994742567686337,1,0.065491554765248122,left
3,4,0.33333333333333331,0.5,0.41666666666666669,75,100,87.5,0.5859375,0.78125,0.68359375,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.11614963467881606,0.1323245847590851,24,486,455,3,False,False,0.037393713195907716,0.078755921482908345,1,0.11614963467881606,left
3,5,0.33333333333333331,0.5,0.41666666666666669,100,125,112.5,0.78125,0.9765625,0.87890625,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.088559123699579662,0.17848303123278719,38,486,440,28,False,False,0.047894285041883172,0.040664838657696489,1,0.088559123699579662,left
3,6,0.33333333333333331,0.5,0.41666666666666669,125,150,137.5,0.9765625,1.171875,1.07421875,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.016061064839969261,0.16879393147998811,16,486,462,82,False,False,0.040686995506239734,-0.024625930666270474,1,0.016061064839969261,left
3,7,0.33333333333333331,0.5,0.41666666666666669,150,175,162.5,1.171875,1.3671875,1.26953125,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.032884995892962454,0.15190536715673339,10,486,468,68,False,False,0.035387272724495343,-0.0025022768315328889,1,0.032884995892962454,left
3,8,0.33333333333333331,0.5,0.41666666666666669,175,200,187.5,1.3671875,1.5625,1.46484375,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.041647163792001743,0.16294778903531593,-16,486,462,66,False,False,0.04796136863908973,-0.0063142048470879869,1,0.041647163792001743,left
3,9,0.33333333333333331,0.5,0.41666666666666669,200,225,212.5,1.5625,1.7578125,1.66015625,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.1049609302211319,0.18988725816411561,48,486,431,13,False,False,0.03434365403181365,0.070617276189318248,1,0.1049609302211319,left
3,10,0.33333333333333331,0.5,0.41666666666666669,225,250,237.5,1.7578125,1.953125,1.85546875,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.13677498635125457,0.21801591552887289,20,486,458,8,False,False,0.044539384602694486,0.092235601748560075,1,0.13677498635125457,left
3,11,0.33333333333333331,0.5,0.41666666666666669,250,275,262.5,1.953125,2.1484375,2.05078125,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.13818144089459461,0.20917719882187419,8,486,470,9,False,False,0.064921076224893126,0.073260364669701483,1,0.13818144089459461,left
